"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.598,0.369140249433107,0.225270882929953,0.385594514088415,35,16,0.978024971670434
2,0.448,0.219344712814204,0.225194760665941,0.250725290865662,0,0,0
3,0.41,0.181549176195301,0.224566373803587,0.210643516968657,0,0,0
4,0.418,0.189753639576398,0.223412357021378,0.219551590349253,0,0,0
5,0.419,0.190958102957495,0.221782902726492,0.220849788704627,0,0,0
6,0.417,0.189162566338592,0.219749534049595,0.21891361932321,0,0,0
7,0.415,0.187367029719689,0.217402875937273,0.216971996421983,0,0,0
8,0.416,0.188571493100786,0.214850461005223,0.218275057315479,0,0,0
9,0.413,0.185775956481883,0.212214547435977,0.215246926786636,0,0,0
10,0.409,0.181980419862981,0.209629927268681,0.211114557931809,0,0,0
11,0.408,0.181184883244078,0.207241707723039,0.210245363133688,0,0,0
12,0.407,0.180389346625175,0.205203056151592,0.209375111526501,0,0,0
13,0.405,0.178593810006272,0.203672904804552,0.207407065590229,0,0,0
14,0.402,0.175798273387369,0.202813610333841,0.204332283432693,0,0,0
15,0.405,0.179002736768466,0.20278856324524,0.207855752561882,0,0,0
16,0.404,0.178207200149563,0.20375974669293,0.20698260980695,0,0,0
17,0.405,0.17941166353066,0.205885244851907,0.20830416138635,0,0,0
18,0.402,0.176616126911758,0.209316701512712,0.205233172371645,0,0,0
19,0.408,0.182820590292855,0.214196739959134,0.212031370126686,0,0,0
20,0.417,0.192025053673952,0.22065636960048,0.221997717733889,0,0,0
21,0.419,0.194229517055049,0.22881240445312,0.224363365071437,0,0,0
22,0.425,0.200433980436146,0.238764905667041,0.230976960793242,0,0,0
23,0.437,0.212638443817243,0.250594659222132,0.243792953139142,0,0,0
24,0.455,0.23084290719834,0.264360711962673,0.262428329799386,0,0,0
25,0.469,0.245047370579437,0.280097986944779,0.276565825124038,0,0,0
26,0.478,0.254251833960535,0.29781497973604,0.285537876500388,0,0,0
27,0.492,0.268456297341632,0.317491534771823,0.299093017755123,0,0,0
28,0.508,0.284660760722729,0.339076732857233,0.314129791637927,0,0,0
29,0.522,0.298865224103826,0.362486963576352,0.326942344169912,0,0,0
30,0.547,0.324069687484923,0.38760428320999,0.348854926814084,0,0,0
31,0.58,0.35727415086602,0.414275166135145,0.376207166861559,0,0,0
32,0.598,0.375478614247117,0.442309747930616,0.39053102298346,0,0,0
33,0.63,0.407683077628214,0.471481642260056,0.414847457326894,0,0,0
34,0.66,0.437887541009312,0.501528414134448,0.43666163787446,0,0,0
35,0.692,0.470092004390409,0.532152810353123,0.459152124417942,0,0,0
36,0.729,0.507296467771506,0.563024861090018,0.484609940426977,0,0,0
37,0.764,0.542500931152603,0.593784966734914,0.508735651434204,0,0,0
38,0.802,0.5807053945337,0.62404807771653,0.535694212648922,0,0,0
39,0.833,0.611909857914797,0.653409064742425,0.558918350003331,0,0,0
40,0.873,0.652114321295894,0.68144936331889,0.591373303222067,0,0,0
41,0.918,0.697318784676991,0.707744953552606,0.632753130960764,0,0,0
42,0.963,0.742523248058088,0.731875683893073,0.681245687861247,0,0,0
43,1,0.779727711439186,0.753435851496359,0.7280493295377,0,0,0
44,1.048,0.827932174820283,0.772045825747314,0.800283890494985,0,0,0
45,1.088,0.86813663820138,0.787364360562966,0.872637681792372,0,0,0
46,1.127,0.907341101582477,0.799101076673541,0.95579982123512,0,0,0
47,1.167,0.947545564963574,0.807028403640577,1.05607215006325,0,0,0
48,1.205,0.985750028344671,0.810992065838283,1.16743594581752,0,0,0
