"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.718,0.489140249433107,0.322348812383454,0.472221601387636,35,17,0.969381393052368
2,0.574,0.345344712814204,0.322046712610352,0.366569590818049,0,0,0
3,0.518,0.289549176195301,0.320089878977601,0.318577655998734,0,0,0
4,0.534,0.305753639576398,0.31653021334746,0.33303409588444,0,0,0
5,0.529,0.300958102957495,0.311480052066812,0.328801501029487,0,0,0
6,0.535,0.307162566338592,0.305110232193851,0.334270417863398,0,0,0
7,0.528,0.300367029719689,0.297647874986306,0.328277174593436,0,0,0
8,0.528,0.300571493100786,0.289373862915669,0.328458614716348,0,0,0
9,0.521,0.293775956481884,0.280619918349483,0.322390881793554,0,0,0
10,0.516,0.288980419862981,0.271765194228907,0.318062242463724,0,0,0
11,0.505,0.278184883244078,0.263232298539046,0.308174752979813,0,0,0
12,0.496,0.269389346625175,0.255482690664348,0.299971124598787,0,0,0
13,0.497,0.270593810006272,0.249011409807625,0.301102432141994,0,0,0
14,0.489,0.262798273387369,0.244341111357528,0.293735778240805,0,0,0
15,0.49,0.264002736768466,0.242015387019535,0.294880876469684,0,0,0
16,0.494,0.268207200149563,0.242591338906364,0.298858333233816,0,0,0
17,0.495,0.26941166353066,0.246631377741701,0.299992108893461,0,0,0
18,0.502,0.276616126911758,0.254694219896977,0.30672134495242,0,0,0
19,0.511,0.285820590292855,0.26732507001136,0.315188772250451,0,0,0
20,0.518,0.293025053673952,0.285044999924455,0.321715649813733,0,0,0
21,0.529,0.304229517055049,0.308339568908561,0.331693009970796,0,0,0
22,0.548,0.323433980436146,0.337646774976205,0.348314831077432,0,0,0
23,0.574,0.349638443817243,0.373344476762691,0.370062146443754,0,0,0
24,0.604,0.37984290719834,0.415737464942576,0.393899712907392,0,0,0
25,0.628,0.404047370579437,0.46504439144566,0.412161804620753,0,0,0
26,0.669,0.445251833960535,0.521384806372089,0.441863051592189,0,0,0
27,0.7,0.476456297341632,0.584766620323838,0.46353217921958,0,0,0
28,0.746,0.522660760722729,0.655074392377305,0.495098646517498,0,0,0
29,0.797,0.573865224103826,0.732058924471441,0.530771082363241,0,0,0
30,0.857,0.634069687484923,0.815328710027308,0.576386615841799,0,0,0
31,0.907,0.68427415086602,0.904343826656454,0.620174450832667,0,0,0
32,0.944,0.721478614247117,0.998412885347219,0.657649362844767,0,0,0
33,0.995,0.772683077628214,1.09669367825569,0.718641694258254,0,0,0
34,1.058,0.835887541009312,1.19819819881319,0.813656322506514,0,0,0
35,1.114,0.892092004390409,1.30180266891461,0.921849705403002,0,0,0
36,1.181,0.959296467771506,1.40626302736482,1.08856129562259,0,0,0
37,1.229,1.0075009311526,1.51023601871336,1.2386237462372,0,0,0
38,1.282,1.0607053945337,1.61230563934781,1.43941898569197,0,0,0
39,1.338,1.1169098579148,1.7110143036974,1.69804094852683,0,0,0
40,1.395,1.17411432129589,1.80489765098131,2.01797354372705,0,0,0
41,1.431,1.21031878467699,1.89252134163421,2.25381191314164,0,0,0
42,1.439,1.21852324805809,1.9725176393018,2.31113958680758,0,0,0
43,1.445,1.22472771143919,2.043619492725,2.35548174346824,0,0,0
44,1.451,1.23093217482028,2.10469047861562,2.40068878873728,0,0,0
45,1.453,1.23313663820138,2.15474995068341,2.41696144549507,0,0,0
46,1.457,1.23734110158248,2.1929934441146,2.44830621812996,0,0,0
47,1.463,1.24354556496357,2.21880862861627,2.49530794998624,0,0,0
48,1.463,1.24375002834467,2.23178706778523,2.49687212338371,0,0,0
