"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.577,0.348140249433107,0.221160860975585,0.368846569344646,35,16,0.945956349899919
2,0.418,0.189344712814204,0.221180095904372,0.219110280950446,0,0,0
3,0.406,0.177549176195301,0.220848239263709,0.206259599959077,0,0,0
4,0.407,0.178753639576398,0.220180761342547,0.207582468589527,0,0,0
5,0.406,0.177958102957495,0.219207760796418,0.206708996530632,0,0,0
6,0.409,0.181162566338592,0.217972248284918,0.210220964675681,0,0,0
7,0.407,0.179367029719689,0.216528567410841,0.208255231690111,0,0,0
8,0.41,0.182571493100786,0.214940981441352,0.211759673068784,0,0,0
9,0.412,0.184775956481883,0.213282396666434,0.214160528439402,0,0,0
10,0.411,0.183980419862981,0.211633183213963,0.213295058755788,0,0,0
11,0.408,0.181184883244078,0.210080048957518,0.210245363133688,0,0,0
12,0.412,0.185389346625175,0.20871492661657,0.214827113853744,0,0,0
13,0.41,0.183593810006272,0.207633845780989,0.212874079776689,0,0,0
14,0.411,0.184798273387369,0.206935766749232,0.214184791826877,0,0,0
15,0.411,0.185002736768466,0.206721351309416,0.214407049562614,0,0,0
16,0.408,0.182207200149563,0.207091648386043,0.211362141872576,0,0,0
17,0.41,0.18441166353066,0.208146682982726,0.213764343548135,0,0,0
18,0.412,0.186616126911758,0.209983949135685,0.216158385860252,0,0,0
19,0.415,0.189820590292855,0.212696813121167,0.219623815881935,0,0,0
20,0.416,0.191025053673952,0.216372829095153,0.220921877582582,0,0,0
21,0.416,0.191229517055049,0.221091966259886,0.221141985526152,0,0,0
22,0.424,0.199433980436146,0.226924755078792,0.229915474093581,0,0,0
23,0.429,0.204638443817243,0.233930372245149,0.235421136325143,0,0,0
24,0.432,0.20784290719834,0.242154685868535,0.238787832549386,0,0,0
25,0.435,0.211047370579437,0.251628279879219,0.242136764295075,0,0,0
26,0.441,0.217251833960535,0.262364488346766,0.248570269635091,0,0,0
27,0.447,0.223456297341632,0.274357494325264,0.254936691673231,0,0,0
28,0.457,0.233660760722729,0.287580565136245,0.265261052159054,0,0,0
29,0.464,0.240865224103826,0.30198449955777,0.272440179358457,0,0,0
30,0.474,0.251069687484923,0.317496360824775,0.282452872402241,0,0,0
31,0.491,0.26827415086602,0.334018570469312,0.298921420785751,0,0,0
32,0.497,0.274478614247117,0.351428439148832,0.304734180350354,0,0,0
33,0.511,0.288683077628214,0.369578209756961,0.317792569304094,0,0,0
34,0.538,0.315887541009312,0.388295690990343,0.341854303670153,0,0,0
35,0.553,0.331092004390409,0.407385558230606,0.354778898206023,0,0,0
36,0.573,0.351296467771506,0.426631379023697,0.371403599989108,0,0,0
37,0.606,0.384500931152603,0.445798396527187,0.397468556112069,0,0,0
38,0.642,0.4207053945337,0.46463708878781,0.424355785477751,0,0,0
39,0.678,0.456909857914797,0.482887494047406,0.450021105996582,0,0,0
40,0.716,0.495114321295894,0.500284244785214,0.476301471496309,0,0,0
41,0.755,0.534318784676991,0.516562211264537,0.503092885247701,0,0,0
42,0.791,0.570523248058089,0.531462632317837,0.528383628143939,0,0,0
43,0.827,0.606727711439186,0.544739596154463,0.554961553217674,0,0,0
44,0.866,0.645932174820283,0.556166716376937,0.586153525072617,0,0,0
45,0.906,0.68613663820138,0.565543820054804,0.621936154873582,0,0,0
46,0.932,0.712341101582477,0.572703417917916,0.647974206395983,0,0,0
47,0.966,0.746545564963574,0.57751666908424,0.685978303785168,0,0,0
48,1.026,0.806750028344671,0.579898489695304,0.766762530930794,0,0,0
