"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.747,0.518140249433107,0.313764528351171,0.492008940989622,34,12,0.938321274476874
2,0.589,0.360344712814204,0.314465615085839,0.378654948961256,0,0,0
3,0.544,0.315549176195301,0.314293707746657,0.341562492657869,0,0,0
4,0.546,0.317753639576398,0.313303339410956,0.343460346989962,0,0,0
5,0.541,0.312958102957495,0.311609147706424,0.339321783280676,0,0,0
6,0.538,0.310162566338592,0.309382711793589,0.336892047650092,0,0,0
7,0.53,0.302367029719689,0.306848871429853,0.330048984923687,0,0,0
8,0.537,0.309571493100786,0.304281613936428,0.336376687075088,0,0,0
9,0.533,0.305775956481884,0.301999546327922,0.333053704242414,0,0,0
10,0.531,0.303980419862981,0.300360946372612,0.331473463197018,0,0,0
11,0.533,0.306184883244078,0.299758369562773,0.333412855438597,0,0,0
12,0.538,0.311389346625175,0.300612786718815,0.337959866900258,0,0,0
13,0.544,0.317593810006272,0.303367229056246,0.343323009893967,0,0,0
14,0.55,0.323798273387369,0.308479910870304,0.348624411875991,0,0,0
15,0.561,0.335002736768466,0.31641679347176,0.35804479187296,0,0,0
16,0.574,0.348207200149563,0.327643558475545,0.368900960480299,0,0,0
17,0.583,0.35741166353066,0.342616971414038,0.376317071987979,0,0,0
18,0.597,0.371616126911758,0.361775637339357,0.387529103959792,0,0,0
19,0.61,0.384820590292855,0.38553018549212,0.397712481205482,0,0,0
20,0.627,0.402025053673952,0.414252969538352,0.410661783005388,0,0,0
21,0.646,0.421229517055049,0.44826742385829,0.424735016945253,0,0,0
22,0.669,0.444433980436146,0.487837269700771,0.441287350450908,0,0,0
23,0.707,0.482638443817243,0.533155816042718,0.467773038422639,0,0,0
24,0.751,0.52684290719834,0.584335641274875,0.497961482438536,0,0,0
25,0.805,0.581047370579437,0.641398963495902,0.535941709713437,0,0,0
26,0.854,0.630251833960535,0.704269011238682,0.573308469040737,0,0,0
27,0.901,0.677456297341632,0.772762710113013,0.61381849851595,0,0,0
28,0.943,0.719660760722729,0.846585021599971,0.655698259323943,0,0,0
29,0.976,0.752865224103826,0.925325312634934,0.693566788056177,0,0,0
30,1.012,0.789069687484923,1.00845619270641,0.740949384912511,0,0,0
31,1.076,0.85327415086602,1.09533530362788,0.844470930751342,0,0,0
32,1.108,0.885478614247117,1.18521052605909,0.907773898727023,0,0,0
33,1.151,0.928683077628214,1.27722894740714,1.00700143495992,0,0,0
34,1.211,0.988887541009312,1.37044977141266,1.17734104581622,0,0,0
35,1.262,1.04009200439041,1.46386114094807,1.35689346277225,0,0,0
36,1.306,1.08429646777151,1.55640049960372,1.54174658372501,0,0,0
37,1.356,1.1345009311526,1.64697765765261,1.78995545605745,0,0,0
38,1.391,1.1697053945337,1.7344992933443,1.99109255818096,0,0,0
39,1.405,1.1839098579148,1.81789330711506,2.07909655794525,0,0,0
40,1.415,1.19411432129589,1.89613140076217,2.14486396816473,0,0,0
41,1.417,1.19631878467699,1.96824864268577,2.15935694615509,0,0,0
42,1.421,1.20052324805809,2.03335948106964,2.18728326012143,0,0,0
43,1.421,1.20072771143919,2.090670320099,2.18865088684277,0,0,0
44,1.429,1.20893217482028,2.13948915465386,2.2442686006806,0,0,0
45,1.429,1.20913663820138,2.17923286111332,2.24567319030352,0,0,0
46,1.433,1.21334110158248,2.20943265851028,2.27475812288191,0,0,0
47,1.437,1.21754556496357,2.22973810991301,2.30423037805166,0,0,0
48,1.437,1.21775002834467,2.23991990359165,2.30567355484566,0,0,0
