"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.608,0.379140249433107,0.238795561597935,0.393358991469315,35,18,0.958127194674103
2,0.445,0.216344712814204,0.238775422746992,0.247633842008013,0,0,0
3,0.414,0.185549176195301,0.23846420917073,0.215000700496207,0,0,0
4,0.421,0.192753639576398,0.237877131561893,0.222780490211468,0,0,0
5,0.421,0.192958102957495,0.237040225386982,0.222999997845252,0,0,0
6,0.424,0.196162566338592,0.235988378031601,0.226430940972602,0,0,0
7,0.418,0.190367029719689,0.234763529101128,0.220213023553044,0,0,0
8,0.423,0.195571493100786,0.233413079232771,0.225799409873709,0,0,0
9,0.422,0.194775956481884,0.231988485870568,0.224948478993598,0,0,0
10,0.421,0.193980419862981,0.230544024575377,0.224096469081298,0,0,0
11,0.419,0.192184883244078,0.229135691290423,0.222169511425986,0,0,0
12,0.418,0.191389346625175,0.227820222681982,0.221313995098858,0,0,0
13,0.421,0.194593810006272,0.226654221089104,0.224753497567505,0,0,0
14,0.421,0.194798273387369,0.225693373482799,0.224972364570126,0,0,0
15,0.42,0.194002736768466,0.224991745053747,0.224120384912084,0,0,0
16,0.421,0.195207200149563,0.224601120109458,0.22540988472076,0,0,0
17,0.418,0.19241166353066,0.224570366570568,0.222413192981983,0,0,0
18,0.415,0.189616126911758,0.224944812944251,0.21940321973518,0,0,0
19,0.423,0.197820590292855,0.225765641051548,0.228199267485988,0,0,0
20,0.425,0.200025053673952,0.22706930299542,0.230543097849444,0,0,0
21,0.422,0.197229517055049,0.228886957894701,0.227569411399729,0,0,0
22,0.423,0.198433980436146,0.231243909752896,0.228852272523592,0,0,0
23,0.427,0.202638443817243,0.234159036864336,0.233310902565019,0,0,0
24,0.428,0.20384290719834,0.237644223408644,0.234582577699336,0,0,0
25,0.431,0.207047370579437,0.241703809856528,0.237953675794165,0,0,0
26,0.433,0.209251833960535,0.246334074687348,0.240262469934838,0,0,0
27,0.436,0.212456297341632,0.251522761309777,0.243603575003022,0,0,0
28,0.442,0.218660760722729,0.257248670146821,0.250021870990431,0,0,0
29,0.449,0.225865224103826,0.263481337490168,0.257390369069995,0,0,0
30,0.451,0.228069687484923,0.27018081666034,0.259626883247627,0,0,0
31,0.454,0.23127415086602,0.277297571478019,0.262862751542552,0,0,0
32,0.46,0.237478614247117,0.284772499107375,0.269076826336386,0,0,0
33,0.467,0.244683077628214,0.292537114667122,0.276207674216461,0,0,0
34,0.473,0.250887541009311,0.300513936029406,0.282275749689646,0,0,0
35,0.479,0.257092004390409,0.30861710020574,0.288276376298327,0,0,0
36,0.487,0.265296467771506,0.316753235294057,0.296108029660163,0,0,0
37,0.494,0.272500931152603,0.324822610272282,0.302888583197029,0,0,0
38,0.506,0.2847053945337,0.332720582756721,0.314170586881349,0,0,0
39,0.517,0.295909857914797,0.340339355710244,0.324304568649798,0,0,0
40,0.534,0.313114321295894,0.347570036231264,0.33945718558177,0,0,0
41,0.548,0.327318784676991,0.354304964321347,0.351605420693535,0,0,0
42,0.563,0.342523248058088,0.360440252020239,0.364259790594083,0,0,0
43,0.575,0.354727711439186,0.365878452121624,0.374167123991146,0,0,0
44,0.59,0.369932174820283,0.370531266747933,0.386214192085547,0,0,0
45,0.605,0.38513663820138,0.374322205251386,0.39795352710234,0,0,0
46,0.623,0.403341101582477,0.377189097103073,0.411638446718755,0,0,0
47,0.646,0.426545564963574,0.37908635078835,0.428567214286387,0,0,0
48,0.669,0.449750028344671,0.379986822966365,0.445021180210365,0,0,0
