"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.654,0.425140249433107,0.250524836766963,0.427556646006153,34,13,0.9729182096891
2,0.498,0.269344712814204,0.250894776474628,0.299929153419448,0,0,0
3,0.465,0.236549176195301,0.250416492513425,0.268150250256055,0,0,0
4,0.468,0.239753639576398,0.249140303722516,0.271338447987305,0,0,0
5,0.467,0.238958102957495,0.247167880968221,0.27054863142529,0,0,0
6,0.468,0.240162566338592,0.244649324682682,0.271744002189898,0,0,0
7,0.464,0.236367029719689,0.241779833515043,0.267968486967561,0,0,0
8,0.469,0.241571493100786,0.23879600372169,0.273139061086328,0,0,0
9,0.46,0.232775956481884,0.235971731516958,0.264373079161679,0,0,0
10,0.458,0.230980419862981,0.233613685979318,0.26256689128542,0,0,0
11,0.454,0.227184883244078,0.232056332345233,0.258730237286651,0,0,0
12,0.449,0.222389346625175,0.231656507620701,0.25384667679218,0,0,0
13,0.448,0.221593810006272,0.232787570635269,0.253032648173517,0,0,0
14,0.448,0.221798273387369,0.235833161367463,0.253241969836662,0,0,0
15,0.447,0.221002736768466,0.241180612042392,0.252427119608975,0,0,0
16,0.45,0.224207200149563,0.249214058373307,0.25570263315201,0,0,0
17,0.46,0.23441166353066,0.260307307229763,0.266013566713137,0,0,0
18,0.466,0.240616126911758,0.274816524022451,0.272193478746355,0,0,0
19,0.478,0.252820590292855,0.293072805049829,0.284152519052411,0,0,0
20,0.494,0.269025053673952,0.315374705234555,0.299628462616614,0,0,0
21,0.515,0.290229517055049,0.341980805724633,0.319193469211762,0,0,0
22,0.557,0.332433980436146,0.373102416265898,0.355902248951669,0,0,0
23,0.599,0.374638443817243,0.408896496858682,0.389879701801711,0,0,0
24,0.644,0.41984290719834,0.44945885172081,0.423731167158465,0,0,0
25,0.685,0.461047370579437,0.494817625221471,0.452896701400933,0,0,0
26,0.723,0.499251833960535,0.544927152849721,0.479124282991565,0,0,0
27,0.763,0.539456297341632,0.599662297535664,0.506632206985932,0,0,0
28,0.811,0.587660760722729,0.658813503362759,0.540755339236477,0,0,0
29,0.86,0.636865224103826,0.722082886657178,0.578660119263346,0,0,0
30,0.891,0.668069687484923,0.789081738633099,0.605296726999144,0,0,0
31,0.944,0.72127415086602,0.859329845757557,0.657429248655303,0,0,0
32,0.997,0.774478614247117,0.932257054010751,0.721013996198823,0,0,0
33,1.046,0.823683077628214,1.00720747995676,0.793320847190758,0,0,0
34,1.1,0.877887541009312,1.083446672422,0.892083293760953,0,0,0
35,1.153,0.931092004390409,1.16017186412413,1.01306332562602,0,0,0
36,1.203,0.981296467771506,1.23652523590745,1.15358101938196,0,0,0
37,1.243,1.0215009311526,1.31160985033791,1.28766315386285,0,0,0
38,1.28,1.0587053945337,1.38450764043421,1.43113718171154,0,0,0
39,1.314,1.0929098579148,1.45429862933166,1.58130512216182,0,0,0
40,1.33,1.10911432129589,1.52008043431073,1.65905016222875,0,0,0
41,1.342,1.12131878467699,1.58098710376729,1.72056127239173,0,0,0
42,1.345,1.12452324805809,1.63620651986536,1.7371443923157,0,0,0
43,1.36,1.13972771143919,1.68499595409804,1.81834206420951,0,0,0
44,1.37,1.14993217482028,1.72669568677301,1.8752223106242,0,0,0
45,1.373,1.15313663820138,1.76074070232186,1.89348855416134,0,0,0
46,1.377,1.15734110158248,1.78667040920472,1.91775237017523,0,0,0
47,1.377,1.15754556496357,1.80413631417428,1.91894097786664,0,0,0
48,1.383,1.16375002834467,1.81290765732098,1.95539447030189,0,0,0
