"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.751,0.478412286234931,0.342355339465457,0.464875297126352,125,16,0.923903801813306
2,0.569,0.296179225946467,0.342180421399771,0.32454559517182,0,0,0
3,0.57,0.296946165658003,0.341837073272723,0.325231175681411,0,0,0
4,0.576,0.302713105369539,0.341341955098847,0.330354901584523,0,0,0
5,0.575,0.301480045081075,0.340718282423462,0.329264020254308,0,0,0
6,0.574,0.300246984792611,0.339994475733413,0.328170614723914,0,0,0
7,0.574,0.300013924504147,0.339202977663312,0.327963666423467,0,0,0
8,0.58,0.305780864215683,0.338379251105371,0.33305801622673,0,0,0
9,0.572,0.297547803927219,0.337560944405204,0.325768301310021,0,0,0
10,0.573,0.298314743638755,0.336787209299454,0.326452126034507,0,0,0
11,0.577,0.302081683350291,0.336098162053654,0.329796601145286,0,0,0
12,0.578,0.302848623061827,0.335534485474657,0.330474639601252,0,0,0
13,0.582,0.306615562773363,0.335137162330436,0.333790814166527,0,0,0
14,0.58,0.304382502484899,0.334947314333102,0.331827795929862,0,0,0
15,0.577,0.301149442196435,0.335006115850254,0.328971108910893,0,0,0
16,0.584,0.307916381907971,0.33535476331635,0.334930546041989,0,0,0
17,0.585,0.308683321619508,0.336034495200256,0.335601211265441,0,0,0
18,0.581,0.304450261331044,0.337086658261856,0.331887481691949,0,0,0
19,0.591,0.31421720104258,0.338552810619754,0.340411982365166,0,0,0
20,0.583,0.305984140754116,0.340474855337919,0.333236582205817,0,0,0
21,0.588,0.310751080465652,0.342895207303565,0.337404610611819,0,0,0
22,0.592,0.314518020177188,0.345857005381221,0.340672069129246,0,0,0
23,0.606,0.328284959888724,0.349404386103769,0.35242013636076,0,0,0
24,0.609,0.33105189960026,0.353582821749208,0.354745284188161,0,0,0
25,0.624,0.345818839311796,0.358439498078208,0.366956578795104,0,0,0
26,0.628,0.349585779023332,0.364023688057038,0.370019471707493,0,0,0
27,0.641,0.362352718734868,0.370387076752414,0.380248576350197,0,0,0
28,0.648,0.369119658446404,0.377584001204416,0.385578390562795,0,0,0
29,0.664,0.38488659815794,0.385671579647845,0.397762834742597,0,0,0
30,0.678,0.398653537869476,0.394709711144227,0.408150999992585,0,0,0
31,0.692,0.412420477581012,0.404760926008521,0.418326132751466,0,0,0
32,0.714,0.434187417292548,0.415890063225759,0.434032619837872,0,0,0
33,0.729,0.448954357004084,0.428163749051533,0.444463539504758,0,0,0
34,0.753,0.47272129671562,0.441649651592897,0.46096360782877,0,0,0
35,0.772,0.491488236427156,0.456415488998363,0.473825824278495,0,0,0
36,0.796,0.515255176138692,0.472527775147888,0.490039037004947,0,0,0
37,0.821,0.540022115850228,0.490050295299861,0.507022759156291,0,0,0
38,0.841,0.559789055561764,0.509042313189041,0.520786023393657,0,0,0
39,0.868,0.5865559952733,0.529556521718636,0.539947503592805,0,0,0
40,0.888,0.606322934984836,0.551636763764025,0.554654339099248,0,0,0
41,0.91,0.628089874696372,0.575315567107301,0.571578723279656,0,0,0
42,0.932,0.649856814407908,0.60061155698925,0.589456443211878,0,0,0
43,0.956,0.673623754119444,0.627526829820697,0.61030785652603,0,0,0
44,0.969,0.68639069383098,0.656044388652334,0.622177325480256,0,0,0
45,0.982,0.699157633542516,0.686125760123764,0.634572652017863,0,0,0
46,1.01,0.726924573254052,0.717708944707618,0.663574977005286,0,0,0
47,1.04,0.756691512965588,0.750706879489355,0.698254415422156,0,0,0
48,1.072,0.788458452677124,0.785006572299672,0.740090171499466,0,0,0
49,1.094,0.81022539238866,0.820468991775554,0.772062198730461,0,0,0
50,1.119,0.834992332100196,0.856929720987952,0.812129320454106,0,0,0
51,1.139,0.854759271811732,0.894200348529138,0.847207880282325,0,0,0
52,1.159,0.874526211523268,0.932070575221883,0.885291161338739,0,0,0
53,1.177,0.892293151234804,0.970311028413872,0.922283853606793,0,0,0
54,1.199,0.91406009094634,1.00867678306096,0.971443509262045,0,0,0
55,1.217,0.931827030657876,1.04691157989881,1.01492470412542,0,0,0
56,1.236,0.950593970369412,1.08475269943308,1.06435549515595,0,0,0
57,1.256,0.970360910080948,1.12193640536787,1.12056159075168,0,0,0
58,1.272,0.986127849792484,1.1582038245565,1.16862237333506,0,0,0
59,1.288,1.00189478950402,1.19330708618192,1.21970472667853,0,0,0
60,1.306,1.01966172921556,1.22701550701125,1.28107205864231,0,0,0
61,1.32,1.03342866892709,1.25912158034514,1.33152772305786,0,0,0
62,1.336,1.04919560863863,1.28944648875355,1.39257286923888,0,0,0
63,1.344,1.05696254835016,1.31784482093275,1.42396912904157,0,0,0
64,1.35,1.0627294880617,1.34420816811069,1.44786194091317,0,0,0
65,1.352,1.06449642777324,1.36846734219645,1.4552829948434,0,0,0
66,1.351,1.06326336748477,1.39059309849202,1.45009920779066,0,0,0
67,1.354,1.06603030719631,1.41059541679921,1.4617637487147,0,0,0
68,1.355,1.06679724690784,1.42852153089742,1.46501760731871,0,0,0
69,1.357,1.06856418661938,1.4444529516499,1.47254845003907,0,0,0
70,1.355,1.06633112633092,1.4585017151783,1.4630389466862,0,0,0
71,1.355,1.06609806604245,1.47080606518816,1.46205086346817,0,0,0
72,1.355,1.06586500575399,1.48152578575379,1.46106361095236,0,0,0
73,1.357,1.06763194546552,1.49083741387261,1.46856918594298,0,0,0
74,1.358,1.06839888517706,1.49892953984975,1.47184188719061,0,0,0
75,1.359,1.0691658248886,1.50599834832703,1.47512363998196,0,0,0
76,1.36,1.06993276460013,1.5122434980999,1.47841446299129,0,0,0
77,1.361,1.07069970431167,1.51786440817799,1.48171437491015,0,0,0
78,1.363,1.0724666440232,1.52305700388262,1.48935168087056,0,0,0
79,1.365,1.07423358373474,1.5280109619599,1.49703755813381,0,0,0
80,1.367,1.07600052344628,1.53290746953202,1.50477223632072,0,0,0
81,1.371,1.07976746315781,1.53791748210192,1.52142577899665,0,0,0
82,1.372,1.08053440286935,1.54320043664987,1.52484390493517,0,0,0
83,1.371,1.07930134258088,1.54890335747702,1.51935291482879,0,0,0
84,1.374,1.08206828229242,1.55516030602396,1.53170822293438,0,0,0
85,1.377,1.08483522200396,1.56209216721562,1.54418571190717,0,0,0
86,1.383,1.09060216171549,1.56980678081962,1.570588285958,0,0,0
87,1.381,1.08836910142703,1.57839938670108,1.56030079984591,0,0,0
88,1.385,1.09213604113856,1.58795331072499,1.57770183469333,0,0,0
89,1.391,1.0979029808501,1.59854082887434,1.60479290127191,0,0,0
90,1.393,1.09966992056164,1.61022417262148,1.6132036829964,0,0,0
91,1.397,1.10343686027317,1.62305662217936,1.63130906665299,0,0,0
92,1.401,1.10720379998471,1.63708360682551,1.64965382020324,0,0,0
93,1.403,1.10897073969624,1.65234373893383,1.65834183076205,0,0,0
94,1.403,1.10873767940778,1.66886974110348,1.65719282469112,0,0,0
95,1.411,1.11650461911932,1.68668927145562,1.69598811541844,0,0,0
96,1.413,1.11827155883085,1.70582569171255,1.70495998216766,0,0,0
97,1.419,1.12403849854239,1.72629881561963,1.73462411935223,0,0,0
98,1.422,1.12680543825392,1.74812563424853,1.74906603397508,0,0,0
99,1.427,1.13157237796546,1.77132099577613,1.77426864367569,0,0,0
100,1.431,1.135339317677,1.79589823108202,1.79447502031642,0,0,0
101,1.439,1.14310625738853,1.8218697321627,1.83695897357009,0,0,0
102,1.447,1.15087319710007,1.84924747763657,1.88056614821874,0,0,0
103,1.449,1.1526401368116,1.87804344975327,1.89064558709987,0,0,0
104,1.453,1.15640707652314,1.90826984976761,1.91233283675951,0,0,0
105,1.461,1.16417401623468,1.9399390570265,1.95791291647394,0,0,0
106,1.463,1.16594095594621,1.97306335633947,1.96844630422169,0,0,0
107,1.473,1.17570789565775,2.00765449061144,2.0277851248221,0,0,0
108,1.478,1.18047483536928,2.04372307265496,2.05744071910458,0,0,0
109,1.481,1.18324177508082,2.08127785630051,2.07486579124576,0,0,0
110,1.491,1.19300871479236,2.12032485783091,2.13763372242818,0,0,0
111,1.496,1.19777565450389,2.16086633902335,2.16899117721319,0,0,0
112,1.504,1.20554259421543,2.20289966655439,2.22111524970127,0,0,0
113,1.508,1.20930953392696,2.2464160326174,2.24686162961651,0,0,0
114,1.514,1.2150764736385,2.29139901662136,2.28687550736688,0,0,0
115,1.522,1.22284341335004,2.33782301208848,2.34192410421372,0,0,0
116,1.528,1.22861035306157,2.38565158155503,2.38366948408686,0,0,0
117,1.53,1.23037729277311,2.43483580077162,2.39661027869927,0,0,0
118,1.542,1.24214423248464,2.48531265630523,2.48461386818144,0,0,0
119,1.55,1.24991117219618,2.53700357976393,2.54446678695004,0,0,0
120,1.554,1.25367811190772,2.58981316159177,2.57400911634703,0,0,0
121,1.562,1.26144505161925,2.64362800403494,2.6359956412292,0,0,0
122,1.569,1.26821199133079,2.69831566500878,2.6911958043732,0,0,0
123,1.576,1.27497893104232,2.75372369938302,2.74752487645312,0,0,0
124,1.58,1.27874587075386,2.80967882381682,2.77937649344829,0,0,0
125,1.59,1.2885128104654,2.86598622925655,2.86363371334463,0,0,0
126,1.595,1.29327975017693,2.92242907826551,2.90564450959069,0,0,0
127,1.598,1.29604668988847,2.97876822426485,2.93029958071104,0,0,0
128,1.605,1.3028136296,3.03474219972148,2.99144127564093,0,0,0
129,1.615,1.31258056931154,3.0900675736316,3.08182978623056,0,0,0
130,1.616,1.31334750902308,3.14443978899778,3.08903579751222,0,0,0
131,1.62,1.31711444873461,3.19753452903088,3.12466041439374,0,0,0
132,1.625,1.32188138844615,3.24900967003776,3.17029631991483,0,0,0
133,1.631,1.32764832815768,3.29850798937978,3.22634090866955,0,0,0
134,1.635,1.33141526786922,3.34566084230116,3.26344742229248,0,0,0
135,1.645,1.34118220758076,3.39009293481235,3.36151508501691,0,0,0
136,1.651,1.34694914729229,3.43142817354354,3.42069441800358,0,0,0
137,1.655,1.35071608700383,3.46929641252311,3.4598675151107,0,0,0
138,1.657,1.35248302671536,3.50334080805873,3.4783841391219,0,0,0
139,1.665,1.3602499664269,3.53322552349084,3.56086137669561,0,0,0
140,1.673,1.36801690613844,3.55864360630513,3.64512372086038,0,0,0
141,1.675,1.36978384584997,3.57932479749834,3.6645449483087,0,0,0
142,1.677,1.37155078556151,3.5950428636363,3.68406023380202,0,0,0
143,1.681,1.37531772527305,3.60562199793273,3.72598032243272,0,0,0
144,1.683,1.37708466498458,3.61094195362682,3.74579220622477,0,0,0
