"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.493,0.220412286234931,0.0914394171258384,0.251821619718843,76,18,0.428670861657046
2,0.341,0.0681792259464674,0.091292608730648,0.077081594804246,0,0,0
3,0.35,0.0769461656580034,0.0910080895968345,0.0880113434394909,0,0,0
4,0.342,0.0687131053695395,0.0906028788621772,0.0777494834572516,0,0,0
5,0.341,0.0674800450810754,0.0900999260197631,0.0762064725525678,0,0,0
6,0.341,0.0672469847926114,0.0895260257986539,0.0759146547573134,0,0,0
7,0.336,0.0620139245041474,0.0889098605424043,0.0693479951965134,0,0,0
8,0.336,0.0617808642156835,0.0882802430607185,0.0690549162750143,0,0,0
9,0.335,0.0605478039272195,0.0876645946625015,0.0675034437970407,0,0,0
10,0.335,0.0603147436387555,0.087087689537884,0.0672100370539982,0,0,0
11,0.334,0.0590816833502915,0.0865706881228992,0.065656842004279,0,0,0
12,0.336,0.0608486230618275,0.0861304709454746,0.0678820776143134,0,0,0
13,0.338,0.0626155627733635,0.085779275156867,0.0701043267280476,0,0,0
14,0.344,0.0683825024848995,0.0855246239678694,0.0773359302147207,0,0,0
15,0.341,0.0651494421964355,0.0853695209122549,0.0732858323822324,0,0,0
16,0.352,0.0759163819079715,0.0853128642760796,0.086731762134208,0,0,0
17,0.358,0.0816833216195075,0.0853500263275629,0.0938825266019375,0,0,0
18,0.357,0.0804502613310435,0.0854735269915742,0.092356695157889,0,0,0
19,0.355,0.0782172010425796,0.085673718094606,0.0895890970202925,0,0,0
20,0.356,0.0789841407541156,0.0859394099641985,0.0905402478994837,0,0,0
21,0.351,0.0737510804656516,0.0862584157612781,0.0840374732518513,0,0,0
22,0.35,0.0725180201771876,0.0866180279118107,0.0825009315502033,0,0,0
23,0.361,0.0832849598887236,0.0870054585565391,0.0958618776478894,0,0,0
24,0.359,0.0810518996002596,0.0874082676333158,0.0931013972101647,0,0,0
25,0.363,0.0848188393117956,0.0878147689049585,0.0977547387714074,0,0,0
26,0.361,0.0825857790233316,0.0882143745669178,0.0949981688020481,0,0,0
27,0.361,0.0823527187348677,0.0885978410713328,0.0947101419937504,0,0,0
28,0.363,0.0841196584464037,0.0889574009867426,0.0968922607436546,0,0,0
29,0.361,0.0818865981579397,0.0892867827117955,0.0941339031838038,0,0,0
30,0.36,0.0806535378694757,0.0895811255194962,0.0926083544158358,0,0,0
31,0.364,0.0844204775810117,0.0898367997099545,0.097263406795323,0,0,0
32,0.356,0.0761874172925477,0.0900511444453933,0.0870686553171717,0,0,0
33,0.353,0.0729543570040837,0.0902221406404009,0.0830448444198139,0,0,0
34,0.352,0.0717212967156197,0.0903480519343442,0.0815072621236828,0,0,0
35,0.346,0.0654882364271557,0.0904270900592525,0.0737107371098404,0,0,0
36,0.355,0.0742551761386918,0.0904571703648879,0.084665170612013,0,0,0
37,0.358,0.0770221158502278,0.090435805828847,0.0881056712602723,0,0,0
38,0.361,0.0797890555617637,0.0903601466562585,0.0915377926318976,0,0,0
39,0.363,0.0815559952732998,0.0902271270979759,0.0937250480004013,0,0,0
40,0.357,0.0753229349848358,0.090033661698412,0.0859938377118461,0,0,0
41,0.364,0.0820898746963718,0.0897768486792712,0.0943852329304814,0,0,0
42,0.366,0.0838568144079078,0.0894541633387063,0.0965678825210235,0,0,0
43,0.358,0.0756237541194438,0.0890636311280778,0.0863679403779392,0,0,0
