"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.648,0.375412286234931,0.286620462308702,0.390479637140125,128,9,0.903611214110072
2,0.517,0.244179225946467,0.286560422403463,0.275711933774849,0,0,0
3,0.522,0.248946165658003,0.286447235280103,0.280384306612587,0,0,0
4,0.522,0.248713105369539,0.286297009002617,0.280156796458471,0,0,0
5,0.52,0.246480045081075,0.286132292132861,0.277972085908313,0,0,0
6,0.52,0.246246984792611,0.28598077378599,0.277743567725763,0,0,0
7,0.525,0.251013924504147,0.28587406692402,0.282398653588889,0,0,0
8,0.521,0.246780864215683,0.285846599658764,0.27826690151905,0,0,0
9,0.52,0.245547803927219,0.28593461029014,0.277057441418609,0,0,0
10,0.522,0.247314743638755,0.28617524274681,0.278789735329947,0,0,0
11,0.526,0.251081683350292,0.286605747278872,0.282464535370517,0,0,0
12,0.525,0.249848623061828,0.287262790926268,0.281264374466754,0,0,0
13,0.524,0.248615562773363,0.288181871606704,0.280061548485905,0,0,0
14,0.523,0.2473825024849,0.289396828132855,0.278856056537905,0,0,0
15,0.527,0.251149442196436,0.2909394521108,0.282530409107426,0,0,0
16,0.535,0.258916381907972,0.292839217702136,0.290028007662535,0,0,0
17,0.535,0.258683321619508,0.295123135209821,0.289804564467011,0,0,0
18,0.538,0.261450261331044,0.297815714083301,0.292451209332863,0,0,0
19,0.541,0.26421720104258,0.300939014214589,0.295084505393454,0,0,0
20,0.543,0.265984140754116,0.304512776337961,0.296759128740177,0,0,0
21,0.547,0.269751080465652,0.308554636771894,0.300311151800811,0,0,0
22,0.553,0.275518020177188,0.313080438502946,0.305701460205169,0,0,0
23,0.562,0.284284959888724,0.318104649831576,0.313786175465938,0,0,0
24,0.575,0.29705189960026,0.323640891515206,0.325325615814632,0,0,0
25,0.579,0.300818839311796,0.329702554045465,0.328678016000918,0,0,0
26,0.591,0.312585779023332,0.336303470162902,0.338998911803715,0,0,0
27,0.603,0.324352718734868,0.343458605707113,0.349095184529458,0,0,0
28,0.608,0.329119658446404,0.351184739136694,0.353122813592142,0,0,0
29,0.626,0.34688659815794,0.359501105681588,0.367826884100986,0,0,0
30,0.64,0.360653537869476,0.36842998489223,0.378900407932741,0,0,0
31,0.654,0.374420477581012,0.377997207897384,0.389710579044641,0,0,0
32,0.672,0.392187417292548,0.388232551904355,0.403299619611316,0,0,0
33,0.691,0.410954357004084,0.399169983625811,0.417252026032319,0,0,0
34,0.709,0.42872129671562,0.410847713314993,0.430128357539643,0,0,0
35,0.727,0.446488236427156,0.423308021974253,0.44273248836357,0,0,0
36,0.75,0.469255176138692,0.436596828087525,0.458574966944047,0,0,0
37,0.76,0.479022115850228,0.450762969972444,0.465293783783456,0,0,0
38,0.785,0.503789055561764,0.465857194781351,0.482218377670238,0,0,0
39,0.799,0.5175559952733,0.481930864600464,0.491609907025619,0,0,0
40,0.828,0.546322934984836,0.499034407817863,0.511383207281841,0,0,0
41,0.846,0.564089874696372,0.517215551309249,0.523817905054943,0,0,0
42,0.871,0.588856814407908,0.536517367717013,0.541631671413649,0,0,0
43,0.893,0.610623754119444,0.556976171705453,0.557932186793363,0,0,0
44,0.91,0.62739069383098,0.578619305344712,0.571021340973911,0,0,0
