"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.507,0.256090390269981,0.178867201972671,0.287312227678487,84,13,0.640296224387385
2,0.406,0.154920880556225,0.178771820246551,0.180966028884379,0,0,0
3,0.387,0.135751370842469,0.178587311894709,0.158906101326716,0,0,0
4,0.395,0.143581861128713,0.178327287324314,0.167985205734623,0,0,0
5,0.401,0.149412351414957,0.178010388590902,0.174684816237168,0,0,0
6,0.397,0.145242841701201,0.177658893910906,0.169899100109217,0,0,0
7,0.41,0.158073331987446,0.177297433778063,0.184539209513175,0,0,0
8,0.397,0.14490382227369,0.176951806392179,0.169508801662203,0,0,0
9,0.404,0.151734312559934,0.176647845878815,0.177338263425783,0,0,0
10,0.383,0.130564802846178,0.17641032209682,0.152842212809794,0,0,0
11,0.397,0.144395293132422,0.176261894746933,0.168923024130109,0,0,0
12,0.393,0.140225783418666,0.17622217959933,0.164105293074206,0,0,0
13,0.394,0.14105627370491,0.176306979268635,0.165066999781077,0,0,0
14,0.389,0.135886763991154,0.176527697026518,0.159063864543809,0,0,0
15,0.391,0.137717254277398,0.176890936494444,0.161194114665881,0,0,0
16,0.391,0.137547744563642,0.177398302537983,0.16099705622538,0,0,0
17,0.4,0.146378234849887,0.178046425206732,0.171204945469236,0,0,0
18,0.399,0.145208725136131,0.178827209777665,0.169859831146961,0,0,0
19,0.393,0.139039215422375,0.179728289480883,0.162729444641577,0,0,0
20,0.408,0.153869705708619,0.180733652162323,0.179771075091229,0,0,0
21,0.407,0.152700195994863,0.181824423835162,0.178439560375256,0,0,0
22,0.427,0.172530686281107,0.182979782677742,0.20072192493919,0,0,0
23,0.438,0.183361176567351,0.184177932619451,0.212620644738796,0,0,0
24,0.422,0.167191666853595,0.185397016786671,0.194785153914074,0,0,0
25,0.412,0.157022157139839,0.186615850111071,0.183349492338264,0,0,0
26,0.443,0.187852647426083,0.187814422712921,0.21749766155185,0,0,0
27,0.422,0.166683137712327,0.188974200865057,0.19421726713014,0,0,0
28,0.432,0.176513627998572,0.190078248392049,0.205120327575865,0,0,0
29,0.403,0.147344118284816,0.191111162825132,0.172314272930386,0,0,0
30,0.418,0.16217460857106,0.192058857130769,0.189164192689391,0,0,0
31,0.409,0.153005098857304,0.192908284198916,0.178786906299302,0,0,0
32,0.43,0.173835589143548,0.193647210947567,0.202165822717206,0,0,0
33,0.429,0.172666079429792,0.194264087112304,0.200871870000807,0,0,0
34,0.408,0.151496569716036,0.194747979109455,0.177066966204031,0,0,0
35,0.417,0.16032706000228,0.195088525900918,0.187084049893878,0,0,0
36,0.41,0.153157550288524,0.195275932225547,0.17896052461719,0,0,0
37,0.412,0.154988040574768,0.195301068701158,0.181042315875358,0,0,0
38,0.425,0.167818530861013,0.195155739954718,0.19548461010194,0,0,0
39,0.43,0.172649021147257,0.194833131390444,0.200852979970279,0,0,0
40,0.418,0.160479511433501,0.194328389420197,0.18725590077837,0,0,0
41,0.42,0.162310001719745,0.193639265773921,0.189316415757037,0,0,0
42,0.426,0.168140492005989,0.192766786876821,0.195843606677922,0,0,0
43,0.43,0.171970982292233,0.191715947330404,0.200101745106342,0,0,0
44,0.419,0.160801472578477,0.190496418247184,0.187618709391421,0,0,0
45,0.407,0.148631962864721,0.189123242879882,0.173791137214893,0,0,0
46,0.416,0.157462453150965,0.187617522286492,0.183848031693306,0,0,0
47,0.425,0.166292943437209,0.186007139599519,0.193781243290913,0,0,0
48,0.43,0.171123433723454,0.184327553560135,0.199161640868956,0,0,0
49,0.411,0.151953924009698,0.182622619063872,0.177588791789699,0,0,0
50,0.412,0.152784414295942,0.18094536161334,0.178535516585823,0,0,0
51,0.414,0.154614904582186,0.179358683656714,0.180618381173879,0,0,0
52,0.42,0.16044539486843,0.1779360363741,0.187217446104927,0,0,0
53,0.417,0.157275885154674,0.176762078505111,0.183636821593174,0,0,0
54,0.433,0.173106375440918,0.175933292504172,0.201359280274314,0,0,0
55,0.431,0.170936865727162,0.175558490409876,0.198954540830588,0,0,0
56,0.444,0.183767356013406,0.175759119881434,0.213063084811781,0,0,0
57,0.438,0.17759784629965,0.176669267730195,0.206313101292034,0,0,0
58,0.441,0.180428336585894,0.178435267022633,0.209417787941514,0,0,0
59,0.437,0.176258826872139,0.181214850156936,0.204839732354723,0,0,0
60,0.457,0.196089317158383,0.18517583477829,0.226352710406287,0,0,0
61,0.446,0.184919807444627,0.190494349452131,0.21431691140567,0,0,0
62,0.447,0.185750297730871,0.197352600503917,0.21521907218496,0,0,0
63,0.452,0.190580788017115,0.205936193894375,0.22044337443711,0,0,0
64,0.471,0.209411278303359,0.216431065982343,0.240429134061037,0,0,0
65,0.479,0.217241768589603,0.229020089565893,0.248559886947363,0,0,0
66,0.472,0.210072258875847,0.243879390795913,0.24111957461692,0,0,0
67,0.478,0.215902749162091,0.26117440680201,0.247177080467965,0,0,0
68,0.506,0.243733239448335,0.281055771151113,0.275272755275021,0,0,0
69,0.523,0.26056372973458,0.303655166111797,0.291604674787343,0,0,0
70,0.552,0.289394220020824,0.32908125804206,0.318437287240856,0,0,0
71,0.563,0.300224710307068,0.357415774530627,0.328150839770292,0,0,0
72,0.6,0.337055200593312,0.38870976658426,0.359749452781529,0,0,0
