"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.475,0.224090390269981,0.19200918165583,0.255583548646816,127,25,0.93097077293515
2,0.439,0.187920880556225,0.191903751958262,0.217571489768808,0,0,0
3,0.406,0.154751370842469,0.191696025960249,0.180773451380415,0,0,0
4,0.403,0.151581861128713,0.191395361492423,0.177164305566723,0,0,0
5,0.41,0.158412351414957,0.191014476566923,0.184922536677806,0,0,0
6,0.411,0.159242841701201,0.190568344420544,0.185860794252214,0,0,0
7,0.409,0.157073331987446,0.190073173432678,0.183407452493915,0,0,0
8,0.403,0.15090382227369,0.189545505606232,0.176390175896036,0,0,0
9,0.407,0.154734312559934,0.18900142649894,0.180754069208574,0,0,0
10,0.399,0.146564802846178,0.188455898381365,0.17141933273839,0,0,0
11,0.41,0.157395293132422,0.187922242511264,0.183772007466341,0,0,0
12,0.407,0.154225783418666,0.187411786482482,0.180176051569359,0,0,0
13,0.402,0.14905627370491,0.186933670398472,0.174277163154631,0,0,0
14,0.413,0.159886763991154,0.186494792197168,0.186587517710968,0,0,0
15,0.408,0.154717254277398,0.186099874665165,0.180734686578412,0,0,0
16,0.409,0.155547744563642,0.185751636648341,0.181677806395941,0,0,0
17,0.414,0.160378234849887,0.185451044769322,0.187141740885562,0,0,0
18,0.412,0.158208725136131,0.185197622308802,0.184692319619257,0,0,0
19,0.409,0.155039215422375,0.184989795066028,0.181100440555994,0,0,0
20,0.414,0.159869705708619,0.184825258265082,0.186568274454963,0,0,0
21,0.415,0.160700195994863,0.184701357631798,0.187504601639361,0,0,0
22,0.414,0.159530686281107,0.184615478731091,0.186185734146326,0,0,0
23,0.415,0.160361176567351,0.184565429363961,0.187122511020033,0,0,0
24,0.412,0.157191666853595,0.184549799090839,0.183541461564726,0,0,0
25,0.413,0.158022157139839,0.184568292082695,0.184481330562122,0,0,0
26,0.411,0.155852647426083,0.184622042146697,0.182023786512526,0,0,0
27,0.41,0.154683137712327,0.184713925493817,0.180695919943209,0,0,0
28,0.417,0.161513627998572,0.184848887636442,0.18842062722853,0,0,0
29,0.411,0.155344118284816,0.185034293856631,0.181446665356059,0,0,0
30,0.412,0.15617460857106,0.185280301466445,0.182388963622124,0,0,0
31,0.416,0.160005098857304,0.185600249784555,0.186720997149344,0,0,0
32,0.42,0.163835589143548,0.186011068294047,0.191029603139288,0,0,0
33,0.42,0.163666079429792,0.186533695018527,0.190839433968819,0,0,0
34,0.42,0.163496569716036,0.187193479295552,0.19064921850922,0,0,0
35,0.42,0.16332706000228,0.188020540824531,0.190458956779007,0,0,0
36,0.422,0.165157550288524,0.189050072834622,0.192511091669706,0,0,0
37,0.425,0.167988040574768,0.190322591161362,0.195673639665936,0,0,0
38,0.426,0.168818530861013,0.191884130998169,0.196599088961099,0,0,0
39,0.425,0.167649021147257,0.193786386401974,0.195295533808062,0,0,0
40,0.428,0.170479511433501,0.196086788213765,0.198446613080101,0,0,0
41,0.434,0.176310001719745,0.198848524801753,0.20489609637184,0,0,0
42,0.444,0.186140492005989,0.202140510131161,0.215642539204333,0,0,0
43,0.443,0.184970982292233,0.206037284456901,0.214372536116791,0,0,0
44,0.45,0.191801472578477,0.210618811931714,0.22175732756165,0,0,0
45,0.457,0.198631962864721,0.215970140061029,0.229062903804242,0,0,0
46,0.463,0.204462453150965,0.222180900759507,0.235235722212233,0,0,0
47,0.471,0.212292943437209,0.229344639440849,0.243433686536321,0,0,0
48,0.483,0.224123433723454,0.237557956173391,0.255617237972756,0,0,0
49,0.491,0.231953924009698,0.2469194403399,0.263546872100748,0,0,0
50,0.496,0.236784414295942,0.257528379830068,0.268384907314518,0,0,0
51,0.51,0.250614904582186,0.269483234734725,0.282010524184926,0,0,0
52,0.522,0.26244539486843,0.282879885394554,0.293399813670812,0,0,0
53,0.531,0.271275885154674,0.297809679899787,0.301741965642568,0,0,0
54,0.551,0.291106375440918,0.314357310913344,0.319986006180865,0,0,0
55,0.571,0.310936865727162,0.332598555190525,0.337566301971243,0,0,0
56,0.592,0.331767356013406,0.352597908671683,0.355344573829041,0,0,0
57,0.613,0.35259784629965,0.374406141671417,0.37245372017209,0,0,0
58,0.641,0.380428336585894,0.398057796162457,0.394349745571864,0,0,0
59,0.665,0.404258826872139,0.423568658258121,0.412318392452421,0,0,0
60,0.694,0.433089317158383,0.450933255222814,0.433250280886917,0,0,0
61,0.731,0.469919807444627,0.480122442293273,0.459033385650858,0,0,0
62,0.761,0.499750297730871,0.511081158929006,0.479464255707747,0,0,0
63,0.789,0.527580788017115,0.543726445961449,0.498467109209831,0,0,0
64,0.824,0.562411278303359,0.577945833296499,0.522632724173054,0,0,0
65,0.859,0.597241768589603,0.613596236757441,0.547828628244762,0,0,0
66,0.893,0.631072258875847,0.650503526118497,0.573967376659481,0,0,0
67,0.925,0.662902749162091,0.688462931842296,0.600713215768974,0,0,0
68,0.966,0.703733239448335,0.72724045245017,0.639152045794437,0,0,0
69,1.004,0.74156372973458,0.766575408609159,0.680127679543141,0,0,0
70,1.04,0.777394220020824,0.806184250549261,0.724903202431188,0,0,0
71,1.074,0.811224710307068,0.84576566284823,0.773600273337866,0,0,0
72,1.116,0.853055200593312,0.885006939706602,0.844068852529337,0,0,0
73,1.155,0.891885690879556,0.923591517232252,0.921404778458203,0,0,0
74,1.189,0.9257161811658,0.961207422528551,0.999615907803569,0,0,0
75,1.221,0.957546671452044,0.997556243590087,1.0836270805979,0,0,0
76,1.252,0.988377161738288,1.03236208402978,1.17572159640063,0,0,0
77,1.26,0.996207652024532,1.0653798751692,1.20092169942134,0,0,0
78,1.27,1.00603814231078,1.09640241813444,1.23364827420671,0,0,0
79,1.274,1.00986863259702,1.12526567588983,1.24673598132767,0,0,0
80,1.272,1.00769912288326,1.15185209506001,1.23929999848826,0,0,0
81,1.274,1.00952961316951,1.1760919933106,1.24556995407645,0,0,0
82,1.278,1.01336010345575,1.19796322766111,1.25883213760161,0,0,0
83,1.276,1.011190593742,1.21748944384494,1.2512970931412,0,0,0
84,1.276,1.01102108402824,1.23473720898938,1.25071096227996,0,0,0
85,1.28,1.01485157431449,1.24981230714226,1.26404822585784,0,0,0
86,1.282,1.01668206460073,1.26285545826562,1.27049024162217,0,0,0
87,1.282,1.01651255488697,1.27403767686455,1.26989181787456,0,0,0
88,1.282,1.01634304517322,1.28355542543873,1.26929377654019,0,0,0
89,1.284,1.01817353545946,1.29162568897529,1.27577212740167,0,0,0
90,1.282,1.01600402574571,1.29848109849697,1.26809884035568,0,0,0
91,1.284,1.01783451603195,1.3043652298093,1.27456891818025,0,0,0
92,1.286,1.01966500631819,1.3095281900657,1.2810837622241,0,0,0
93,1.287,1.02049549660444,1.31422258049074,1.28405436262535,0,0,0
94,1.288,1.02132598689068,1.31869988693236,1.28703424922073,0,0,0
95,1.29,1.02315647717693,1.32320731860454,1.29363514218869,0,0,0
96,1.294,1.02698696746317,1.32798510118187,1.30759558054397,0,0,0
97,1.296,1.02881745774941,1.33326421453807,1.31433784555314,0,0,0
98,1.296,1.02864794803566,1.33926453941012,1.31371155095334,0,0,0
99,1.3,1.0324784383219,1.34619336692189,1.32796123578508,0,0,0
100,1.302,1.03430892860815,1.35424424211327,1.3348428454498,0,0,0
