"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.686,0.435090390269981,0.349640403769314,0.434675207350961,74,16,0.717242607340642
2,0.619,0.367920880556225,0.34955256706367,0.384638722568615,0,0,0
3,0.54,0.288751370842469,0.349380199443067,0.317854520776808,0,0,0
4,0.554,0.302581861128713,0.349134088561402,0.330238910423652,0,0,0
5,0.557,0.305412351414957,0.348828743370468,0.332734126835894,0,0,0
6,0.565,0.313242841701201,0.348481087734063,0.339568551029971,0,0,0
7,0.571,0.319073331987446,0.348109356896178,0.344592758058382,0,0,0
8,0.566,0.31390382227369,0.347732212990499,0.340140880996924,0,0,0
9,0.57,0.317734312559934,0.347368019000057,0.343443742000577,0,0,0
10,0.565,0.312564802846178,0.347034223204365,0.338980715012021,0,0,0
11,0.572,0.319395293132422,0.346746834689244,0.344868606059837,0,0,0
12,0.563,0.310225783418666,0.346519985357664,0.336947133275929,0,0,0
13,0.574,0.32105627370491,0.346365576225316,0.346289064449023,0,0,0
14,0.57,0.316886763991154,0.346293003830028,0.342714973170578,0,0,0
15,0.572,0.318717254277398,0.346308957102184,0.344287486927536,0,0,0
16,0.566,0.312547744563642,0.346417270719438,0.338965916459584,0,0,0
17,0.57,0.316378234849886,0.346618828695768,0.342277158011184,0,0,0
18,0.571,0.317208725136131,0.3469115263975,0.342991948872786,0,0,0
19,0.568,0.314039215422375,0.347290303033537,0.340258027973403,0,0,0
20,0.579,0.324869705708619,0.347747248645925,0.349533715077841,0,0,0
21,0.584,0.329700195994863,0.348271777559536,0.353610890254362,0,0,0
22,0.574,0.319530686281107,0.348850844124344,0.344984557965361,0,0,0
23,0.573,0.318361176567351,0.349469169439173,0.343982012979279,0,0,0
24,0.569,0.314191666853595,0.350109471205249,0.340389898893914,0,0,0
25,0.573,0.318022157139839,0.350752727142663,0.34369098444802,0,0,0
26,0.575,0.319852647426083,0.351378516397333,0.345260170858085,0,0,0
27,0.583,0.327683137712327,0.351965464851666,0.351912828266673,0,0,0
28,0.58,0.324513627998572,0.352491790043122,0.349231719814771,0,0,0
29,0.581,0.325344118284816,0.352935921043257,0.3499357619336,0,0,0
30,0.575,0.31917460857106,0.353277170715034,0.344679547075854,0,0,0
31,0.58,0.324005098857304,0.353496458121719,0.34880008153347,0,0,0
32,0.576,0.319835589143548,0.35357709766582,0.345245572367737,0,0,0
33,0.586,0.329666079429792,0.353505673045098,0.353582221843245,0,0,0
34,0.581,0.324496569716036,0.353272999779319,0.349217247395677,0,0,0
35,0.582,0.32532706000228,0.35287516325696,0.349921311815609,0,0,0
36,0.581,0.324157550288524,0.352314614327424,0.348929524739392,0,0,0
37,0.587,0.329988040574768,0.351601311711339,0.353852696303498,0,0,0
38,0.588,0.330818530861013,0.350753902730876,0.354549635705805,0,0,0
39,0.593,0.335649021147257,0.349800920897927,0.358582252001841,0,0,0
40,0.582,0.324479511433501,0.348781963893536,0.349202774517994,0,0,0
41,0.593,0.335310001719745,0.347748816602674,0.358300397725211,0,0,0
42,0.593,0.335140492005989,0.346766497227436,0.358159404771567,0,0,0
43,0.599,0.340970982292233,0.345914206241341,0.362983967944203,0,0,0
44,0.599,0.340801472578477,0.345286141153334,0.362844427751176,0,0,0
45,0.602,0.343631962864721,0.34499212615386,0.365168852930606,0,0,0
46,0.614,0.355462453150965,0.345158006492799,0.374756695979,0,0,0
47,0.612,0.353292943437209,0.345925759255001,0.373013616161975,0,0,0
48,0.62,0.361123433723454,0.34745326692459,0.379273634178904,0,0,0
49,0.626,0.366953924009698,0.349913699272356,0.383879360969993,0,0,0
50,0.63,0.370784414295942,0.353494458275635,0.386880132371788,0,0,0
51,0.64,0.380614904582186,0.358395651008272,0.394493073675665,0,0,0
52,0.649,0.38944539486843,0.364828062906046,0.401227630084959,0,0,0
53,0.662,0.402275885154674,0.373010609927789,0.410848075817099,0,0,0
54,0.674,0.414106375440918,0.383167251824771,0.419558568289642,0,0,0
55,0.69,0.429936865727162,0.395523352887736,0.430998773156036,0,0,0
56,0.697,0.436767356013406,0.410301487347819,0.435866864948327,0,0,0
57,0.713,0.45259784629965,0.427716708987723,0.447013697237895,0,0,0
58,0.728,0.467428336585894,0.44797133897598,0.457313922252703,0,0,0
59,0.753,0.492258826872139,0.471249362027297,0.474352101606105,0,0,0
60,0.771,0.510089317158383,0.497710545430911,0.486514525764548,0,0,0
61,0.79,0.528919807444627,0.527484411593115,0.499385100933849,0,0,0
62,0.815,0.553750297730871,0.560664219397307,0.516553730669285,0,0,0
63,0.842,0.580580788017115,0.597301147521885,0.535604065021629,0,0,0
64,0.869,0.607411278303359,0.63739890923255,0.555480960042365,0,0,0
65,0.901,0.639241768589603,0.680909052752292,0.580606267120568,0,0,0
66,0.93,0.668072258875847,0.727727218909286,0.605299026574599,0,0,0
67,0.965,0.702902749162091,0.777690642803402,0.638315303395192,0,0,0
68,1,0.737733239448335,0.830577194535332,0.675705839518267,0,0,0
69,1.04,0.77756372973458,0.886106246647077,0.725130737832349,0,0,0
70,1.076,0.813394220020824,0.943941624066522,0.776961452062519,0,0,0
71,1.12,0.857224710307068,1.00369683326377,0.851788961043966,0,0,0
72,1.153,0.890055200593312,1.06494268314484,0.917473710108221,0,0,0
73,1.195,0.931885690879556,1.12721730565184,1.01507349245141,0,0,0
74,1.237,0.9737161811658,1.19003845952597,1.13054330162014,0,0,0
75,1.28,1.01654667145204,1.25291783324171,1.27001222956573,0,0,0
76,1.318,1.05437716173829,1.31537682723743,1.41341924718142,0,0,0
77,1.355,1.09120765202453,1.37696301759926,1.5733917240623,0,0,0
78,1.391,1.12703814231078,1.43726624158738,1.75028685309615,0,0,0
79,1.397,1.13286863259702,1.49593305349074,1.78119282183773,0,0,0
80,1.401,1.13669912288326,1.55267830553781,1.8018327599201,0,0,0
81,1.405,1.14052961316951,1.60729297387397,1.82274166566844,0,0,0
82,1.405,1.14036010345575,1.65964797585579,1.82181066651632,0,0,0
83,1.407,1.142190593742,1.70969426521021,1.83189244106371,0,0,0
84,1.413,1.14802108402824,1.75745975636059,1.86442123437228,0,0,0
85,1.411,1.14585157431449,1.80304368729102,1.85224301316048,0,0,0
86,1.413,1.14768206460073,1.84660900203979,1.86251236459299,0,0,0
87,1.419,1.15351255488697,1.8883733070901,1.89564418061798,0,0,0
88,1.423,1.15734304517322,1.92859893542874,1.91776366506573,0,0,0
89,1.427,1.16117353545946,1.96758257415576,1.94016583942514,0,0,0
90,1.431,1.16500402574571,2.00564479316695,1.96285328420744,0,0,0
91,1.435,1.16883451603195,2.04311973740179,1.98582859067346,0,0,0
92,1.439,1.17266500631819,2.0803452250156,2.00909436083363,0,0,0
93,1.444,1.17749549660444,2.11765348489959,2.03885212315182,0,0,0
94,1.455,1.18832598689068,2.15536273842936,2.10729338272681,0,0,0
95,1.455,1.18815647717693,2.1937697618144,2.1062036413741,0,0,0
96,1.463,1.19598696746317,2.23314348303552,2.15716891409178,0,0,0
97,1.471,1.20381745774941,2.27371963905736,2.20942640382095,0,0,0
98,1.478,1.21064794803566,2.31569652648375,2.25608351378095,0,0,0
99,1.488,1.2204784383219,2.35923183498059,2.32502035166669,0,0,0
100,1.49,1.22230892860815,2.40444047037912,2.33809293126907,0,0,0
101,1.496,1.22813941889439,2.45139325285685,2.38023238575045,0,0,0
102,1.508,1.23996990918063,2.50011644548588,2.46811145629643,0,0,0
103,1.514,1.24580039946688,2.55059212863654,2.51261193917515,0,0,0
104,1.526,1.25763088975312,2.60275937963351,2.60537376408638,0,0,0
105,1.528,1.25946138003937,2.6565161012225,2.62002584596632,0,0,0
106,1.534,1.26529187032561,2.71172131513044,2.66723787598588,0,0,0
107,1.542,1.27312236061186,2.76819784322731,2.73195720445853,0,0,0
108,1.554,1.2849528508981,2.82573542314241,2.83264129008404,0,0,0
109,1.556,1.28678334118434,2.8840942984431,2.84853669431809,0,0,0
110,1.563,1.29361383147059,2.94300922527499,2.90861080141704,0,0,0
111,1.574,1.30444432175683,3.00219382225572,3.0063557053714,0,0,0
112,1.579,1.30927481204308,3.06134524613636,3.0509508762445,0,0,0
113,1.588,1.31810530232932,3.1201491531272,3.13409514631102,0,0,0
114,1.592,1.32193579261556,3.17828483105309,3.17082074680416,0,0,0
115,1.599,1.32876628290181,3.23543038405386,3.23731211755468,0,0,0
