"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.488,0.290886874657909,0.241005533349092,0.319787735228488,34,11,0.957081553580465
2,0.45,0.252330187322256,0.240483472602111,0.283677013577711,0,0,0
3,0.412,0.213773499986603,0.239476489935276,0.244971774939098,0,0,0
4,0.429,0.230216812650951,0.238062871184036,0.261797040841074,0,0,0
5,0.434,0.234660125315298,0.236358069085124,0.266262343955664,0,0,0
6,0.434,0.234103437979645,0.234512702301767,0.265704799286012,0,0,0
7,0.431,0.230546750643992,0.232710183697247,0.262129801833913,0,0,0
8,0.433,0.231990063308339,0.231163942951241,0.263583219836535,0,0,0
9,0.425,0.223433375972686,0.230114202210481,0.254913295736638,0,0,0
10,0.426,0.223876688637033,0.229824295472057,0.255365623849724,0,0,0
11,0.42,0.217320001301381,0.230576548339199,0.248640581344701,0,0,0
12,0.424,0.220763313965728,0.232667753565305,0.252181667803576,0,0,0
13,0.426,0.222206626630075,0.236404287287063,0.253659807371475,0,0,0
14,0.429,0.224649939294422,0.24209690780187,0.256153777004047,0,0,0
15,0.433,0.228093251958769,0.250055271074768,0.259650744345811,0,0,0
16,0.436,0.230536564623116,0.26058219870227,0.26211953151505,0,0,0
17,0.449,0.242979877287464,0.273967748918207,0.274530100343789,0,0,0
18,0.463,0.256423189951811,0.290483157046153,0.287632773521179,0,0,0
19,0.478,0.270866502616158,0.310374714502131,0.3013582132927,0,0,0
20,0.495,0.287309815280505,0.333857649753161,0.316545149437456,0,0,0
21,0.52,0.311753127944852,0.36111007859531,0.338276039911915,0,0,0
22,0.544,0.335196440609199,0.39226710863761,0.358205945948067,0,0,0
23,0.575,0.365639753273546,0.427415202682455,0.382845301749903,0,0,0
24,0.609,0.399083065937894,0.466586924638816,0.408471575780237,0,0,0
25,0.652,0.441526378602241,0.509756214020581,0.439236760198753,0,0,0
26,0.692,0.480969691266588,0.556834359483133,0.466629480944248,0,0,0
27,0.732,0.520413003930935,0.607666868513567,0.493561796400977,0,0,0
28,0.768,0.555856316595282,0.662031469510612,0.518026641082798,0,0,0
29,0.823,0.610299629259629,0.71963753792413,0.557684092901809,0,0,0
30,0.881,0.667742941923976,0.780127286413498,0.605004672797026,0,0,0
31,0.937,0.723186254588324,0.84307906209918,0.659494329318037,0,0,0
32,0.992,0.777629567252671,0.908013040361002,0.725219154852202,0,0,0
33,1.05,0.835072879917018,0.974399514184993,0.812266481871129,0,0,0
34,1.104,0.888516192581365,1.04166985840148,0.914191448345528,0,0,0
35,1.165,0.948959505245712,1.10923007663414,1.059901723886,0,0,0
36,1.221,1.00440281791006,1.17647658619676,1.22811863316273,0,0,0
37,1.278,1.06084613057441,1.24281354636103,1.44000402642161,0,0,0
38,1.312,1.09428944323875,1.30767061827762,1.58775357826756,0,0,0
39,1.322,1.1037327559031,1.3705197110432,1.63274136644793,0,0,0
40,1.332,1.11317606856745,1.4308892759015,1.67923464303243,0,0,0
41,1.332,1.1126193812318,1.48837517105511,1.67645143204395,0,0,0
42,1.34,1.12006269389614,1.542647794333,1.71411051444615,0,0,0
43,1.345,1.12450600656049,1.59345570569144,1.73705467996056,0,0,0
44,1.34,1.11894931922484,1.64062619817724,1.70841589566136,0,0,0
45,1.351,1.12939263188918,1.68406334000064,1.76269366518352,0,0,0
46,1.354,1.13183594455353,1.72374402970033,1.77567406549522,0,0,0
47,1.357,1.13427925721788,1.75971256688896,1.78876260213087,0,0,0
48,1.363,1.13972256988223,1.79207412941631,1.81831389360374,0,0,0
49,1.359,1.13516588254657,1.82098745823588,1.7935390155958,0,0,0
50,1.358,1.13360919521092,1.84665705110166,1.78516236068989,0,0,0
51,1.367,1.14205250787527,1.86932522987661,1.83112973946017,0,0,0
