"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.654,0.456886874657909,0.315410355366697,0.450005105589788,81,14,0.928093640640338
2,0.514,0.316330187322256,0.314940389283836,0.342235770273935,0,0,0
3,0.476,0.277773499986603,0.314020922116603,0.307794027518468,0,0,0
4,0.467,0.268216812650951,0.312696527637346,0.298867391556505,0,0,0
5,0.466,0.266660125315298,0.311031462563129,0.297398359906971,0,0,0
6,0.464,0.264103437979645,0.309107441937977,0.29497649993678,0,0,0
7,0.452,0.251546750643992,0.307021506004941,0.282916502222778,0,0,0
8,0.466,0.264990063308339,0.304884090449723,0.295817656497839,0,0,0
9,0.471,0.269433375972686,0.302817333110831,0.30001252399049,0,0,0
10,0.457,0.254876688637033,0.300953608181827,0.286141573723738,0,0,0
11,0.458,0.255320001301381,0.299434246985958,0.286569461638102,0,0,0
12,0.462,0.258763313965728,0.298408415290866,0.289881266668318,0,0,0
13,0.467,0.263206626630075,0.298032148615066,0.294124287790253,0,0,0
14,0.477,0.272649939294422,0.29846754250982,0.30302787469738,0,0,0
15,0.479,0.274093251958769,0.299882057368866,0.30437508546083,0,0,0
16,0.487,0.281536564623116,0.302447869311194,0.311265829659764,0,0,0
17,0.499,0.292979877287464,0.306341196303048,0.32167499571434,0,0,0
18,0.512,0.305423189951811,0.311741535984057,0.332743656121526,0,0,0
19,0.525,0.317866502616158,0.318830749518527,0.343557302380429,0,0,0
20,0.544,0.336309815280505,0.327791916085711,0.359131119808142,0,0,0
21,0.557,0.348753127944852,0.338807879180378,0.36934423089788,0,0,0
22,0.579,0.370196440609199,0.352059413165314,0.386420792790159,0,0,0
23,0.607,0.397639753273546,0.367722951888718,0.407393543690272,0,0,0
24,0.628,0.418083065937894,0.385967832506815,0.422454492198869,0,0,0
25,0.647,0.436526378602241,0.406953016336384,0.435695762668603,0,0,0
26,0.675,0.463969691266588,0.430823270937305,0.454922192912856,0,0,0
27,0.701,0.489413003930935,0.457704840826612,0.47240801051491,0,0,0
28,0.727,0.514856316595282,0.48770067945052,0.489766798167689,0,0,0
29,0.751,0.538299629259629,0.520885350942233,0.505834307843259,0,0,0
30,0.779,0.565742941923976,0.557299748222642,0.524987460002685,0,0,0
31,0.803,0.589186254588324,0.596945820488818,0.541873370053781,0,0,0
32,0.833,0.618629567252671,0.639781549858241,0.564117627704326,0,0,0
33,0.856,0.641072879917018,0.685716457595879,0.582114335660926,0,0,0
34,0.887,0.671516192581365,0.734607955635592,0.608395824267148,0,0,0
35,0.914,0.697959505245712,0.78625888922423,0.633385777010141,0,0,0
36,0.952,0.735402817910059,0.840416635470197,0.67304758603586,0,0,0
37,0.991,0.773846130574406,0.896774117500343,0.720176372768342,0,0,0
38,1.042,0.824289443238754,0.954973047298165,0.794306989345494,0,0,0
