"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.504,0.306886874657909,0.223635226517397,0.334028757387124,34,12,0.966686187496346
2,0.476,0.278330187322256,0.223030643619524,0.308309158953198,0,0,0
3,0.498,0.299773499986603,0.221859036495277,0.32775008422914,0,0,0
4,0.39,0.191216812650951,0.220198934161043,0.221128311108171,0,0,0
5,0.385,0.185660125315298,0.218164517939858,0.215121174115528,0,0,0
6,0.378,0.178103437979645,0.215901758808392,0.206868647910702,0,0,0
7,0.374,0.173546750643992,0.213584051574474,0.201846459303749,0,0,0
8,0.388,0.186990063308339,0.211407736670782,0.216563668444615,0,0,0
9,0.386,0.184433375972686,0.209587682728391,0.213787963046561,0,0,0
10,0.386,0.183876688637034,0.208352935737027,0.213182130566161,0,0,0
11,0.38,0.177320001301381,0.207942377744504,0.206007623254046,0,0,0
12,0.379,0.175763313965728,0.208600352665807,0.2042937499754,0,0,0
13,0.384,0.180206626630075,0.210572262975625,0.209175081800575,0,0,0
14,0.386,0.181649939294422,0.21410016930669,0.210753606813616,0,0,0
15,0.39,0.185093251958769,0.219418420447914,0.21450541981334,0,0,0
16,0.395,0.189536564623116,0.226749327644353,0.219317360619627,0,0,0
17,0.398,0.191979877287464,0.236298897901164,0.221949151780371,0,0,0
18,0.401,0.194423189951811,0.248252658159938,0.224570803473822,0,0,0
19,0.415,0.207866502616158,0.262771628020524,0.23881255671604,0,0,0
20,0.428,0.220309815280505,0.27998852024577,0.251716474997313,0,0,0
21,0.441,0.232753127944852,0.300004250915147,0.26435015069422,0,0,0
22,0.465,0.256196440609199,0.32288483012589,0.287414394218947,0,0,0
23,0.493,0.283639753273546,0.348658695726914,0.313195664265785,0,0,0
24,0.526,0.316083065937894,0.377314542450174,0.34202284329896,0,0,0
25,0.554,0.343526378602241,0.408799679826564,0.365082360613828,0,0,0
26,0.596,0.384969691266588,0.443018941499749,0.397826213997184,0,0,0
27,0.638,0.426413003930935,0.479834180192246,0.428471964072036,0,0,0
28,0.681,0.468856316595282,0.519064403992564,0.458299766893166,0,0,0
29,0.736,0.523299629259629,0.560486627154119,0.495535674918011,0,0,0
30,0.782,0.568742941923976,0.603837524239357,0.527116298006356,0,0,0
31,0.824,0.610186254588324,0.648815993541279,0.557597354402036,0,0,0
32,0.875,0.660629567252671,0.695086756188793,0.59871984730539,0,0,0
33,0.922,0.707072879917018,0.742285136488083,0.642542169294863,0,0,0
34,0.965,0.749516192581365,0.790023165903728,0.689521797727514,0,0,0
35,1.016,0.799959505245712,0.837897113145643,0.75662500764463,0,0,0
36,1.074,0.857402817910059,0.885496462129672,0.852121728663799,0,0,0
37,1.135,0.917846130574407,0.932414208056093,0.980448670753357,0,0,0
38,1.179,0.961289443238754,0.978258086012313,1.09422292294619,0,0,0
39,1.209,0.990732755903101,1.02266204016865,1.1832226436563,0,0,0
40,1.229,1.01017606856745,1.06529703775903,1.24779467707597,0,0,0
41,1.241,1.0216193812318,1.10588035178559,1.28808920299014,0,0,0
42,1.25,1.03006269389614,1.14418265489447,1.31895083072218,0,0,0
43,1.25,1.02950600656049,1.18003256565115,1.31688593120644,0,0,0
44,1.25,1.02894931922484,1.21331857964729,1.31482531363074,0,0,0
45,1.252,1.03039263188918,1.24398857151632,1.32017668112922,0,0,0
46,1.254,1.03183594455353,1.27204723725475,1.32555690469751,0,0,0
47,1.254,1.03127925721788,1.29755191980018,1.32347832026352,0,0,0
48,1.258,1.03472256988223,1.3206072425873,1.33640439549334,0,0,0
49,1.26,1.03616588254657,1.34135892491304,1.34187190098747,0,0,0
50,1.262,1.03760919521092,1.35998709655758,1.34736873908462,0,0,0
51,1.262,1.03705250787527,1.37669937415195,1.34524511978513,0,0,0
52,1.266,1.04049582053961,1.39172392684941,1.35845089200462,0,0,0
53,1.266,1.03993913320396,1.4053027426567,1.35630447849996,0,0,0
54,1.27,1.04338244586831,1.41768528462509,1.36965181425345,0,0,0
55,1.274,1.04682575853266,1.42912268922266,1.3831695170754,0,0,0
56,1.276,1.048269071197,1.43986261287187,1.38888671728701,0,0,0
57,1.282,1.05371238386135,1.45014478218942,1.41072259791326,0,0,0
58,1.284,1.0551556965257,1.46019725988127,1.41658567108968,0,0,0
59,1.292,1.06259900919004,1.47023340498279,1.44731581525247,0,0,0
60,1.292,1.06204232185439,1.48044947564976,1.44498866984782,0,0,0
61,1.294,1.06348563451874,1.4910228050923,1.45103191159231,0,0,0
62,1.298,1.06692894718309,1.50211050230124,1.46557727200299,0,0,0
63,1.306,1.07437225984743,1.51384867303184,1.49764283720803,0,0,0
64,1.307,1.07481557251178,1.52635215997841,1.49957977992248,0,0,0
65,1.308,1.07525888517613,1.53971476014423,1.50151979928636,0,0,0
66,1.316,1.08270219784047,1.5540098694098,1.53455603748732,0,0,0
67,1.32,1.08614551050482,1.56929154213171,1.55013733143332,0,0,0
68,1.326,1.09158882316917,1.58559595861842,1.57515963082103,0,0,0
69,1.332,1.09703213583352,1.60294324692689,1.60066672215056,0,0,0
70,1.338,1.10247544849786,1.6213395650355,1.62666548751573,0,0,0
71,1.344,1.10791876116221,1.64077933528348,1.65316285284608,0,0,0
72,1.349,1.11236207382656,1.66124751881462,1.67516680806685,0,0,0
73,1.353,1.1158053864909,1.68272182595596,1.69245271835311,0,0,0
74,1.36,1.12224869915525,1.70517478619906,1.72535485776937,0,0,0
75,1.365,1.1266920118196,1.72857563264838,1.74847132398354,0,0,0
76,1.369,1.13013532448395,1.75289196812269,1.76662791085248,0,0,0
77,1.37,1.13057863714829,1.778091189536,1.76898100003487,0,0,0
78,1.381,1.14102194981264,1.80414168757258,1.82544874439092,0,0,0
79,1.387,1.14646526247699,1.83101387530972,1.85567889276271,0,0,0
80,1.393,1.15190857514133,1.85868106029575,1.88646522117112,0,0,0
81,1.395,1.15335188780568,1.88712009418494,1.89472253422804,0,0,0
82,1.399,1.15679520047003,1.91631172946028,1.91458282622933,0,0,0
83,1.407,1.16423851313438,1.94624070047712,1.95829633004773,0,0,0
84,1.413,1.16968182579872,1.97689561474281,1.99094990059051,0,0,0
85,1.419,1.17512513846307,2.00826871304447,2.02419119447807,0,0,0
86,1.425,1.18056845112742,2.04035548400367,2.05802772269715,0,0,0
87,1.433,1.18801176379176,2.07315407993755,2.10527378095472,0,0,0
88,1.435,1.18945507645611,2.10666447950568,2.11456724969392,0,0,0
89,1.437,1.19089838912046,2.1408873649865,2.12390397184203,0,0,0
90,1.445,1.19834170178481,2.17582275464267,2.17274653533203,0,0,0
91,1.451,1.20378501444915,2.21146851951719,2.2092071931074,0,0,0
92,1.453,1.2052283271135,2.24781892382275,2.21898113303082,0,0,0
93,1.459,1.21067163977785,2.28486327756503,2.25624710469801,0,0,0
94,1.467,1.21811495244219,2.32258478021381,2.30825162054275,0,0,0
95,1.47,1.22055826510654,2.36095964875499,2.32558888295815,0,0,0
96,1.475,1.22500157777089,2.39995660011238,2.35745886016665,0,0,0
97,1.486,1.23544489043524,2.43953673330431,2.43411942577266,0,0,0
98,1.494,1.24288820309958,2.4796538351283,2.49028566670014,0,0,0
99,1.496,1.24433151576393,2.52025504978605,2.50132593455854,0,0,0
100,1.506,1.25377482842828,2.56128176546098,2.5747720744907,0,0,0
101,1.51,1.25721814109262,2.6026705870527,2.6020811088583,0,0,0
102,1.516,1.26266145375697,2.64435433120305,2.64583572070404,0,0,0
103,1.524,1.27010476642132,2.68626300590855,2.70683715652326,0,0,0
104,1.526,1.27154807908567,2.72832473695387,2.71882384787321,0,0,0
105,1.532,1.27699139175001,2.77046661629845,2.76449706166449,0,0,0
106,1.538,1.28243470441436,2.81261548781733,2.81091415664874,0,0,0
107,1.546,1.28987801707871,2.85469872162411,2.87560527071571,0,0,0
108,1.548,1.29132132974305,2.89664499917996,2.88831399160793,0,0,0
109,1.558,1.3007646424074,2.93838506560307,2.9728008097702,0,0,0
110,1.563,1.30520795507175,2.97985237211269,3.01336420612729,0,0,0
111,1.565,1.3066512677361,3.02098351558851,3.0266530553425,0,0,0
112,1.569,1.31009458040044,3.0617183880656,3.05858090344809,0,0,0
113,1.574,1.31453789306479,3.10200003587561,3.10025189534412,0,0,0
114,1.578,1.31798120572914,3.14177434108237,3.13291205460197,0,0,0
115,1.585,1.32442451839348,3.18098965722263,3.1948978370242,0,0,0
116,1.592,1.33086783105783,3.2195964511177,3.2580302518344,0,0,0
117,1.593,1.33131114372218,3.25754689063053,3.2624164140635,0,0,0
118,1.594,1.33175445638653,3.29479426386065,3.26680807762063,0,0,0
119,1.6,1.33719776905087,3.33129220410045,3.32118241957237,0,0,0
120,1.603,1.33964108171522,3.36699385612003,3.34586143645117,0,0,0
121,1.606,1.34208439437957,3.40185117356602,3.37071028533555,0,0,0
122,1.613,1.34852770704391,3.4358144675192,3.43706014688099,0,0,0
123,1.62,1.35497101970826,3.46883223099107,3.50461144025429,0,0,0
124,1.616,1.35041433237261,3.50085116284717,3.45671435960101,0,0,0
125,1.623,1.35685764503696,3.53181626644972,3.5246202439612,0,0,0
126,1.629,1.3623009577013,3.56167098576765,3.58293773955925,0,0,0
127,1.625,1.35774427036565,3.59035743804893,3.53405956623231,0,0,0
128,1.633,1.36518758303,3.61781679202676,3.61422047217824,0,0,0
129,1.635,1.36663089569434,3.64398983426564,3.62995508322538,0,0,0
130,1.643,1.37407420835869,3.66881777056006,3.71209433315492,0,0,0
131,1.641,1.37151752102304,3.69224320684115,3.68369196698231,0,0,0
132,1.645,1.37496083368739,3.71421114090513,3.7219902073643,0,0,0
