"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.533,0.335886874657909,0.217790870383609,0.358779894186507,96,13,0.846163077146171
2,0.492,0.294330187322256,0.217123279752099,0.322888652492731,0,0,0
3,0.437,0.238773499986603,0.215824794397373,0.270365196976843,0,0,0
4,0.416,0.217216812650951,0.213971869970413,0.248534143496338,0,0,0
5,0.401,0.201660125315298,0.211675032432853,0.232276153927968,0,0,0
6,0.385,0.185103437979645,0.209074573752003,0.214516488932191,0,0,0
7,0.366,0.165546750643992,0.206335626613044,0.192946720773016,0,0,0
8,0.354,0.152990063308339,0.203642920731349,0.178769781188323,0,0,0
9,0.339,0.137433375972686,0.201195470402325,0.160864076179069,0,0,0
10,0.33,0.127876688637034,0.19920142663123,0.149683919811247,0,0,0
11,0.321,0.118320001301381,0.197873311047529,0.138372000896999,0,0,0
12,0.329,0.125763313965728,0.197423821233239,0.147193567162831,0,0,0
13,0.338,0.134206626630075,0.198062347238219,0.157104205209342,0,0,0
14,0.344,0.139649939294422,0.199992256931753,0.163437855423133,0,0,0
15,0.356,0.151093251958769,0.203408916839911,0.176606523500187,0,0,0
16,0.374,0.168536564623116,0.208498354704704,0.196285008390401,0,0,0
17,0.39,0.183979877287464,0.215436440984215,0.21329446812169,0,0,0
18,0.416,0.209423189951811,0.224388441139875,0.240441583311639,0,0,0
19,0.435,0.227866502616158,0.235508762422144,0.259421100374548,0,0,0
20,0.458,0.250309815280505,0.248940702168574,0.28171357351266,0,0,0
21,0.473,0.264753127944852,0.26481601194894,0.295593005797924,0,0,0
22,0.506,0.297196440609199,0.283254126070804,0.325454687631103,0,0,0
23,0.519,0.309639753273546,0.30436094921762,0.33643623269646,0,0,0
24,0.55,0.340083065937894,0.328227138846622,0.362252557452067,0,0,0
25,0.588,0.377526378602241,0.354925853226899,0.39211467928344,0,0,0
26,0.624,0.412969691266588,0.384509962504955,0.418727935863544,0,0,0
27,0.649,0.437413003930935,0.417008730308471,0.436325072641412,0,0,0
28,0.669,0.456856316595282,0.452423992630657,0.449983831307228,0,0,0
29,0.697,0.484299629259629,0.490725925205273,0.468910629670497,0,0,0
30,0.71,0.496742941923976,0.531848588737354,0.47741280457573,0,0,0
31,0.718,0.504186254588324,0.575685536774174,0.482489209986662,0,0,0
32,0.739,0.524629567252671,0.62208585705193,0.496445775093752,0,0,0
33,0.777,0.562072879917018,0.670851094816428,0.522394086966903,0,0,0
34,0.822,0.606516192581365,0.72173354397042,0.554800983488696,0,0,0
35,0.89,0.673959505245712,0.774436356450153,0.610613660966376,0,0,0
36,0.948,0.731402817910059,0.82861581746434,0.66854014952562,0,0,0
37,1.004,0.786846130574407,0.883885991442444,0.737834040937943,0,0,0
38,1.066,0.848289443238754,0.939825786765259,0.835407211503776,0,0,0
39,1.135,0.916732755903101,0.995988312313262,0.977786102400146,0,0,0
40,1.185,0.966176068567448,1.05191215673161,1.10829437788311,0,0,0
41,1.211,0.991619381231795,1.10713391745825,1.18606366263811,0,0,0
42,1.231,1.01106269389614,1.16120109992196,1.25085480606679,0,0,0
43,1.25,1.02950600656049,1.21368456354826,1.31688593120644,0,0,0
44,1.27,1.04894931922484,1.26418994544591,1.39159180536587,0,0,0
45,1.288,1.06639263188918,1.3123677152201,1.46329984447305,0,0,0
46,1.304,1.08183594455353,1.35792158343356,1.53066607088898,0,0,0
47,1.312,1.08927925721788,1.4006149668968,1.56448400229477,0,0,0
48,1.316,1.09272256988223,1.44027523136948,1.58043211210444,0,0,0
49,1.318,1.09416588254657,1.47679555893034,1.5871747541345,0,0,0
50,1.32,1.09560919521092,1.51013449843807,1.59395170854659,0,0,0
51,1.32,1.09505250787527,1.54031345853073,1.59133375643001,0,0,0
52,1.324,1.09849582053961,1.56741252069239,1.6076090682627,0,0,0
53,1.326,1.09993913320396,1.59156497712685,1.61448973098138,0,0,0
54,1.324,1.09738244586831,1.61295096326137,1.60232502300677,0,0,0
55,1.328,1.10082575853266,1.63179050815252,1.61873377444204,0,0,0
56,1.33,1.102269071197,1.64833630187548,1.6256707227602,0,0,0
57,1.332,1.10371238386135,1.66286644830266,1.63264270704366,0,0,0
58,1.332,1.1031556965257,1.67567741032466,1.62994944588502,0,0,0
59,1.334,1.10459900919004,1.68707730387958,1.63694301696741,0,0,0
60,1.336,1.10604232185439,1.69737968472618,1.64397183333375,0,0,0
61,1.338,1.10748563451874,1.7068979638222,1.65103602493262,0,0,0
62,1.342,1.11092894718309,1.71594055385136,1.66803271148239,0,0,0
63,1.345,1.11337225984743,1.72480679868331,1.68021679655008,0,0,0
64,1.347,1.11481557251178,1.73378368639398,1.68746265675978,0,0,0
65,1.35,1.11725888517613,1.74314331243675,1.69981132623347,0,0,0
66,1.358,1.12470219784047,1.75314104831201,1.73807583062311,0,0,0
67,1.359,1.12514551050482,1.76401435245612,1.74038573996974,0,0,0
68,1.366,1.13158882316917,1.77598211491801,1.77435629799942,0,0,0
69,1.366,1.13103213583352,1.78924439551558,1.77139182842893,0,0,0
70,1.371,1.13547544849786,1.80398243411373,1.79521008394338,0,0,0
71,1.375,1.13891876116221,1.82035886230361,1.81391582330228,0,0,0
72,1.381,1.14436207382656,1.83851808216194,1.84393302696774,0,0,0
73,1.385,1.1478053864909,1.85858677241791,1.86320648561379,0,0,0
74,1.387,1.14924869915525,1.88067445867803,1.8713515280774,0,0,0
75,1.393,1.1546920118196,1.90487409503932,1.90242508636599,0,0,0
76,1.399,1.16013532448395,1.93126265177323,1.93406591078708,0,0,0
77,1.409,1.16957863714829,1.95990172216469,1.99032544675299,0,0,0
78,1.413,1.17302194981264,1.99083810812114,2.01127726438888,0,0,0
79,1.417,1.17646526247699,2.02410427380923,2.03246610274232,0,0,0
80,1.423,1.18190857514133,2.05971856403661,2.06645033276883,0,0,0
81,1.429,1.18735188780568,2.09768517343343,2.101039218644,0,0,0
82,1.437,1.19479520047003,2.13799392752297,2.14932941755276,0,0,0
83,1.443,1.20023851313438,2.1806199363728,2.18538019113952,0,0,0
84,1.449,1.20568182579872,2.22552314516109,2.22206141954694,0,0,0
85,1.457,1.21312513846307,2.27264779515265,2.27325476373574,0,0,0
86,1.467,1.22256845112742,2.32192182245332,2.33995238420156,0,0,0
87,1.471,1.22601176379176,2.37325621343595,2.36476626011293,0,0,0
88,1.478,1.23245507645611,2.42654431145097,2.41191851989081,0,0,0
89,1.487,1.24089838912046,2.48166109214931,2.47514485809777,0,0,0
90,1.493,1.24634170178481,2.53846248141827,2.51678376028295,0,0,0
91,1.499,1.25178501444915,2.59678481032541,2.55912020389297,0,0,0
92,1.508,1.2602283271135,2.65644449915025,2.6261889332828,0,0,0
93,1.516,1.26767163977785,2.71723807518361,2.68674671510039,0,0,0
94,1.528,1.27911495244219,2.77894261004328,2.78251647598702,0,0,0
