"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.539,0.341886874657909,0.240212555711593,0.363737184743403,117,14,0.859816863927554
2,0.47,0.272330187322256,0.239695216025259,0.302728926179416,0,0,0
3,0.408,0.209773499986603,0.238685470788427,0.240807593776719,0,0,0
4,0.404,0.205216812650951,0.237236079202977,0.236030097719129,0,0,0
5,0.407,0.207660125315298,0.235423244687295,0.238596274186045,0,0,0
6,0.404,0.204103437979645,0.233343891017946,0.234857317926721,0,0,0
7,0.396,0.195546750643992,0.231112805213192,0.22577296083616,0,0,0
8,0.398,0.196990063308339,0.228859754216655,0.22731407597389,0,0,0
9,0.405,0.203433375972686,0.226726603766616,0.234150474059162,0,0,0
10,0.392,0.189876688637034,0.224864449167219,0.219684328177312,0,0,0
11,0.396,0.193320001301381,0.223430750461245,0.223388350065923,0,0,0
12,0.386,0.182763313965728,0.22258646613129,0.211968906481944,0,0,0
13,0.391,0.187206626630075,0.222493205073539,0.216798277955338,0,0,0
14,0.391,0.186649939294422,0.223310434676619,0.216195042344624,0,0,0
15,0.382,0.177093251958769,0.225192780197424,0.205758227719364,0,0,0
16,0.389,0.183536564623116,0.228287447090217,0.212811724046285,0,0,0
17,0.394,0.187979877287464,0.232731807527219,0.21763531786952,0,0,0
18,0.396,0.189423189951811,0.238651196600929,0.219194994584913,0,0,0
19,0.398,0.190866502616158,0.246156950438277,0.220751146139885,0,0,0
20,0.41,0.202309815280505,0.255344711519459,0.232963502133763,0,0,0
21,0.418,0.209753127944852,0.266293035490289,0.240786314510711,0,0,0
22,0.431,0.222196440609199,0.279062335455998,0.25364938831702,0,0,0
23,0.447,0.237639753273546,0.293694187494731,0.269237314947147,0,0,0
24,0.464,0.254083065937894,0.310211009375745,0.285374705731691,0,0,0
25,0.486,0.275526378602241,0.328616116953395,0.305709231076245,0,0,0
26,0.527,0.315969691266588,0.348894151910559,0.341925123489069,0,0,0
27,0.557,0.345413003930935,0.371011849640776,0.366625351334348,0,0,0
28,0.597,0.384856316595282,0.394919075861326,0.39773973537579,0,0,0
29,0.659,0.446299629259629,0.42055002559601,0.442599928496958,0,0,0
30,0.709,0.495742941923976,0.447824458046938,0.476730464590987,0,0,0
31,0.744,0.530186254588324,0.47664882365642,0.500253887425584,0,0,0
32,0.78,0.565629567252671,0.506917143263923,0.524907169187266,0,0,0
33,0.814,0.599072879917018,0.538511555978925,0.549194989507415,0,0,0
34,0.842,0.626516192581365,0.571302540598393,0.570325567495255,0,0,0
35,0.872,0.655959505245712,0.605148886733417,0.594667615966859,0,0,0
36,0.895,0.678402817910059,0.639897534927425,0.614692321093462,0,0,0
37,0.929,0.711846130574407,0.675383432010687,0.647459383726998,0,0,0
38,0.95,0.732289443238754,0.711429559856804,0.669533288779507,0,0,0
39,0.988,0.769732755903101,0.747847287272727,0.714780950535152,0,0,0
40,1.01,0.791176068567448,0.784437165732114,0.743926906030454,0,0,0
41,1.02,0.800619381231795,0.820990252876966,0.757597691702241,0,0,0
42,1.034,0.814062693896142,0.857290041937201,0.77800322032771,0,0,0
43,1.076,0.855506006560489,0.893115117504709,0.848590448307843,0,0,0
44,1.108,0.886949319224837,0.928242664316283,0.910871056579834,0,0,0
45,1.127,0.905392631889184,0.962452830552262,0.95134282700988,0,0,0
46,1.147,0.924835944553531,0.995533762680215,0.997441686043398,0,0,0
47,1.177,0.954279257217878,1.02728703533828,1.0745042714322,0,0,0
48,1.199,0.975722569882225,1.05753318535954,1.1365749913321,0,0,0
49,1.215,0.991165882546572,1.08611700727185,1.18460930188168,0,0,0
50,1.225,1.00060919521092,1.11291219102683,1.21542295146398,0,0,0
51,1.229,1.00405250787527,1.13782489727734,1.22693857680519,0,0,0
52,1.231,1.00549582053961,1.16079600570787,1.23181066557772,0,0,0
53,1.235,1.00893913320396,1.18180196760932,1.24354262804587,0,0,0
54,1.236,1.00938244586831,1.20085435865326,1.24506425177205,0,0,0
55,1.237,1.00982575853266,1.21799831704989,1.24658843695452,0,0,0
56,1.24,1.012269071197,1.23331008021574,1.25503507943684,0,0,0
57,1.241,1.01271238386135,1.24689383364088,1.25657602550309,0,0,0
58,1.242,1.0131556965257,1.25887807032484,1.25811955822953,0,0,0
59,1.243,1.01359900919004,1.26941163623219,1.25966568097975,0,0,0
