"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.529,0.331886874657909,0.28478188146785,0.355444609464363,39,16,0.963087068557745
2,0.477,0.279330187322256,0.284010532975885,0.3092331732869,0,0,0
3,0.44,0.241773499986603,0.282492460167906,0.273338794035076,0,0,0
4,0.447,0.248216812650951,0.280281047383694,0.279672005187305,0,0,0
5,0.458,0.258660125315298,0.277454898105156,0.289782320154011,0,0,0
6,0.456,0.256103437979645,0.274116505980224,0.287324798613056,0,0,0
7,0.445,0.244546750643992,0.270390844491876,0.276073585849624,0,0,0
8,0.448,0.246990063308339,0.266423849221714,0.278471831991488,0,0,0
9,0.436,0.234433375972686,0.262380758139636,0.266035311041715,0,0,0
10,0.436,0.233876688637034,0.258444310546432,0.265477544884341,0,0,0
11,0.428,0.225320001301381,0.254812823203718,0.256835906726217,0,0,0
12,0.43,0.226763313965728,0.251698165385456,0.25830254364486,0,0,0
13,0.434,0.230206626630075,0.249323649358791,0.26178676463007,0,0,0
14,0.434,0.229649939294422,0.24792183363427,0.261224871608988,0,0,0
15,0.436,0.231093251958769,0.247732209776104,0.262680559196365,0,0,0
16,0.444,0.238536564623116,0.248998728129726,0.270129673734562,0,0,0
17,0.446,0.239979877287464,0.251967117935049,0.271562856114524,0,0,0
18,0.453,0.246423189951811,0.25688196137926,0.277916347614591,0,0,0
19,0.457,0.249866502616158,0.263983488059839,0.28128179601474,0,0,0
20,0.465,0.257309815280505,0.273504073320235,0.288485807794707,0,0,0
21,0.466,0.257753127944852,0.285664449295535,0.28891180969678,0,0,0
22,0.476,0.267196440609199,0.300669668432865,0.297904950857991,0,0,0
23,0.501,0.291639753273546,0.318704891450218,0.320467457233652,0,0,0
24,0.507,0.297083065937894,0.339931087603268,0.325353449597685,0,0,0
25,0.528,0.317526378602241,0.364480730588839,0.343265055677969,0,0,0
26,0.563,0.351969691266588,0.392453574819939,0.371947148285058,0,0,0
27,0.596,0.384413003930935,0.423912609031306,0.397401438650581,0,0,0
28,0.626,0.413856316595282,0.458880281102694,0.419375948565477,0,0,0
29,0.679,0.466299629259629,0.497335076849631,0.456534025168159,0,0,0
30,0.719,0.505742941923976,0.539208543832523,0.483550639360491,0,0,0
