"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.566,0.368886874657909,0.24335603703435,0.3853960725499,36,11,0.99002688107089
2,0.494,0.296330187322256,0.242974815702279,0.324680620001071,0,0,0
3,0.429,0.230773499986603,0.242245204847628,0.262358380621406,0,0,0
4,0.419,0.220216812650951,0.241236107793929,0.251621029786262,0,0,0
5,0.415,0.215660125315298,0.240047258922953,0.246926188442463,0,0,0
6,0.412,0.212103437979645,0.23880572259428,0.243236542327076,0,0,0
7,0.396,0.195546750643992,0.237662092755339,0.22577296083616,0,0,0
8,0.393,0.191990063308339,0.236786579429508,0.221960102357194,0,0,0
9,0.39,0.188433375972686,0.236365097892348,0.218125758276328,0,0,0
10,0.389,0.186876688637034,0.236595469926888,0.216440814744034,0,0,0
11,0.39,0.187320001301381,0.237683828654308,0.216921068578679,0,0,0
12,0.393,0.189763313965728,0.239841285060074,0.21956202741947,0,0,0
13,0.404,0.200206626630075,0.243280885189922,0.230735778476421,0,0,0
14,0.415,0.210649939294422,0.248214859107906,0.241722382150901,0,0,0
15,0.425,0.220093251958769,0.254852128085149,0.25149420058973,0,0,0
16,0.439,0.233536564623116,0.263396005605147,0.265136494138211,0,0,0
17,0.46,0.253979877287464,0.274042014608559,0.285274914812728,0,0,0
18,0.477,0.270423189951811,0.286975741006398,0.300942327871572,0,0,0
19,0.496,0.288866502616158,0.302370639471446,0.317958943455967,0,0,0
20,0.518,0.310309815280505,0.320385710008116,0.337020346238,0,0,0
21,0.542,0.333753127944852,0.341162983375069,0.357003785723434,0,0,0
22,0.573,0.364196440609199,0.364824780318002,0.38170692079785,0,0,0
23,0.603,0.393639753273546,0.391470729991561,0.404393477917918,0,0,0
24,0.632,0.422083065937894,0.421174548663303,0.425352058571608,0,0,0
25,0.668,0.457526378602241,0.453980603116696,0.450450199828237,0,0,0
26,0.7,0.488969691266588,0.489900320293996,0.472105028861517,0,0,0
27,0.734,0.522413003930935,0.528908549218363,0.49492919137219,0,0,0
28,0.769,0.556856316595282,0.570940026653075,0.518727162174143,0,0,0
29,0.803,0.590299629259629,0.615886143849153,0.542691256390317,0,0,0
30,0.837,0.623742941923976,0.663592255413997,0.568129056601536,0,0,0
31,0.864,0.650186254588324,0.713855810166366,0.58973539063218,0,0,0
32,0.9,0.685629567252671,0.766425620344319,0.621455422195172,0,0,0
33,0.93,0.715072879917018,0.82100261749628,0.650832466200835,0,0,0
34,0.994,0.778516192581365,0.877242450529203,0.726412167418737,0,0,0
35,1.068,0.851959505245712,0.934760212325418,0.842062221165022,0,0,0
36,1.122,0.905402817910059,0.993137371241019,0.951366034758814,0,0,0
37,1.155,0.937846130574407,1.05193065730609,1.03037609872711,0,0,0
38,1.183,0.965289443238754,1.11068238449771,1.10572113785542,0,0,0
39,1.211,0.992732755903101,1.16893163643008,1.18964501918791,0,0,0
40,1.241,1.02217606856745,1.22622584436301,1.29009407248176,0,0,0
41,1.266,1.0466193812318,1.28213235849424,1.3823544949007,0,0,0
42,1.284,1.06406269389614,1.33624958074628,1.45345694136964,0,0,0
43,1.302,1.08150600656049,1.38821717452149,1.52918761171755,0,0,0
44,1.316,1.09494931922484,1.4377248869616,1.59084905000934,0,0,0
45,1.328,1.10639263188918,1.48451960183094,1.64568314499374,0,0,0
46,1.334,1.11183594455353,1.52841033671725,1.6725436289609,0,0,0
47,1.338,1.11527925721788,1.56927101046353,1.6897981626076,0,0,0
48,1.34,1.11672256988223,1.6070409629871,1.69709184056584,0,0,0
49,1.344,1.12016588254657,1.64172338846089,1.71463940061159,0,0,0
50,1.346,1.12160919521092,1.67338197922526,1.72205665957957,0,0,0
51,1.349,1.12405250787527,1.702136131257,1.73469689700212,0,0,0
52,1.352,1.12649582053961,1.72815505150465,1.74744321000068,0,0,0
53,1.354,1.12793913320396,1.75165107258371,1.75502280641911,0,0,0
54,1.353,1.12638244586831,1.77287244648455,1.74684939903472,0,0,0
55,1.357,1.12982575853266,1.79209587534824,1.76498684714618,0,0,0
56,1.358,1.130269071197,1.80961904093192,1.76733746044894,0,0,0
57,1.358,1.12971238386135,1.82575338199259,1.76438626023138,0,0,0
58,1.364,1.1351556965257,1.84081733333451,1.79348406017164,0,0,0
59,1.368,1.13859900919004,1.85513019517574,1.81216960011257,0,0,0
60,1.369,1.13904232185439,1.86900673262025,1.81459111522698,0,0,0
61,1.373,1.14248563451874,1.88275252797261,1.83352325247168,0,0,0
