"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.434,0.236886874657909,0.152511100439985,0.268487084232409,49,29,0.870882237929006
2,0.328,0.130330187322256,0.151814189284722,0.152566978692053,0,0,0
3,0.319,0.120773499986603,0.150432176456133,0.141288419028401,0,0,0
4,0.316,0.117216812650951,0.148388679261585,0.137057938369706,0,0,0
5,0.314,0.114660125315298,0.145717171478478,0.134006095896533,0,0,0
6,0.312,0.112103437979645,0.142459409549865,0.130945331646142,0,0,0
7,0.307,0.106546750643992,0.138663978173558,0.124262828763801,0,0,0
8,0.309,0.107990063308339,0.134385008362852,0.126002506488516,0,0,0
9,0.307,0.105433375972686,0.129681075192748,0.122918968183199,0,0,0
10,0.302,0.0998766886370335,0.124614265944428,0.116187958969618,0,0,0
11,0.302,0.0993200013013806,0.119249395626764,0.115511448387372,0,0,0
12,0.294,0.0907633139657278,0.113653345190027,0.105064477006534,0,0,0
13,0.295,0.0912066266300749,0.107894505377221,0.105607923408444,0,0,0
14,0.291,0.0866499392944221,0.102042314367016,0.100010815751368,0,0,0
15,0.285,0.0800932519587692,0.0961668752388287,0.0919146002746951,0,0,0
16,0.283,0.0775365646231164,0.0903386359348651,0.0887444345375095,0,0,0
17,0.279,0.0729798772874636,0.0846281179606489,0.0830766503187498,0,0,0
18,0.276,0.0694231899518107,0.0791056858433511,0.0786373535302102,0,0,0
19,0.274,0.0668665026161578,0.0738413485822692,0.0754381299580799,0,0,0
20,0.274,0.066309815280505,0.0689045787068219,0.0747406585028934,0,0,0
21,0.272,0.0637531279448522,0.064364126657628,0.0715334193379201,0,0,0
22,0.271,0.0621964406091993,0.0602877986068882,0.0695774769249742,0,0,0
23,0.269,0.0596397532735464,0.0567421608012604,0.0663599796974135,0,0,0
24,0.269,0.0590830659378936,0.0537921372179656,0.0656585843519893,0,0,0
25,0.263,0.0525263786022407,0.0515004762172967,0.0573760062548985,0,0,0
26,0.264,0.0529696912665879,0.0499270741850032,0.0579372328195338,0,0,0
27,0.262,0.050413003930935,0.0491281598587674,0.0546981438208886,0,0,0
28,0.259,0.0468563165952822,0.0491553557743118,0.0501828241578766,0,0,0
29,0.261,0.0482996292596293,0.0500546397090745,0.0520164374493912,0,0,0
30,0.258,0.0447429419239765,0.0518652344836137,0.0474948517311246,0,0,0
31,0.257,0.0431862545883236,0.0546184616110053,0.0455126140721995,0,0,0
32,0.255,0.0406295672526708,0.0583366044982192,0.0422528649872877,0,0,0
33,0.256,0.0410728799170179,0.0630318428300268,0.0428184472783692,0,0,0
34,0.253,0.037516192581365,0.06870533614769,0.0382766027833572,0,0,0
35,0.253,0.0369595052457122,0.0753465465039732,0.0375648675593633,0,0,0
36,0.255,0.0384028179100593,0.0829329012108213,0.0394096991986927,0,0,0
37,0.271,0.0538461305744065,0.0914299017724462,0.0590462781971694,0,0,0
38,0.288,0.0702894432387536,0.100791759803102,0.0797197881727902,0,0,0
39,0.299,0.0807327559031008,0.110962572468655,0.0927064149033441,0,0,0
40,0.327,0.108176068567448,0.121877968179841,0.126226505526247,0,0,0
41,0.342,0.122619381231795,0.133467095391863,0.143477017118204,0,0,0
42,0.364,0.144062693896142,0.145654794583848,0.168539687381457,0,0,0
43,0.386,0.165506006560489,0.158363775868172,0.192901127701449,0,0,0
44,0.389,0.167949319224837,0.171516628016776,0.195630463487276,0,0,0
45,0.398,0.176392631889184,0.185037518952133,0.20498709615566,0,0,0
46,0.416,0.193835944553531,0.198853514857512,0.22394162212044,0,0,0
47,0.42,0.197279257217878,0.21289551618751,0.227622438259919,0,0,0
