"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.541,0.343886874657909,0.255068284780836,0.365377602833088,40,13,0.98879272645052
2,0.478,0.280330187322256,0.254705811912612,0.310155471386345,0,0,0
3,0.435,0.236773499986603,0.254001136337987,0.268374022112342,0,0,0
4,0.421,0.222216812650951,0.252996606665489,0.253670226244593,0,0,0
5,0.413,0.213660125315298,0.251753054417686,0.244854129414959,0,0,0
6,0.408,0.208103437979645,0.250347258499136,0.239060773104485,0,0,0
7,0.401,0.200546750643992,0.248869294864935,0.231096557183461,0,0,0
8,0.406,0.204990063308339,0.247419951240893,0.235791423346651,0,0,0
9,0.409,0.207433375972686,0.246108297471506,0.238358556904226,0,0,0
10,0.4,0.197876688637034,0.245049446731272,0.228259015620382,0,0,0
11,0.4,0.197320001301381,0.244362508615466,0.227665871450946,0,0,0
12,0.398,0.194763313965728,0.244168736760214,0.224934947449279,0,0,0
13,0.403,0.199206626630075,0.244589895171174,0.229673901718168,0,0,0
14,0.406,0.201649939294422,0.245746870596505,0.232265371711405,0,0,0
15,0.405,0.200093251958769,0.247758538070495,0.230615474778646,0,0,0
16,0.412,0.206536564623116,0.250740869364887,0.237417495406332,0,0,0
17,0.423,0.216979877287464,0.254806271722733,0.248289677306582,0,0,0
18,0.428,0.221423189951811,0.260063140453644,0.252857918085151,0,0,0
19,0.439,0.231866502616158,0.266615592974209,0.263458937022662,0,0,0
20,0.462,0.254309815280505,0.274563336518809,0.285593923343554,0,0,0
21,0.481,0.272753127944852,0.284001607372961,0.303124312050901,0,0,0
22,0.496,0.287196440609199,0.295021091575761,0.316442021065342,0,0,0
23,0.519,0.309639753273546,0.30770771074035,0.33643623269646,0,0,0
24,0.537,0.327083065937894,0.322142159616177,0.351406432318026,0,0,0
25,0.56,0.349526378602241,0.338399107076037,0.369971334194771,0,0,0
26,0.586,0.374969691266588,0.356545997016554,0.390136602566225,0,0,0
27,0.605,0.393413003930935,0.376641405701912,0.404222859067498,0,0,0
28,0.631,0.418856316595282,0.398732933864211,0.423015809822328,0,0,0
29,0.66,0.447299629259629,0.422854640274707,0.443302486001207,0,0,0
30,0.682,0.468742941923976,0.449024054631928,0.458221529194868,0,0,0
31,0.698,0.484186254588324,0.477238837330586,0.468833013536197,0,0,0
32,0.724,0.509629567252671,0.507473192441503,0.48620096957478,0,0,0
33,0.751,0.536072879917018,0.539674191614952,0.504299990750347,0,0,0
34,0.766,0.550516192581365,0.573758210615209,0.51429790818881,0,0,0
35,0.786,0.569959505245712,0.609607709209482,0.527981991282254,0,0,0
36,0.804,0.587402817910059,0.647068618436069,0.540566586669254,0,0,0
37,0.837,0.619846130574407,0.685948640411965,0.565067588259641,0,0,0
38,0.866,0.648289443238754,0.726016788255568,0.588132921029231,0,0,0
39,0.899,0.680732755903101,0.767004479464578,0.616854983541345,0,0,0
40,0.919,0.700176068567448,0.808608460615313,0.635585486653437,0,0,0
41,0.954,0.734619381231795,0.850495813777162,0.67215929587626,0,0,0
42,1.038,0.818062693896142,0.892311262352437,0.784297732121396,0,0,0
43,1.121,0.900506006560489,0.933686847861408,0.940319890083068,0,0,0
44,1.189,0.967949319224837,0.974253660354008,1.113467814813,0,0,0
45,1.217,0.995392631889184,1.0136547342203,1.19826328347675,0,0,0
46,1.236,1.01383594455353,1.05155778378597,1.26049309361316,0,0,0
47,1.244,1.02127925721788,1.08766644674496,1.28686633129439,0,0,0
48,1.245,1.02172256988223,1.12172910181432,1.28846051325691,0,0,0
49,1.246,1.02216588254657,1.1535448550866,1.29005735062215,0,0,0
50,1.247,1.02260919521092,1.18296672383869,1.29165684679289,0,0,0
51,1.248,1.02305250787527,1.20990231474147,1.29325900517384,0,0,0
52,1.25,1.02449582053961,1.23431240377198,1.29849370777267,0,0,0
53,1.248,1.02193913320396,1.25620783142206,1.28924025466603,0,0,0
54,1.248,1.02138244586831,1.2756451014348,1.28723716764545,0,0,0
55,1.25,1.02282575853266,1.29272105577356,1.29243918672849,0,0,0
56,1.25,1.022269071197,1.30756698230388,1.29042942333896,0,0,0
57,1.252,1.02371238386135,1.32034246962903,1.29564877428948,0,0,0
58,1.254,1.0251556965257,1.33122926309918,1.30089643423826,0,0,0
59,1.256,1.02659900919004,1.34042531830457,1.30617252099069,0,0,0
60,1.256,1.02604232185439,1.34813919807772,1.30413415314935,0,0,0
61,1.258,1.02748563451874,1.35458492174468,1.30942776096013,0,0,0
62,1.262,1.03092894718309,1.35997735479219,1.3221725233741,0,0,0
63,1.264,1.03237225984743,1.36452820253227,1.32756349972875,0,0,0
64,1.269,1.03681557251178,1.36844262446859,1.34434259976825,0,0,0
65,1.268,1.03525888517613,1.37191643425725,1.33843262878605,0,0,0
66,1.27,1.03670219784047,1.3751338260084,1.34391101991634,0,0,0
67,1.272,1.03814551050482,1.37826558224355,1.34941878809394,0,0,0
68,1.272,1.03758882316917,1.38146774912519,1.34729094777964,0,0,0
69,1.278,1.04303213583352,1.38488077807131,1.3682861480386,0,0,0
70,1.28,1.04447544849786,1.38862911820665,1.37392417237109,0,0,0
71,1.282,1.04591876116221,1.39282120980298,1.37959222127727,0,0,0
72,1.286,1.04936207382656,1.39754979926139,1.39323646468666,0,0,0
73,1.29,1.0528053864909,1.40289249103265,1.40705393068983,0,0,0
74,1.288,1.05024869915525,1.40891245893262,1.39677772574614,0,0,0
75,1.29,1.0516920118196,1.41565925560092,1.40256708433866,0,0,0
76,1.294,1.05513532448395,1.42316970341758,1.41650270021961,0,0,0
77,1.3,1.06057863714829,1.43146889196057,1.43889230985348,0,0,0
78,1.302,1.06202194981264,1.44057128818187,1.44490359663109,0,0,0
79,1.306,1.06546526247699,1.45048190649872,1.4593722155812,0,0,0
80,1.308,1.06690857514133,1.46119745978045,1.46549068295712,0,0,0
81,1.312,1.07035188780568,1.47270743630655,1.48021669715113,0,0,0
