"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.467,0.269886874657909,0.227821237132984,0.300438738820393,39,5,0.97270568818886
2,0.419,0.221330187322256,0.227859431948523,0.252762653716117,0,0,0
3,0.389,0.190773499986603,0.227948332331686,0.220650978921906,0,0,0
4,0.395,0.196216812650951,0.228116004484372,0.22648887045498,0,0,0
5,0.396,0.196660125315298,0.228403033730665,0.226962094368666,0,0,0
6,0.393,0.193103437979645,0.228861184888117,0.223155983271126,0,0,0
7,0.391,0.190546750643992,0.229552059064286,0.220406700160841,0,0,0
8,0.399,0.197990063308339,0.230545801478303,0.228379750067901,0,0,0
9,0.404,0.202433375972686,0.231919880995202,0.233094142650758,0,0,0
10,0.399,0.196876688637034,0.23375794350865,0.227193147570905,0,0,0
11,0.404,0.201320001301381,0.236148722873667,0.231916025738909,0,0,0
12,0.407,0.203763313965728,0.239184998923118,0.23449862009498,0,0,0
13,0.413,0.209206626630075,0.242962610182298,0.240215207562458,0,0,0
14,0.42,0.215649939294422,0.247579529720034,0.246915653058857,0,0,0
15,0.427,0.222093251958769,0.253134998083274,0.253543828715818,0,0,0
16,0.435,0.229536564623116,0.259728695043687,0.26111037016658,0,0,0
17,0.447,0.240979877287464,0.267459927342418,0.272553692852512,0,0,0
18,0.453,0.246423189951811,0.27642680934749,0.277916347614591,0,0,0
19,0.466,0.258866502616158,0.286725416232918,0.289980194587659,0,0,0
20,0.486,0.278309815280505,0.298448895310188,0.308290317043126,0,0,0
21,0.504,0.295753127944852,0.311686521458208,0.324164273016134,0,0,0
22,0.529,0.320196440609199,0.32652266679132,0.345554290393185,0,0,0
23,0.557,0.347639753273546,0.343035630970102,0.368439755760029,0,0,0
24,0.574,0.364083065937894,0.361296263247988,0.381617378505366,0,0,0
25,0.599,0.388526378602241,0.381366310705121,0.400531178142454,0,0,0
26,0.624,0.412969691266588,0.403296454352058,0.418727935863544,0,0,0
27,0.645,0.433413003930935,0.427124036176319,0.433480993234985,0,0,0
28,0.675,0.462856316595282,0.452870517554306,0.454151019692344,0,0,0
29,0.707,0.494299629259629,0.480538737653712,0.475745421501351,0,0,0
30,0.734,0.520742941923976,0.5101100606131,0.493787312886512,0,0,0
31,0.759,0.545186254588324,0.541541515132615,0.510594948600741,0,0,0
32,0.789,0.574629567252671,0.574763052179803,0.531318714035244,0,0,0
33,0.825,0.610072879917018,0.609675078667837,0.557510637380434,0,0,0
34,0.86,0.644516192581365,0.646146446693116,0.584970858695415,0,0,0
35,0.879,0.662959505245712,0.684013076914043,0.600763164073189,0,0,0
36,0.899,0.682402817910059,0.723077394334486,0.618415483925808,0,0,0
37,0.921,0.703846130574407,0.763108785466104,0.63926597925012,0,0,0
38,0.95,0.732289443238754,0.803845335462271,0.669533288779507,0,0,0
39,1,0.781732755903101,0.844997119113269,0.730776645291088,0,0,0
40,1.048,0.829176068567448,0.886251248267195,0.802345685770475,0,0,0
41,1.104,0.884619381231795,0.927278699863132,0.905973110141223,0,0,0
42,1.137,0.917062693896142,0.967742693893972,0.978573875071858,0,0,0
43,1.165,0.944506006560489,1.00730814906025,1.04791233411322,0,0,0
44,1.191,0.969949319224837,1.04565161952013,1.11934613350733,0,0,0
45,1.219,0.997392631889184,1.08247112400483,1.2048016977422,0,0,0
46,1.242,1.01983594455353,1.1174953175459,1.28169443736937,0,0,0
47,1.252,1.02927925721788,1.15049144834641,1.31604608599837,0,0,0
48,1.256,1.03272256988223,1.18127155370285,1.3288763289777,0,0,0
49,1.256,1.03216588254657,1.20969649638574,1.32679087614104,0,0,0
50,1.254,1.02960919521092,1.23567772450909,1.3172683615129,0,0,0
51,1.256,1.03105250787527,1.25917692779691,1.32263290714689,0,0,0
52,1.258,1.03249582053961,1.28020394347529,1.32802636314242,0,0,0
53,1.258,1.03193913320396,1.29881330639906,1.32594266850806,0,0,0
54,1.26,1.03338244586831,1.31509979173357,1.33135394304994,0,0,0
55,1.258,1.03082575853266,1.32919324189215,1.32178820758039,0,0,0
56,1.26,1.032269071197,1.34125294017718,1.32717711379208,0,0,0
57,1.26,1.03171238386135,1.35146177993481,1.32509517622742,0,0,0
58,1.264,1.0351556965257,1.36002045390959,1.33804207702678,0,0,0
59,1.264,1.03459900919004,1.36714184000467,1.33593768648776,0,0,0
60,1.262,1.03204232185439,1.37304570315511,1.32632858046525,0,0,0
61,1.264,1.03348563451874,1.37795380628542,1.33174193171109,0,0,0
62,1.27,1.03892894718309,1.38208552830897,1.35242077297972,0,0,0
63,1.268,1.03637225984743,1.38565407022053,1.34265608629533,0,0,0
64,1.27,1.03781557251178,1.38886327377146,1.34815712839565,0,0,0
65,1.272,1.03925888517613,1.39190504026181,1.35368763990384,0,0,0
66,1.276,1.04270219784047,1.39495734264521,1.36700151217109,0,0,0
67,1.278,1.04414551050482,1.39818281979395,1.37263268991253,0,0,0
68,1.278,1.04358882316917,1.40172790935738,1.37045719118569,0,0,0
69,1.286,1.05103213583352,1.40572245500384,1.39991642240782,0,0,0
70,1.288,1.05247544849786,1.41027971972923,1.40572239271208,0,0,0
71,1.288,1.05191876116221,1.41549671784692,1.40347939336606,0,0,0
72,1.29,1.05336207382656,1.42145476537386,1.40930420668534,0,0,0
73,1.294,1.0568053864909,1.42822018475154,1.42332497764346,0,0,0
74,1.296,1.05824869915525,1.43584515049064,1.42925447176067,0,0,0
75,1.298,1.0596920118196,1.44436867229705,1.43521515322323,0,0,0
76,1.302,1.06313532448395,1.45381770054503,1.44956223867403,0,0,0
77,1.306,1.06657863714829,1.46420833942563,1.46408920455975,0,0,0
78,1.312,1.07202194981264,1.4755471494735,1.48742499855073,0,0,0
79,1.312,1.07146526247699,1.48783249766431,1.48501742546187,0,0,0
80,1.318,1.07690857514133,1.50105589770733,1.50876624000184,0,0,0
81,1.322,1.08035188780568,1.51520329949742,1.52402961789807,0,0,0
82,1.328,1.08579520047003,1.53025630637547,1.5485434375664,0,0,0
83,1.33,1.08723851313438,1.54619328921467,1.55512317279127,0,0,0
84,1.336,1.09268182579872,1.56299035025028,1.58024226700271,0,0,0
85,1.34,1.09612513846307,1.58062209803852,1.59638262675936,0,0,0
86,1.344,1.09956845112742,1.59906221316334,1.61271927051881,0,0,0
87,1.346,1.10101176379176,1.6182837959805,1.61962580354457,0,0,0
88,1.349,1.10345507645611,1.6382595119226,1.63139720045753,0,0,0
89,1.354,1.10789838912046,1.65896159540177,1.65306274612831,0,0,0
90,1.361,1.11434170178481,1.68036180383305,1.68507970253727,0,0,0
91,1.366,1.11878501444915,1.70243138934776,1.70757736288249,0,0,0
92,1.371,1.1232283271135,1.72514109243505,1.7304212552564,0,0,0
93,1.374,1.12567163977785,1.74846111904799,1.74313171473585,0,0,0
94,1.379,1.13011495244219,1.77236107664265,1.76651986194459,0,0,0
95,1.385,1.13555826510654,1.79680988905364,1.7956574332799,0,0,0
96,1.389,1.13900157777089,1.82177573364332,1.81436840691357,0,0,0
97,1.395,1.14444489043524,1.84722603179975,1.84439397511227,0,0,0
98,1.401,1.14988820309958,1.8731275020792,1.87497301607548,0,0,0
99,1.405,1.15333151576393,1.8994462708696,1.89460570778326,0,0,0
100,1.411,1.15877482842828,1.92614802628185,1.9261040592683,0,0,0
101,1.417,1.16421814109262,1.95319820033426,1.9581752159317,0,0,0
102,1.421,1.16766145375697,1.98056216685055,1.9787618201104,0,0,0
103,1.425,1.17110476642132,2.00820544173813,1.99958249173131,0,0,0
104,1.431,1.17654807908567,2.03609388568437,2.03297865941928,0,0,0
105,1.439,1.18399139175001,2.06419393039551,2.07961351331238,0,0,0
106,1.441,1.18543470441436,2.09247283514378,2.08878724941501,0,0,0
107,1.449,1.19287801707871,2.12089893675871,2.13678070151565,0,0,0
108,1.451,1.19432132974305,2.14944184141977,2.14622057372022,0,0,0
109,1.455,1.1977646424074,2.17807253565128,2.16891818632463,0,0,0
110,1.465,1.20720795507175,2.2067634321574,2.23245986829838,0,0,0
111,1.465,1.2066512677361,2.23548837356217,2.2286609952277,0,0,0
112,1.471,1.21209458040044,2.2642225870659,2.26609491676258,0,0,0
113,1.476,1.21653789306479,2.29294257109602,2.29713136203256,0,0,0
114,1.482,1.22198120572914,2.32162592062748,2.33574697997637,0,0,0
115,1.485,1.22442451839348,2.35025109769035,2.35329487451214,0,0,0
116,1.49,1.22886783105783,2.37879712264501,2.38555080368928,0,0,0
117,1.494,1.23231114372218,2.40724316102989,2.4108549089017,0,0,0
118,1.499,1.23675445638653,2.43556800798686,2.44390828858425,0,0,0
119,1.502,1.23919776905087,2.46374948419451,2.46227760528128,0,0,0
120,1.508,1.24464108171522,2.49176375240065,2.50370023848317,0,0,0
121,1.512,1.24808439437957,2.51958455678015,2.53026159741566,0,0,0
122,1.514,1.24952770704391,2.54718237638971,2.54147837303855,0,0,0
123,1.52,1.25497101970826,2.57452348215828,2.5842268603371,0,0,0
124,1.522,1.25641433237261,2.60156890859874,2.5956805927926,0,0,0
125,1.526,1.25985764503696,2.628273372913,2.62320840093362,0,0,0
126,1.53,1.2633009577013,2.65458417930901,2.65102344024595,0,0,0
127,1.528,1.26074427036565,2.68044015734643,2.63034300875225,0,0,0
128,1.534,1.26618758303,2.70577072439939,2.67456441328329,0,0,0
129,1.538,1.26963089569434,2.73049521880427,2.70291291717845,0,0,0
130,1.538,1.26907420835869,2.75452265633305,2.6983099454739,0,0,0
131,1.544,1.27451752102304,2.77775200639822,2.74364783722578,0,0,0
132,1.552,1.28196083368739,2.80007303024054,2.80684351703887,0,0,0
133,1.552,1.28140414635173,2.82136765748691,2.80206874220918,0,0,0
134,1.556,1.28484745901608,2.84151177761217,2.83172870640997,0,0,0
135,1.556,1.28429077168043,2.86037729818024,2.82691307570429,0,0,0
136,1.561,1.28873408434477,2.87783441815499,2.86557081693773,0,0,0
137,1.567,1.29417739700912,2.89375414699495,2.91362124370956,0,0,0
138,1.568,1.29462070967347,2.90801105668611,2.9175683673839,0,0,0
139,1.567,1.29306402233782,2.92048614941556,2.9037306118634,0,0,0
140,1.57,1.29550733500216,2.93106971572693,2.92547796408428,0,0,0
141,1.575,1.29995064766651,2.93966416345054,2.96542630069658,0,0,0
142,1.577,1.30139396033086,2.94618684230593,2.97851417711134,0,0,0
143,1.582,1.3058372729952,2.95057278223964,3.01915163456509,0,0,0
144,1.583,1.30628058565955,2.95277712112311,3.02323482178488,0,0,0
