"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.625,0.427886874657909,0.274161080943458,0.429530126917645,34,9,0.964967995323742
2,0.464,0.266330187322256,0.273857204206668,0.297086459900133,0,0,0
3,0.466,0.267773499986603,0.273283707454219,0.29844946987402,0,0,0
4,0.465,0.266216812650951,0.272512465032297,0.296979239849934,0,0,0
5,0.461,0.261660125315298,0.271648105579148,0.292651404398986,0,0,0
6,0.457,0.257103437979645,0.270824952843836,0.288287372088514,0,0,0
7,0.447,0.246546750643992,0.270203588854424,0.27803747390891,0,0,0
8,0.448,0.246990063308339,0.269967113217654,0.278471831991488,0,0,0
9,0.451,0.249433375972686,0.270317161140556,0.280859606798252,0,0,0
10,0.44,0.237876688637034,0.27146974134378,0.269473211175538,0,0,0
11,0.437,0.234320001301381,0.273650942847496,0.265921760752621,0,0,0
12,0.442,0.238763313965728,0.277092565756676,0.270355073691239,0,0,0
13,0.444,0.240206626630075,0.282027749559429,0.271787681583239,0,0,0
14,0.453,0.248649939294422,0.288686668881108,0.280095118226255,0,0,0
15,0.463,0.258093251958769,0.297292339815366,0.289238419526349,0,0,0
16,0.476,0.270536564623116,0.308056554205781,0.301048720569128,0,0,0
17,0.491,0.284979877287464,0.321175943008346,0.314421389090819,0,0,0
18,0.509,0.302423189951811,0.336828160966025,0.330098641751829,0,0,0
19,0.525,0.317866502616158,0.355168184410669,0.343557302380429,0,0,0
20,0.547,0.339309815280505,0.376324723708541,0.361614635674205,0,0,0
21,0.572,0.363753127944852,0.400396770555688,0.381356696281664,0,0,0
22,0.605,0.396196440609199,0.427450320342625,0.406313151782444,0,0,0
23,0.644,0.434639753273546,0.457515320526418,0.434354600362424,0,0,0
24,0.676,0.466083065937894,0.490582896573088,0.456384319017825,0,0,0
25,0.712,0.501526378602241,0.52660291218779,0.480675490739362,0,0,0
26,0.756,0.544969691266588,0.565481946066975,0.51044485230289,0,0,0
27,0.796,0.584413003930935,0.60708180690517,0.538384809357903,0,0,0
28,0.827,0.614856316595282,0.651218742143956,0.561188328877674,0,0,0
29,0.873,0.660299629259629,0.697663523077957,0.59843167386593,0,0,0
30,0.914,0.700742941923976,0.746142614774278,0.636150830841079,0,0,0
31,0.956,0.742186254588324,0.796340646107402,0.680852554179393,0,0,0
