"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.57,0.372886874657909,0.265549208886416,0.388518883887418,38,14,0.995724131728155
2,0.493,0.295330187322256,0.264835206329946,0.323785475347628,0,0,0
3,0.465,0.266773499986603,0.263441328926144,0.29750549262929,0,0,0
4,0.455,0.256216812650951,0.261439335243732,0.287434017939514,0,0,0
5,0.441,0.241660125315298,0.258933745348486,0.273226704411118,0,0,0
6,0.425,0.225103437979645,0.256058701182069,0.256615529066952,0,0,0
7,0.417,0.216546750643992,0.252974418182739,0.2478425311902,0,0,0
8,0.417,0.215990063308339,0.249863419691484,0.247267345041187,0,0,0
9,0.412,0.210433375972686,0.24692669589141,0.241496466868002,0,0,0
10,0.403,0.200876688637034,0.244379878665833,0.231446341499124,0,0,0
11,0.402,0.199320001301381,0.242449483700442,0.229794377851376,0,0,0
12,0.398,0.194763313965728,0.24136926288192,0.224934947449279,0,0,0
13,0.395,0.191206626630075,0.241376715796977,0.221117347160641,0,0,0
14,0.399,0.194649939294422,0.242709807555295,0.22481358803466,0,0,0
15,0.403,0.198093251958769,0.24560393135598,0.228489618135734,0,0,0
16,0.409,0.203536564623116,0.250289139037579,0.234259377459732,0,0,0
17,0.422,0.215979877287464,0.256987641506774,0.24725681550911,0,0,0
18,0.441,0.234423189951811,0.265911558071812,0.266025110164817,0,0,0
19,0.459,0.251866502616158,0.277260866399499,0.28322702730617,0,0,0
20,0.48,0.272309815280505,0.291221472869955,0.302709873578522,0,0,0
21,0.505,0.296753127944852,0.307963302290298,0.325058708730107,0,0,0
22,0.534,0.325196440609199,0.327638305938355,0.349810648601401,0,0,0
23,0.565,0.355639753273546,0.350378297514091,0.374898850298378,0,0,0
24,0.592,0.382083065937894,0.376292539772298,0.39561944026842,0,0,0
25,0.628,0.417526378602241,0.405465028143794,0.422050026508756,0,0,0
26,0.661,0.449969691266588,0.43795145742823,0.445175056265116,0,0,0
27,0.692,0.480413003930935,0.473775905927193,0.46624781145439,0,0,0
28,0.729,0.516856316595282,0.512927321798737,0.491132117305929,0,0,0
29,0.764,0.551299629259629,0.555355950117023,0.514843713713018,0,0,0
30,0.801,0.587742941923976,0.600969891467653,0.540815493951508,0,0,0
31,0.837,0.623186254588324,0.649632026365805,0.567689939478773,0,0,0
32,0.874,0.659629567252671,0.701157574721255,0.597847320942891,0,0,0
33,0.911,0.696072879917018,0.755312587260251,0.631527002852437,0,0,0
34,0.951,0.735516192581365,0.811813681433477,0.673176356848373,0,0,0
35,0.979,0.762959505245712,0.870329333723835,0.70608961447586,0,0,0
36,1.022,0.805402817910059,0.930483027367003,0.764728575302026,0,0,0
37,1.078,0.860846130574407,0.991858520393618,0.858603699798208,0,0,0
38,1.112,0.894289443238754,1.05400740055121,0.926612090853683,0,0,0
39,1.161,0.942732755903101,1.11645891454251,1.04319746157118,0,0,0
40,1.219,1.00017606856745,1.17873183869695,1.21398511886221,0,0,0
41,1.26,1.04061938123179,1.24034788814703,1.35892790244148,0,0,0
42,1.286,1.06606269389614,1.30084582466832,1.46190097221173,0,0,0
43,1.302,1.08150600656049,1.3597951788568,1.52918761171755,0,0,0
44,1.316,1.09494931922484,1.41680856085357,1.59084905000934,0,0,0
45,1.332,1.11039263188918,1.4715518521024,1.6653720240358,0,0,0
46,1.34,1.11783594455353,1.52375190127549,1.70274302455171,0,0,0
47,1.345,1.12227925721788,1.57320154917581,1.72551263991182,0,0,0
48,1.346,1.12272256988223,1.61976195147957,1.72780347960681,0,0,0
49,1.353,1.12916588254657,1.66336235125786,1.76149449174013,0,0,0
50,1.354,1.12960919521092,1.70399763265509,1.763839833719,0,0,0
51,1.36,1.13505250787527,1.74172406963308,1.79292744556284,0,0,0
52,1.361,1.13549582053961,1.7766536727712,1.79532011569534,0,0,0
53,1.366,1.13993913320396,1.80894749999362,1.81950086752117,0,0,0
54,1.368,1.14138244586831,1.83880826616883,1.82743375425185,0,0,0
55,1.371,1.14382575853266,1.86647255750406,1.84095105448866,0,0,0
56,1.374,1.146269071197,1.89220292789458,1.85457970081472,0,0,0
57,1.377,1.14871238386135,1.91628012894311,1.86832035257943,0,0,0
58,1.383,1.1541556965257,1.93899569424714,1.8993384179102,0,0,0
59,1.385,1.15559900919004,1.96064504726273,1.90765768532681,0,0,0
60,1.391,1.16104232185439,1.98152123721987,1.93939374814444,0,0,0
61,1.391,1.16048563451874,2.00190935874436,1.9361217910252,0,0,0
62,1.397,1.16592894718309,2.02208169871293,1.96837450860137,0,0,0
63,1.401,1.16937225984743,2.04229366385686,1.9890771724938,0,0,0
64,1.407,1.17481557251178,2.0627805331026,2.02228484102313,0,0,0
65,1.409,1.17625888517613,2.08375503223713,2.03118942324902,0,0,0
66,1.417,1.18370219784047,2.10540568259875,2.07778053002855,0,0,0
67,1.421,1.18714551050482,2.12789585758017,2.09971670003722,0,0,0
68,1.425,1.19058882316917,2.15136346759003,2.12189775335783,0,0,0
69,1.433,1.19803213583352,2.17592117775894,2.17069192464276,0,0,0
70,1.435,1.19947544849786,2.20165706017458,2.18028863620667,0,0,0
71,1.443,1.20691876116221,2.22863558714651,2.23048555351586,0,0,0
72,1.447,1.21036207382656,2.25689887528824,2.25411052268612,0,0,0
73,1.449,1.2118053864909,2.2864681012028,2.26408990143582,0,0,0
74,1.455,1.21724869915525,2.3173450444608,2.30213663693619,0,0,0
75,1.463,1.2246920118196,2.34951376903969,2.35522414222151,0,0,0
76,1.468,1.22913532448395,2.38294246848137,2.38750689506398,0,0,0
