"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.555,0.357886874657909,0.27231104646086,0.37669667289172,37,14,0.971917447429872
2,0.445,0.247330187322256,0.271409814334581,0.278804852053643,0,0,0
3,0.429,0.230773499986603,0.26964624589339,0.262358380621406,0,0,0
4,0.452,0.253216812650951,0.267102127448291,0.284536397351709,0,0,0
5,0.46,0.260660125315298,0.263898251246706,0.291696787777919,0,0,0
6,0.459,0.259103437979645,0.260192680394979,0.290207276364065,0,0,0
7,0.453,0.252546750643992,0.256178773084116,0.283887050052373,0,0,0
8,0.458,0.256990063308339,0.252082866118563,0.288178328501278,0,0,0
9,0.455,0.253433375972686,0.248161534659418,0.284746097601155,0,0,0
10,0.441,0.238876688637034,0.244698382568734,0.270467739824658,0,0,0
11,0.441,0.238320001301381,0.242000339259174,0.269914314919545,0,0,0
12,0.435,0.231763313965728,0.240393470259898,0.263355124791796,0,0,0
13,0.431,0.227206626630075,0.240218340214446,0.258752288109565,0,0,0
14,0.433,0.228649939294422,0.241824977978007,0.260214156152606,0,0,0
15,0.427,0.222093251958769,0.245567493473555,0.253543828715818,0,0,0
16,0.43,0.224536564623116,0.25179840076532,0.256038282758893,0,0,0
17,0.432,0.225979877287464,0.260862714620214,0.257506898988742,0,0,0
18,0.44,0.233423189951811,0.27309190331998,0.265022765452945,0,0,0
19,0.447,0.239866502616158,0.288797789856765,0.271450409534809,0,0,0
20,0.465,0.257309815280505,0.30826649641881,0.288485807794707,0,0,0
21,0.492,0.283753127944852,0.331752525669525,0.313299479400202,0,0,0
22,0.521,0.312196440609199,0.359473058775536,0.338661045099682,0,0,0
23,0.558,0.348639753273546,0.391602522342225,0.369252211226517,0,0,0
24,0.587,0.377083065937894,0.428267454932376,0.391772297301361,0,0,0
25,0.624,0.413526378602241,0.469541714277786,0.419134896991865,0,0,0
26,0.674,0.462969691266588,0.51544211241053,0.454229576861638,0,0,0
27,0.724,0.512413003930935,0.565924623412588,0.488099566324383,0,0,0
28,0.783,0.570856316595282,0.620881348706845,0.528621067474814,0,0,0
29,0.826,0.613299629259629,0.68013844779057,0.559987171435193,0,0,0
30,0.882,0.668742941923976,0.743455270434559,0.605899452312532,0,0,0
31,0.939,0.725186254588324,0.810524963798032,0.66167030252864,0,0,0
32,0.99,0.775629567252671,0.88097684514708,0.722543779653416,0,0,0
33,1.028,0.813072879917018,0.954380805402157,0.776461694719882,0,0,0
34,1.086,0.870516192581365,1.0302539584391,0.877310889099761,0,0,0
35,1.112,0.895959505245712,1.10806969313993,0.930260379537776,0,0,0
36,1.159,0.942402817910059,1.18726921380922,1.04232387166139,0,0,0
37,1.221,1.00384613057441,1.26727555313809,1.22624411014966,0,0,0
38,1.28,1.06228944323875,1.34750981846639,1.44602114360039,0,0,0
39,1.324,1.1057327559031,1.42740897575557,1.64246129652237,0,0,0
40,1.357,1.13817606856745,1.50644390522378,1.80986273727254,0,0,0
41,1.371,1.1516193812318,1.58413611335006,1.88481548722914,0,0,0
42,1.377,1.15706269389614,1.66007159353127,1.91613519675091,0,0,0
43,1.383,1.16250600656049,1.73391085970308,1.94802538564236,0,0,0
44,1.389,1.16794931922484,1.8053948797553,1.98049346326674,0,0,0
45,1.395,1.17339263188918,1.87434719054876,2.013546882823,0,0,0
46,1.403,1.18083594455353,1.94067273088979,2.05970598285771,0,0,0
47,1.409,1.18627925721788,2.00435395533741,2.09417511781322,0,0,0
48,1.413,1.18972256988223,2.06544473173593,2.11629438260785,0,0,0
49,1.419,1.19516588254657,2.12406247706671,2.15176457859488,0,0,0
50,1.425,1.20060919521092,2.18037897951452,2.18785804004386,0,0,0
51,1.429,1.20405250787527,2.23461035210297,2.21101524915386,0,0,0
52,1.435,1.20949582053961,2.28700653328479,2.24814284081741,0,0,0
53,1.443,1.21693913320396,2.33784070791658,2.29995539847183,0,0,0
54,1.449,1.22238244586831,2.38739896626945,2.33861952225638,0,0,0
55,1.453,1.22582575853266,2.43597043643408,2.36341902520894,0,0,0
56,1.461,1.233269071197,2.48383806014957,2.41794255986982,0,0,0
57,1.465,1.23671238386135,2.53127016991963,2.44359318672246,0,0,0
58,1.472,1.2431556965257,2.5785130284372,2.49232811287237,0,0,0
59,1.478,1.24859900919004,2.62578447550172,2.53425529742833,0,0,0
60,1.489,1.25904232185439,2.6732687927084,2.6166643653103,0,0,0
61,1.491,1.26048563451874,2.72111283048494,2.62825981593186,0,0,0
62,1.502,1.27092894718309,2.76942336540772,2.71367564145242,0,0,0
63,1.508,1.27637225984743,2.81826562098685,2.75926477341794,0,0,0
64,1.517,1.28481557251178,2.86766287393461,2.83145265841572,0,0,0
65,1.522,1.28925888517613,2.91759703201753,2.87017013006047,0,0,0
66,1.53,1.29670219784047,2.96801004112778,2.93616978204275,0,0,0
67,1.536,1.30214551050482,3.01880599870531,2.98535094222024,0,0,0
68,1.544,1.30958882316917,3.06985388399576,3.05387141751221,0,0,0
69,1.55,1.31503213583352,3.12099082019116,3.10492004579409,0,0,0
70,1.544,1.30847544849786,3.17202579570782,3.04352811370322,0,0,0
71,1.564,1.32791876116221,3.22274387635116,3.22899165367118,0,0,0
72,1.573,1.33636207382656,3.27291104573951,3.31278019936752,0,0,0
73,1.576,1.3388053864909,3.32227966174435,3.33740131172011,0,0,0
74,1.573,1.33524869915525,3.37059422069398,3.30161681012923,0,0,0
75,1.59,1.3516920118196,3.41759712882756,3.47008347149264,0,0,0
76,1.595,1.35613532448395,3.46303443961833,3.51694725424584,0,0,0
77,1.588,1.34857863714829,3.50666155914969,3.43758936472259,0,0,0
78,1.6,1.36002194981264,3.54824882077248,3.55841475960951,0,0,0
79,1.614,1.37346526247699,3.58758691493836,3.70531154859128,0,0,0
80,1.61,1.36890857514133,3.62449218537787,3.65491271823674,0,0,0
81,1.619,1.37735188780568,3.65881154944531,3.74879674571855,0,0,0
82,1.631,1.38879520047003,3.69042663770291,3.833333333,0,0,0
83,1.625,1.38223851313438,3.7192568265461,3.80412574589801,0,0,0
84,1.635,1.39168182579872,3.74526091313941,3.833333333,0,0,0
85,1.649,1.40512513846307,3.76843727556137,3.833333333,0,0,0
86,1.655,1.41056845112742,3.78882256764325,3.833333333,0,0,0
87,1.647,1.40201176379176,3.80648916641624,3.833333333,0,0,0
88,1.659,1.41345507645611,3.82154164250011,3.833333333,0,0,0
89,1.667,1.42089838912046,3.83411252957417,3.833333333,0,0,0
90,1.661,1.41434170178481,3.84435765585224,3.833333333,0,0,0
91,1.667,1.41978501444915,3.8524512679848,3.833333333,0,0,0
92,1.679,1.4312283271135,3.85858114033571,3.833333333,0,0,0
93,1.689,1.44067163977785,3.86294382741938,3.833333333,0,0,0
94,1.685,1.43611495244219,3.86574018471815,3.833333333,0,0,0
95,1.687,1.43755826510654,3.86717125333481,3.833333333,0,0,0
96,1.706,1.45600157777089,3.86743457710937,3.833333333,0,0,0
97,1.711,1.46044489043524,3.86672099701089,3.833333333,0,0,0
98,1.712,1.46088820309958,3.86521194681288,3.833333333,0,0,0
99,1.704,1.45233151576393,3.86307725622605,3.833333333,0,0,0
100,1.72,1.46777482842828,3.86047345269926,3.833333333,0,0,0
101,1.728,1.47521814109262,3.85754254087059,3.833333333,0,0,0
102,1.733,1.47966145375697,3.85441122898515,3.833333333,0,0,0
103,1.735,1.48110476642132,3.85119056429731,3.833333333,0,0,0
104,1.74,1.48554807908567,3.84797593432702,3.833333333,0,0,0
