"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.353,0.0950452035440614,0.0591242432615178,0.110303573983144,36,6,0.97525359503577
2,0.311,0.0528295412178819,0.0600975642625628,0.0577598239111424,0,0,0
3,0.297,0.0386138788917023,0.0620507093635015,0.0396793467051229,0,0,0
4,0.306,0.0473982165655227,0.0650002610994841,0.0508714681952959,0,0,0
5,0.315,0.0561825542393432,0.0689704088984655,0.0619994183314303,0,0,0
6,0.32,0.0609668919131636,0.0739925244059439,0.068030916082807,0,0,0
7,0.321,0.0617512295869841,0.0801049108549778,0.0690176462581272,0,0,0
8,0.338,0.0785355672608045,0.0873527048139208,0.0899840106391789,0,0,0
9,0.349,0.0893199049346249,0.0957878905614475,0.103293403819963,0,0,0
10,0.363,0.103104242608445,0.1054693781442,0.120102446410537,0,0,0
11,0.364,0.103888580282266,0.116463069898293,0.121051697976542,0,0,0
12,0.379,0.118672917956086,0.128841838079196,0.138792021268513,0,0,0
13,0.399,0.138457255629907,0.142685369930119,0.162053877441466,0,0,0
14,0.418,0.157241593303727,0.158079858309812,0.183597994431701,0,0,0
15,0.445,0.184025930977548,0.175117491521226,0.21334459925512,0,0,0
16,0.46,0.198810268651368,0.193895651736954,0.229252543852602,0,0,0
17,0.465,0.203594606325188,0.214515716452626,0.234320625542275,0,0,0
18,0.501,0.239378943999009,0.237081395002968,0.270966584943001,0,0,0
19,0.527,0.265163281672829,0.261696592738719,0.295981832016124,0,0,0
20,0.554,0.29194761934665,0.288462817143171,0.320745132504066,0,0,0
21,0.569,0.30673195702047,0.317476120676795,0.333892907893871,0,0,0
22,0.608,0.345516294694291,0.348823580526893,0.366709676398521,0,0,0
23,0.642,0.379300632368111,0.382579363092382,0.393482467284078,0,0,0
24,0.674,0.411084970041931,0.418800459485037,0.417347804391279,0,0,0
25,0.708,0.444869307715752,0.45752219032449,0.441593843491114,0,0,0
26,0.746,0.482653645389572,0.498753599129801,0.46778345201026,0,0,0
27,0.788,0.524437983063393,0.542472896250015,0.49631464185603,0,0,0
28,0.806,0.542222320737213,0.588623159112658,0.50854296895534,0,0,0
29,0.842,0.578006658411033,0.637108539188878,0.533745719045672,0,0,0
30,0.877,0.612790996084854,0.687791285061826,0.559595615826659,0,0,0
31,0.943,0.678575333758674,0.740489939630221,0.614851880535707,0,0,0
32,0.998,0.733359671432495,0.794979052782581,0.67073659403767,0,0,0
33,1.062,0.797144009106315,0.850990645302026,0.752504501825053,0,0,0
34,1.094,0.828928346780136,0.908217501774699,0.80193422675143,0,0,0
35,1.139,0.873712684453956,0.966318231386461,0.88366144226861,0,0,0
36,1.181,0.915497022127777,1.02492395784195,0.974844978320856,0,0,0
37,1.223,0.957281359801597,1.08364643867352,1.0828819079475,0,0,0
38,1.247,0.981065697475417,1.14208730321078,1.1528695983919,0,0,0
39,1.28,1.01385003514924,1.19984797105625,1.26054232336503,0,0,0
40,1.312,1.04563437282306,1.25653974186156,1.37847301582293,0,0,0
41,1.322,1.05541871049688,1.31179351227682,1.417657422822,0,0,0
42,1.336,1.0692030481707,1.36526856728698,1.4752831499113,0,0,0
43,1.354,1.08698738584452,1.41665999366957,1.55397592236405,0,0,0
44,1.361,1.09377172351834,1.4657044502354,1.58532998339545,0,0,0
45,1.351,1.08355606119216,1.51218418333416,1.53840210551282,0,0,0
46,1.365,1.09734039886598,1.55592934292513,1.60212587291955,0,0,0
47,1.389,1.1211247365398,1.59681887014848,1.71956290581073,0,0,0
48,1.387,1.11890907421362,1.63478025483924,1.70821046063517,0,0,0
49,1.385,1.11669341188744,1.66978822817263,1.69694413346251,0,0,0
50,1.389,1.12047774956126,1.70186233760105,1.71623899217382,0,0,0
51,1.395,1.12626208723508,1.73106354229194,1.74621926026402,0,0,0
52,1.397,1.1280464249089,1.75749015937557,1.75558774250916,0,0,0
53,1.401,1.13183076258272,1.78127346123227,1.7756464214361,0,0,0
54,1.401,1.13161510025654,1.80257311481287,1.77449636725433,0,0,0
55,1.403,1.13339943793036,1.82157261803569,1.78403701473876,0,0,0
56,1.413,1.14318377560419,1.83847489853798,1.83738861212835,0,0,0
57,1.417,1.14696811327801,1.85349819918961,1.85849949197719,0,0,0
58,1.423,1.15275245095183,1.86687224149323,1.89128828665865,0,0,0
59,1.421,1.15053678862565,1.87883451671464,1.87865383862275,0,0,0
60,1.419,1.14832112629947,1.88962653612049,1.86611244719535,0,0,0
61,1.421,1.15010546397329,1.89948999752024,1.8762051175248,0,0,0
62,1.423,1.15188980164711,1.90866298107893,1.88635807773893,0,0,0
63,1.425,1.15367413932093,1.91737634127184,1.89657158633425,0,0,0
64,1.425,1.15345847699475,1.92585040419509,1.89533391461656,0,0,0
65,1.423,1.15124281466857,1.93429201738655,1.88266970987531,0,0,0
66,1.427,1.15502715234239,1.94289200835197,1.90435672408075,0,0,0
67,1.431,1.15881149001621,1.9518231446293,1.92631813939293,0,0,0
68,1.433,1.16059582769003,1.96123866247213,1.93676897903559,0,0,0
69,1.437,1.16438016536385,1.97127133982202,1.95913869349079,0,0,0
70,1.439,1.16616450303767,1.9820330161408,1.96978332117347,0,0,0
71,1.439,1.16594884071149,1.99361445334256,1.96849344564054,0,0,0
72,1.447,1.17373317838531,2.00608546434353,2.01563440961751,0,0,0
73,1.449,1.17551751605913,2.0194952582641,2.02661028114042,0,0,0
74,1.445,1.17130185373295,2.03387293548123,2.00078134062208,0,0,0
75,1.447,1.17308619140677,2.04922807793538,2.01167040705952,0,0,0
76,1.451,1.17687052908059,2.06555148908308,2.03497563787094,0,0,0
77,1.457,1.18265486675441,2.08281623835437,2.07115661729461,0,0,0
78,1.461,1.18643920442823,2.10097911663419,2.09519716438977,0,0,0
79,1.465,1.19022354210206,2.11998246633535,2.11953302503433,0,0,0
80,1.469,1.19400787977588,2.13975625748809,2.14416676625783,0,0,0
81,1.473,1.1977922174497,2.16022027859239,2.16910096533065,0,0,0
82,1.476,1.20057655512352,2.18128634421318,2.18763973776802,0,0,0
83,1.483,1.20736089279734,2.20286044623477,2.23350469843711,0,0,0
84,1.483,1.20714523047116,2.22484478115554,2.23203149659163,0,0,0
85,1.485,1.20892956814498,2.24713959055953,2.24425069961858,0,0,0
86,1.49,1.2137139058188,2.26964479625987,2.27735568688929,0,0,0
87,1.492,1.21549824349262,2.29226148076764,2.28983054755777,0,0,0
88,1.493,1.21628258116644,2.31489329129958,2.29533625757121,0,0,0
89,1.504,1.22706691884026,2.33744782814523,2.37242350381459,0,0,0
90,1.506,1.22885125651408,2.35983803327453,2.38542965288783,0,0,0
91,1.506,1.2286355941879,2.38198350864741,2.38385384750237,0,0,0
92,1.514,1.23641993186172,2.40381163682031,2.4414039974786,0,0,0
93,1.516,1.23820426953554,2.425258416433,2.45479161993099,0,0,0
94,1.516,1.23798860720936,2.44626897461967,2.45316962966403,0,0,0
95,1.52,1.24177294488318,2.46679773061907,2.48178811984189,0,0,0
96,1.52,1.241557282557,2.48680823189073,2.48014826017006,0,0,0
97,1.52,1.24134162023082,2.50627276078143,2.47850948427885,0,0,0
98,1.524,1.24512595790464,2.52517186185048,2.5074236523895,0,0,0
99,1.528,1.24891029557846,2.54349395644524,2.53667409504102,0,0,0
100,1.53,1.25069463325228,2.56123516546986,2.55058328864807,0,0,0
101,1.536,1.2564789709261,2.57839935666782,2.59619471757533,0,0,0
102,1.54,1.26026330859993,2.59499833386458,2.62647037986449,0,0,0
103,1.538,1.25804764627375,2.61105202530101,2.60870255943457,0,0,0
104,1.544,1.26383198394757,2.62658852363811,2.65533876110762,0,0,0
105,1.542,1.26161632162139,2.64164389815932,2.63737895156074,0,0,0
106,1.548,1.26740065929521,2.65626178000302,2.68451825226857,0,0,0
107,1.548,1.26718499696903,2.67049274203139,2.68274600103022,0,0,0
108,1.552,1.27096933464285,2.6843934671322,2.7140111814259,0,0,0
109,1.552,1.27075367231667,2.69802566771832,2.71221992224766,0,0,0
110,1.556,1.27453800999049,2.71145471202036,2.74381988475662,0,0,0
111,1.556,1.27432234766431,2.72474792582321,2.74200947622864,0,0,0
112,1.554,1.27210668533813,2.73797256045352,2.72347693695918,0,0,0
113,1.56,1.27789102301195,2.75119346537888,2.77211700675925,0,0,0
114,1.561,1.27867536068577,2.76447055456487,2.77877701578425,0,0,0
115,1.56,1.27745969835959,2.77785613793017,2.7684611162264,0,0,0
116,1.562,1.27924403603341,2.79139213697478,2.78361547228217,0,0,0
117,1.514,1.23102837370723,2.80510731490998,2.40139658551858,0,0,0
118,1.569,1.28581271138105,2.81901507237381,2.84009738014059,0,0,0
119,1.573,1.28959704905487,2.83311268767297,2.87313752765819,0,0,0
120,1.569,1.28538138672869,2.84738238383792,2.83635488320199,0,0,0
121,1.577,1.29316572440251,2.86179361069571,2.9046327434152,0,0,0
122,1.582,1.29795006207633,2.87630560036631,2.94737570055888,0,0,0
123,1.577,1.29273439975015,2.89086964198439,2.90080859259754,0,0,0
124,1.58,1.29551873742397,2.90543085776554,2.92557981865844,0,0,0
125,1.575,1.2903030750978,2.91992944030389,2.87934242497152,0,0,0
126,1.582,1.29708741277162,2.93430151562936,2.93962469486668,0,0,0
127,1.584,1.29887175044544,2.94847989893707,2.95567872626634,0,0,0
128,1.587,1.30165608811926,2.96239490669715,2.9808970297158,0,0,0
129,1.587,1.30144042579308,2.975975204303,2.97893643561519,0,0,0
130,1.586,1.3002247634669,2.98914858848733,2.96790774637097,0,0,0
131,1.587,1.30100910114072,3.00184268430317,2.97501892868537,0,0,0
132,1.592,1.30579343881454,3.01398566337773,3.01874817861408,0,0,0
133,1.597,1.31057777648836,3.02550710436243,3.06308672021358,0,0,0
134,1.597,1.31036211416218,3.03633897152578,3.06107488820905,0,0,0
135,1.597,1.310146451836,3.04641652368017,3.05906430556243,0,0,0
136,1.596,1.30893078950982,3.05567896650238,3.04775424001481,0,0,0
137,1.598,1.31071512718364,3.06406981907056,3.06436866419895,0,0,0
138,1.597,1.30949946485746,3.07153710962449,3.05304004840887,0,0,0
139,1.596,1.30828380253128,3.07803355363788,3.0417510620997,0,0,0
140,1.601,1.3130681402051,3.08351685178297,3.08640906520956,0,0,0
141,1.604,1.31585247787892,3.08795020236062,3.11268284422405,0,0,0
142,1.602,1.31363681555274,3.09130300787647,3.0917581908241,0,0,0
143,1.607,1.31842115322656,3.09355162434313,3.13710824897137,0,0,0
144,1.602,1.31320549090038,3.09467997678803,3.0877002254193,0,0,0
