"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.391,0.133045203544061,0.0742093528931939,0.155747118435981,36,6,0.989087933174571
2,0.343,0.0848295412178819,0.0749005197868026,0.0977679357751558,0,0,0
3,0.32,0.0616138788917023,0.0763042132182736,0.068844895976743,0,0,0
4,0.323,0.0643982165655227,0.0784672651164599,0.0723432628814221,0,0,0
5,0.331,0.0721825542393432,0.0814582916576703,0.0820826217141202,0,0,0
6,0.334,0.0749668919131636,0.0853662678275478,0.0855509314782098,0,0,0
7,0.341,0.0817512295869841,0.0902991023363553,0.0939665084083982,0,0,0
8,0.353,0.0935355672608045,0.0963822278403145,0.108459012001285,0,0,0
9,0.358,0.0983199049346249,0.10375716576849,0.114295105344466,0,0,0
10,0.374,0.114104242608445,0.112580010620752,0.133341370673962,0,0,0
11,0.378,0.117888580282266,0.123019772695319,0.137858314596576,0,0,0
12,0.386,0.125672917956086,0.135256524441576,0.147086903627352,0,0,0
13,0.399,0.138457255629907,0.149479319741416,0.162053877441466,0,0,0
14,0.426,0.165241593303727,0.165883884322464,0.192605181137515,0,0,0
15,0.453,0.192025930977548,0.184670073157318,0.221998660826925,0,0,0
16,0.469,0.207810268651368,0.206039043596705,0.238753631064087,0,0,0
17,0.478,0.216594606325188,0.230190052382673,0.247891951927956,0,0,0
18,0.503,0.241378943999009,0.257316813700624,0.272948612781011,0,0,0
19,0.538,0.276163281672829,0.287603437777666,0.306301009106133,0,0,0
20,0.564,0.30194761934665,0.321220024779129,0.329677977305793,0,0,0
21,0.595,0.33273195702047,0.358317987608525,0.356151304420753,0,0,0
22,0.639,0.376516294694291,0.399025171880848,0.391334197305243,0,0,0
23,0.688,0.425300632368111,0.443440864992927,0.427672067122738,0,0,0
24,0.746,0.483084970041931,0.491630810463619,0.468078896884902,0,0,0
25,0.819,0.555869307715752,0.543622345914995,0.518035736860346,0,0,0
26,0.873,0.609653645389572,0.599399774952484,0.557190163069631,0,0,0
27,0.935,0.671437983063393,0.658900082070254,0.608325119712115,0,0,0
28,0.995,0.731222320737213,0.722009112740063,0.668338381239449,0,0,0
29,1.044,0.780006658411034,0.788558353723211,0.72842742576644,0,0,0
30,1.048,0.783790996084854,0.858322452960815,0.733599650054058,0,0,0
31,1.06,0.795575333758675,0.931017676202818,0.750229408661461,0,0,0
32,1.062,0.797359671432495,1.00630168543972,0.752818435243214,0,0,0
33,1.086,0.821144009106315,1.08377528880053,0.789218431051723,0,0,0
34,1.129,0.863928346780136,1.16298698717855,0.864485083995131,0,0,0
35,1.197,0.931712684453956,1.24344109202102,1.01463477238144,0,0,0
36,1.256,0.990497022127777,1.32460985799335,1.18246891209623,0,0,0
37,1.32,1.0542813598016,1.40594950518925,1.4130302263731,0,0,0
38,1.393,1.12706569747542,1.48691930693528,1.75043147801819,0,0,0
39,1.425,1.15885003514924,1.56700217792246,1.92654324623389,0,0,0
40,1.433,1.16663437282306,1.64572460291807,1.9725967795253,0,0,0
41,1.441,1.17441871049688,1.7226737266495,2.01984371915052,0,0,0
42,1.447,1.1802030481707,1.79751016912157,2.05573752801849,0,0,0
43,1.451,1.18398738584452,1.86997615120974,2.07958811117182,0,0,0
44,1.457,1.18977172351834,1.93989920623049,2.11661191603697,0,0,0
45,1.463,1.19555606119216,2.00719201942543,2.15433094291739,0,0,0
46,1.467,1.19934039886598,2.07184898417776,2.179388805227,0,0,0
47,1.474,1.2061247365398,2.13394003296433,2.22507406573984,0,0,0
48,1.476,1.20790907421362,2.19360225525949,2.23725388510955,0,0,0
49,1.478,1.20969341188744,2.25102979138057,2.2495026257466,0,0,0
50,1.483,1.21447774956126,2.30646251033223,2.2826873937758,0,0,0
51,1.49,1.22126208723508,2.36017401341846,2.33060768989491,0,0,0
52,1.493,1.2240464249089,2.41245947563231,2.35057065570855,0,0,0
53,1.502,1.23283076258272,2.46362372684493,2.41469693542629,0,0,0
54,1.506,1.23661510025654,2.51396985732081,2.44286473820202,0,0,0
55,1.508,1.23839943793036,2.56378855834984,2.45626040338206,0,0,0
56,1.514,1.24418377560419,2.61334839747222,2.50019359142731,0,0,0
57,1.52,1.24996811327801,2.66288727395752,2.54491083655909,0,0,0
58,1.532,1.26175245095183,2.71260531240797,2.63847894711637,0,0,0
59,1.532,1.26153678862565,2.76265934657212,2.63673649226821,0,0,0
60,1.542,1.27132112629947,2.8131590040332,2.71693558563587,0,0,0
61,1.55,1.27910546397329,2.86416435607066,2.78243570931461,0,0,0
62,1.556,1.28488980164711,2.9156851046869,2.83209531533015,0,0,0
63,1.564,1.29267413932093,2.96768123604209,2.90027470405842,0,0,0
64,1.569,1.29745847699475,3.02006501484217,2.94295636305042,0,0,0
65,1.58,1.30824281466857,3.07270419209285,3.04137112661791,0,0,0
66,1.584,1.31202715234239,3.12542630168045,3.0766398505955,0,0,0
67,1.594,1.32181149001621,3.1780238855363,3.16962265608416,0,0,0
68,1.597,1.32459582769003,3.23026045242425,3.19656144603916,0,0,0
69,1.605,1.33238016536385,3.28187698633693,3.27301601611237,0,0,0
70,1.612,1.33916450303767,3.33259886246502,3.34103438027019,0,0,0
71,1.615,1.34194884071149,3.38214305287981,3.36932722127271,0,0,0
72,1.622,1.34873317838531,3.4302255040926,3.43919567173593,0,0,0
73,1.633,1.35951751605913,3.47656857087999,3.55300765129247,0,0,0
74,1.635,1.36130185373295,3.52090834845052,3.57216805181188,0,0,0
75,1.639,1.36508619140677,3.56300164027923,3.61311746857879,0,0,0
76,1.645,1.37087052908059,3.60263227521815,3.67653586291353,0,0,0
77,1.649,1.37465486675441,3.63961659600771,3.71857252432615,0,0,0
78,1.655,1.38043920442823,3.67380801366494,3.78366771742816,0,0,0
79,1.661,1.38622354210206,3.7051004722015,3.833333333,0,0,0
80,1.665,1.39000787977588,3.73343059286286,3.833333333,0,0,0
81,1.671,1.3957922174497,3.75877828028626,3.833333333,0,0,0
82,1.675,1.39957655512352,3.78116572268667,3.833333333,0,0,0
83,1.685,1.40936089279734,3.80065493686255,3.833333333,0,0,0
84,1.681,1.40514523047116,3.81734415748486,3.833333333,0,0,0
85,1.692,1.41592956814498,3.8313634000426,3.833333333,0,0,0
86,1.693,1.4167139058188,3.84286949495359,3.833333333,0,0,0
87,1.7,1.42349824349262,3.85204084812636,3.833333333,0,0,0
88,1.705,1.42828258116644,3.8590721429582,3.833333333,0,0,0
89,1.708,1.43106691884026,3.864169160779,3.833333333,0,0,0
90,1.713,1.43585125651408,3.86754386142878,3.833333333,0,0,0
91,1.718,1.4406355941879,3.86940983323735,3.833333333,0,0,0
92,1.721,1.44341993186172,3.86997819232839,3.833333333,0,0,0
93,1.725,1.44720426953554,3.86945398499657,3.833333333,0,0,0
94,1.725,1.44698860720936,3.86803312393404,3.833333333,0,0,0
95,1.735,1.45677294488318,3.86589986928025,3.833333333,0,0,0
96,1.735,1.456557282557,3.86322484875018,3.833333333,0,0,0
97,1.738,1.45934162023082,3.86016359732791,3.833333333,0,0,0
98,1.74,1.46112595790464,3.85685558602426,3.833333333,0,0,0
99,1.741,1.46191029557846,3.85342370078669,3.833333333,0,0,0
100,1.747,1.46769463325228,3.84997412659412,3.833333333,0,0,0
101,1.746,1.4664789709261,3.84659658782816,3.833333333,0,0,0
102,1.746,1.46626330859993,3.84336489393902,3.833333333,0,0,0
103,1.754,1.47404764627375,3.84033773896845,3.833333333,0,0,0
104,1.76,1.47983198394757,3.8375597044066,3.833333333,0,0,0
105,1.756,1.47561632162139,3.83506241690622,3.833333333,0,0,0
106,1.766,1.48540065929521,3.8328658153277,3.833333333,0,0,0
107,1.768,1.48718499696903,3.83097948522952,3.833333333,0,0,0
108,1.77,1.48896933464285,3.82940402305568,3.833333333,0,0,0
109,1.764,1.48275367231667,3.82813239672632,3.833333333,0,0,0
110,1.772,1.49053800999049,3.82715127395402,3.833333333,0,0,0
111,1.77,1.48832234766431,3.82644229424919,3.833333333,0,0,0
112,1.772,1.49010668533813,3.82598326512635,3.833333333,0,0,0
113,1.776,1.49389102301195,3.82574926738427,3.833333333,0,0,0
114,1.782,1.49967536068577,3.82571365842719,3.833333333,0,0,0
115,1.774,1.49145969835959,3.82584896636487,3.833333333,0,0,0
116,1.782,1.49924403603341,3.82612767103118,3.833333333,0,0,0
117,1.778,1.49502837370723,3.82652287106873,3.833333333,0,0,0
118,1.776,1.49281271138105,3.82700883882519,3.833333333,0,0,0
119,1.788,1.50459704905487,3.82756146699485,3.833333333,0,0,0
120,1.792,1.50838138672869,3.82815861272352,3.833333333,0,0,0
121,1.786,1.50216572440251,3.82878034629363,3.833333333,0,0,0
122,1.79,1.50595006207633,3.82940911254227,3.833333333,0,0,0
123,1.794,1.50973439975015,3.830029813867,3.833333333,0,0,0
124,1.792,1.50751873742397,3.83062982407498,3.833333333,0,0,0
125,1.792,1.5073030750978,3.83119894246589,3.833333333,0,0,0
126,1.796,1.51108741277162,3.8317292974443,3.833333333,0,0,0
127,1.79,1.50487175044544,3.83221520867016,3.833333333,0,0,0
128,1.802,1.51665608811926,3.83265301631257,3.833333333,0,0,0
129,1.802,1.51644042579308,3.8330408854076,3.833333333,0,0,0
130,1.8,1.5142247634669,3.8333785926675,3.833333333,0,0,0
131,1.8,1.51400910114072,3.83366730237853,3.833333333,0,0,0
132,1.806,1.51979343881454,3.83390933728273,3.833333333,0,0,0
133,1.806,1.51957777648836,3.83410794959257,3.833333333,0,0,0
134,1.802,1.51536211416218,3.83426709655493,3.833333333,0,0,0
135,1.806,1.519146451836,3.83439122428203,3.833333333,0,0,0
136,1.81,1.52293078950982,3.83448506291418,3.833333333,0,0,0
137,1.804,1.51671512718364,3.83455343558511,3.833333333,0,0,0
138,1.804,1.51649946485746,3.83460108313095,3.833333333,0,0,0
139,1.808,1.52028380253128,3.83463250602446,3.833333333,0,0,0
140,1.808,1.5200681402051,3.83465182462813,3.833333333,0,0,0
141,1.808,1.51985247787892,3.83466265854161,3.833333333,0,0,0
142,1.804,1.51563681555274,3.83466802556804,3.833333333,0,0,0
143,1.811,1.52242115322656,3.83467026063412,3.833333333,0,0,0
144,1.817,1.52820549090038,3.8346709548629,3.833333333,0,0,0
