"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.536,0.278045203544061,0.143889701165574,0.308045515341624,39,5,0.988039411233375
2,0.375,0.116829541217882,0.144167997391462,0.136596241321492,0,0,0
3,0.358,0.0996138788917023,0.144743028287923,0.115868630033794,0,0,0
4,0.357,0.0983982165655227,0.145655289951163,0.11439039540552,0,0,0
5,0.372,0.113182554239343,0.146963009802849,0.132238288073562,0,0,0
6,0.372,0.112966891913164,0.148740271319846,0.131980015567864,0,0,0
7,0.376,0.116751229586984,0.151075441909549,0.136502854664522,0,0,0
8,0.392,0.132535567260805,0.154069905439947,0.15515099729433,0,0,0
9,0.393,0.133319904934625,0.157837029172423,0.156068277971586,0,0,0
10,0.403,0.143104242608445,0.162501285614496,0.167434081689222,0,0,0
11,0.412,0.151888580282266,0.168197445631477,0.177514256844212,0,0,0
12,0.417,0.156672917956086,0.17506976813089,0.182953836522375,0,0,0
13,0.435,0.174457255629907,0.183271125425432,0.20285272167661,0,0,0
14,0.449,0.188241593303727,0.192962007046275,0.217918395502053,0,0,0
15,0.456,0.195025930977548,0.204309335914911,0.225215975853766,0,0,0
16,0.477,0.215810268651368,0.217485023093967,0.247081460477791,0,0,0
17,0.493,0.231594606325188,0.232664196703616,0.263185357407816,0,0,0
18,0.51,0.248378943999009,0.250023056631009,0.279830426686655,0,0,0
19,0.527,0.265163281672829,0.269736316293426,0.295981832016124,0,0,0
20,0.55,0.28794761934665,0.291974208465458,0.317124904737012,0,0,0
21,0.569,0.30673195702047,0.316899060034432,0.333892907893871,0,0,0
22,0.597,0.334516294694291,0.344661468259771,0.357639837979793,0,0,0
23,0.632,0.369300632368111,0.375396132664661,0.385720080622843,0,0,0
24,0.652,0.389084970041931,0.409217412991645,0.400954612443718,0,0,0
25,0.687,0.423869307715752,0.446214702438882,0.426641181534908,0,0,0
26,0.716,0.452653645389572,0.486447742084829,0.447052686523929,0,0,0
27,0.753,0.489437983063393,0.529942054847246,0.472425081307576,0,0,0
28,0.794,0.530222320737213,0.576684724703455,0.500278637013469,0,0,0
29,0.843,0.579006658411034,0.626620778094288,0.534466767957886,0,0,0
30,0.895,0.630790996084854,0.679650437887441,0.573741329884688,0,0,0
31,0.938,0.673575333758674,0.735627515585892,0.610263782336848,0,0,0
32,0.986,0.721359671432495,0.7943591939984,0.657521294931519,0,0,0
33,1.03,0.765144009106315,0.855607441175159,0.708866886140167,0,0,0
34,1.076,0.810928346780136,0.919092278871511,0.773143467755718,0,0,0
35,1.141,0.875712684453956,0.984497075266251,0.887677852330411,0,0,0
36,1.201,0.935497022127777,1.05147589148408,1.02430132979779,0,0,0
37,1.25,0.984281359801597,1.11966264330173,1.16284050356529,0,0,0
38,1.288,1.02206569747542,1.1886814962674,1.28969624589565,0,0,0
39,1.312,1.04585003514924,1.25815765131901,1.379321644019,0,0,0
40,1.328,1.06163437282306,1.32772763450289,1.44328627868103,0,0,0
41,1.338,1.07141871049688,1.39704839694619,1.48481631443562,0,0,0
42,1.349,1.0822030481707,1.46580487096041,1.53231311066348,0,0,0
43,1.366,1.09898738584452,1.53371596497424,1.60994859049558,0,0,0
44,1.383,1.11577172351834,1.60053916511115,1.69228272950064,0,0,0
45,1.395,1.12755606119216,1.66607389108031,1.7530074553216,0,0,0
46,1.403,1.13534039886598,1.73016363384363,1.79448085706295,0,0,0
47,1.411,1.1431247365398,1.79269685772728,1.837061382642,0,0,0
48,1.419,1.15090907421362,1.853606738888,1.88077021786686,0,0,0
49,1.441,1.17269341188744,1.91286991953405,2.00926798310409,0,0,0
50,1.447,1.17847774956126,1.97050442432933,2.04496069148436,0,0,0
51,1.455,1.18626208723508,2.02656671139367,2.09406543469785,0,0,0
52,1.453,1.1840464249089,2.08114772844037,2.07996252141754,0,0,0
53,1.459,1.18983076258272,2.13436798738987,2.11699337588442,0,0,0
54,1.47,1.20061510025654,2.18637193752466,2.18789753638423,0,0,0
55,1.475,1.20539943793036,2.23732203845136,2.22014284417206,0,0,0
56,1.484,1.21418377560419,2.28739282659251,2.28063390983464,0,0,0
57,1.489,1.21896811327801,2.33676509822162,2.31429042406741,0,0,0
58,1.495,1.22475245095183,2.3856202570167,2.35566027559295,0,0,0
59,1.504,1.23353678862565,2.43413488312831,2.41992713930262,0,0,0
60,1.504,1.23332112629947,2.48247559957771,2.41832831391622,0,0,0
61,1.512,1.24110546397329,2.5307943298281,2.47671622157072,0,0,0
62,1.52,1.24888980164711,2.57922407922734,2.53651477993714,0,0,0
63,1.528,1.25667413932093,2.6278753808343,2.59774766587081,0,0,0
64,1.53,1.25845847699475,2.67683346488913,2.61198812581702,0,0,0
65,1.54,1.26824281466857,2.72615612695559,2.69144981123897,0,0,0
66,1.544,1.27202715234239,2.77587227706578,2.72281396820849,0,0,0
67,1.552,1.27981149001621,2.82598118646464,2.788451667577,0,0,0
68,1.558,1.28559582769003,2.87645243526689,2.83821493996385,0,0,0
69,1.567,1.29438016536385,2.92722652670239,2.91542599820224,0,0,0
70,1.568,1.29516450303767,2.97821610012581,2.92241712701925,0,0,0
71,1.578,1.30494884071149,3.02930766940078,3.01098436056086,0,0,0
72,1.584,1.31073317838531,3.08036384856246,3.06453718032831,0,0,0
73,1.593,1.31951751605913,3.1312260321627,3.14758829238823,0,0,0
74,1.595,1.32130185373295,3.18171742463011,3.164714963836,0,0,0
75,1.599,1.32508619140677,3.23164626564722,3.20132792106597,0,0,0
76,1.603,1.32887052908059,3.28080918748767,3.23833692563581,0,0,0
77,1.611,1.33665486675441,3.32899479353673,3.31572174024913,0,0,0
78,1.618,1.34343920442823,3.37598759021902,3.38456239144388,0,0,0
79,1.625,1.35022354210206,3.42157227641278,3.45472208005722,0,0,0
80,1.627,1.35200787977588,3.46553821490899,3.47339590660421,0,0,0
81,1.631,1.3557922174497,3.50768384748861,3.51330790132316,0,0,0
