"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.309,0.0510452035440614,-0.0141437826301291,0.0554996125620119,30,6,0.903789027441137
2,0.266,0.00782954121788193,-0.0130235036370223,4.96558288989278e-05,0,0,0
3,0.266,0.00761387889170234,-0.0107682540580994,1e-06,0,0,0
4,0.271,0.0123982165655228,-0.00734612476976047,0.00596368155476629,0,0,0
5,0.273,0.0141825542393432,-0.00271070790903514,0.0082708811365088,0,0,0
6,0.276,0.0169668919131636,0.00319748806993936,0.0118679981180171,0,0,0
7,0.276,0.0167512295869841,0.0104494355523629,0.0115895215409775,0,0,0
8,0.288,0.0285355672608045,0.0191258328053645,0.0267681450321296,0,0,0
9,0.297,0.0373199049346249,0.0293152301577866,0.0380256712308072,0,0,0
10,0.312,0.0521042426084454,0.0411120576374481,0.0568414281514181,0,0,0
11,0.32,0.0598885802822658,0.0546145409109468,0.0666733933194318,0,0,0
12,0.341,0.0806729179560862,0.0699224662420548,0.0926323448165098,0,0,0
13,0.356,0.0954572556299066,0.0871347474903449,0.110806556296633,0,0,0
14,0.36,0.0992415933037271,0.106346748640919,0.115416132109296,0,0,0
15,0.381,0.120025930977548,0.127647330582695,0.140400690756759,0,0,0
16,0.401,0.139810268651368,0.151115630019386,0.163623736885078,0,0,0
17,0.42,0.158594606325188,0.176817610386161,0.185128535639973,0,0,0
18,0.429,0.167378943999009,0.204802426575078,0.194994185040079,0,0,0
19,0.44,0.178163281672829,0.235098657251782,0.206934376366608,0,0,0
20,0.464,0.20194761934665,0.267710516215384,0.23258040163313,0,0,0
21,0.486,0.22373195702047,0.302614221626802,0.255217986682073,0,0,0
22,0.519,0.256516294694291,0.339754724393372,0.28772241543635,0,0,0
23,0.544,0.281300632368111,0.379042975202587,0.311048872004221,0,0,0
24,0.581,0.318084970041931,0.420353885139097,0.343744919579526,0,0,0
25,0.628,0.364869307715752,0.463525130224926,0.382237983456132,0,0,0
26,0.689,0.425653645389572,0.508356948587123,0.427926035223109,0,0,0
27,0.753,0.489437983063393,0.554613053488589,0.472425081307576,0,0,0
28,0.812,0.548222320737213,0.602022740171304,0.512702099161154,0,0,0
