"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.356,0.0980452035440614,0.0277126111064247,0.113960786161947,30,6,0.983382953578361
2,0.287,0.0288295412178819,0.0286186330426192,0.0271457264602837,0,0,0
3,0.284,0.0256138788917023,0.0304475552225488,0.0230125438862605,0,0,0
4,0.292,0.0333982165655227,0.0332367195731717,0.0330064224146996,0,0,0
5,0.307,0.0481825542393432,0.037040712176676,0.0518677678717451,0,0,0
6,0.309,0.0499668919131636,0.0419301395291881,0.0541323797958365,0,0,0
7,0.315,0.0557512295869841,0.0479903405525423,0.0614546145073549,0,0,0
8,0.327,0.0675355672608045,0.0553199722383625,0.0762759844652286,0,0,0
9,0.338,0.0783199049346249,0.0640294025675758,0.0897165070923471,0,0,0
10,0.343,0.0831042426084454,0.0742388584518376,0.0956386883255092,0,0,0
11,0.351,0.0908885802822658,0.0860762785426342,0.105218061951457,0,0,0
12,0.363,0.102672917956086,0.0996748388630615,0.119580093698073,0,0,0
13,0.381,0.120457255629907,0.115170149365723,0.140912978539959,0,0,0
14,0.393,0.132241593303727,0.132697128723279,0.154806962686279,0,0,0
15,0.412,0.151025930977548,0.152386550649206,0.176529642628933,0,0,0
16,0.425,0.163810268651368,0.174361247355538,0.191001199584879,0,0,0
17,0.442,0.180594606325188,0.198731970876066,0.209599749827551,0,0,0
18,0.461,0.199378943999009,0.225592943580777,0.229857003841804,0,0,0
19,0.479,0.217163281672829,0.255017162643736,0.248478919627672,0,0,0
20,0.498,0.23594761934665,0.2870515526278,0.26754973751508,0,0,0
21,0.511,0.24873195702047,0.321712090584987,0.280175202713391,0,0,0
22,0.528,0.265516294694291,0.358979071209699,0.296316254490955,0,0,0
23,0.559,0.296300632368111,0.398792734339531,0.324654188082251,0,0,0
24,0.584,0.321084970041931,0.441049519267442,0.346313566738684,0,0,0
25,0.62,0.356869307715752,0.485599219695448,0.375883446581422,0,0,0
26,0.657,0.393653645389572,0.532243302754674,0.404403929174249,0,0,0
27,0.713,0.449437983063393,0.58073464740508,0.444802535103834,0,0,0
28,0.778,0.514222320737213,0.630778945659575,0.489334112325749,0,0,0
29,0.854,0.590006658411034,0.682037974516333,0.542475882858048,0,0,0
30,0.929,0.664790996084854,0.734134883025532,0.60237969041185,0,0,0
31,0.999,0.734575333758674,0.786661557007044,0.672109432739256,0,0,0
32,1.066,0.801359671432495,0.839188027518028,0.758692070827996,0,0,0
33,1.131,0.866144009106315,0.89127376538377,0.868759674857803,0,0,0
34,1.193,0.927928346780136,0.942480526533412,1.00511428373653,0,0,0
35,1.249,0.983712684453956,0.992386160106706,1.16106813386143,0,0,0
36,1.282,1.01649702212778,1.04059848688851,1.2698370013737,0,0,0
37,1.294,1.0282813598016,1.08676812059298,1.31235845627945,0,0,0
38,1.3,1.03406569747542,1.13059912835721,1.33392573518368,0,0,0
39,1.306,1.03985003514924,1.17185677876801,1.35596135366795,0,0,0
40,1.31,1.04363437282306,1.21037211990164,1.37063502887552,0,0,0
41,1.306,1.03941871049688,1.24604350951837,1.35430187896749,0,0,0
42,1.31,1.0432030481707,1.27883542237899,1.36895222108889,0,0,0
43,1.308,1.04098738584452,1.30877496951494,1.36034988726923,0,0,0
44,1.31,1.04277172351834,1.33594661872131,1.36727208521466,0,0,0
45,1.312,1.04455606119216,1.36048559685177,1.37423995459738,0,0,0
46,1.312,1.04434039886598,1.38257040424999,1.37339535547969,0,0,0
47,1.312,1.0441247365398,1.40241481340215,1.37255142646382,0,0,0
48,1.316,1.04790907421362,1.42025967868935,1.38745787414716,0,0,0
49,1.316,1.04769341188744,1.43636484884009,1.38660280469977,0,0,0
50,1.318,1.04947774956126,1.45100142845106,1.3936978318794,0,0,0
51,1.324,1.05526208723508,1.46444458201242,1.417019077289,0,0,0
52,1.324,1.0550464249089,1.47696702244543,1.41614070379086,0,0,0
53,1.322,1.05283076258272,1.48883327840631,1.40715640801453,0,0,0
54,1.326,1.05661510025654,1.50029482173311,1.42254555398223,0,0,0
55,1.334,1.06439943793036,1.51158616201989,1.45487441148268,0,0,0
56,1.349,1.07918377560419,1.52292198638899,1.51883063168463,0,0,0
57,1.343,1.07296811327801,1.53449527610028,1.49152803772254,0,0,0
58,1.349,1.07875245095183,1.54647618360547,1.51691637609927,0,0,0
59,1.352,1.08153678862565,1.5590114638146,1.52932547341261,0,0,0
60,1.356,1.08532112629947,1.57222437731939,1.54638957169505,0,0,0
61,1.358,1.08710546397329,1.58621505675256,1.5545152237007,0,0,0
62,1.363,1.09188980164711,1.60106132494185,1.5765572761321,0,0,0
63,1.372,1.10067413932093,1.61681994166816,1.61800708008864,0,0,0
64,1.377,1.10545847699475,1.63352822636617,1.64112430260181,0,0,0
65,1.381,1.10924281466857,1.65120593709001,1.65968435806715,0,0,0
66,1.383,1.11102715234239,1.66985724367071,1.66852044776662,0,0,0
67,1.389,1.11681149001621,1.68947267277849,1.69754237930204,0,0,0
68,1.391,1.11859582769003,1.71003098381614,1.70661243077702,0,0,0
69,1.397,1.12438016536385,1.73150098477755,1.73640005300093,0,0,0
70,1.401,1.12816450303767,1.7538433052634,1.75620971244931,0,0,0
71,1.407,1.13394884071149,1.77701213366401,1.78698625339794,0,0,0
72,1.413,1.13973317838531,1.80095690526168,1.81837201815899,0,0,0
73,1.419,1.14551751605913,1.82562389831548,1.85037567604647,0,0,0
74,1.421,1.14730185373295,1.8509576685306,1.86037413786598,0,0,0
75,1.427,1.15308619140677,1.87690225514333,1.89319948129556,0,0,0
76,1.435,1.16087052908059,1.90340212739668,1.9383833854779,0,0,0
77,1.437,1.16265486675441,1.93040285847115,1.94890558201278,0,0,0
78,1.443,1.16843920442823,1.95785149181403,1.9834441120611,0,0,0
79,1.447,1.17222354210206,1.98569655645471,2.00639808702569,0,0,0
80,1.455,1.18000787977588,2.01388771382428,2.05451540528304,0,0,0
81,1.415,1.1397922174497,2.04237508467788,1.81869553431682,0,0,0
82,1.463,1.18757655512352,2.07110851836114,2.10247994493728,0,0,0
83,1.461,1.18536089279734,2.1000373096682,2.08831706207532,0,0,0
84,1.471,1.19514523047116,2.12911069789068,2.15162883072046,0,0,0
85,1.473,1.19692956814498,2.15827895968045,2.16339057870611,0,0,0
86,1.481,1.2047139058188,2.18749466085118,2.2154924003419,0,0,0
87,1.483,1.20649824349262,2.21671379062969,2.22761791967607,0,0,0
88,1.488,1.21128258116644,2.24589668179662,2.26046986478011,0,0,0
89,1.493,1.21606691884026,2.27500868610622,2.29382105030256,0,0,0
90,1.496,1.21885125651408,2.30402060443425,2.31346234020085,0,0,0
91,1.504,1.2266355941879,2.33290887850003,2.369290352679,0,0,0
92,1.504,1.22641993186172,2.36165553206436,2.36772535134225,0,0,0
93,1.508,1.23020426953554,2.39024783728308,2.39533995105847,0,0,0
94,1.512,1.23398860720936,2.4186777142225,2.42328017708682,0,0,0
95,1.514,1.23577294488318,2.44694093166575,2.43656789024213,0,0,0
96,1.52,1.241557282557,2.47503620513597,2.48014826017006,0,0,0
97,1.52,1.24134162023082,2.50296427309226,2.47850948427885,0,0,0
98,1.526,1.24712595790464,2.53072701583663,2.52284026712162,0,0,0
99,1.532,1.25291029557846,2.55832667545174,2.56796005152059,0,0,0
100,1.536,1.25669463325228,2.58576519892857,2.5979107885591,0,0,0
101,1.536,1.2564789709261,2.61304365347056,2.59619471757533,0,0,0
102,1.542,1.26226330859993,2.64016163792691,2.642610962277,0,0,0
103,1.542,1.26204764627375,2.66711668202394,2.64086582693489,0,0,0
104,1.55,1.26983198394757,2.69390369668086,2.70457749969777,0,0,0
105,1.548,1.26761632162139,2.72051453962064,2.68629164818984,0,0,0
106,1.554,1.27340065929521,2.74693773190291,2.73428531045104,0,0,0
107,1.562,1.28118499696903,2.77315835141296,2.80019122562898,0,0,0
108,1.562,1.28096933464285,2.79915809454889,2.79834477100357,0,0,0
109,1.563,1.28175367231667,2.82491542056573,2.80506575102757,0,0,0
110,1.566,1.28453800999049,2.85040569507484,2.82905083833145,0,0,0
111,1.573,1.29132234766431,2.87560136540101,2.88832297363976,0,0,0
112,1.574,1.29210668533813,2.90047225686152,2.89525185491643,0,0,0
113,1.581,1.29889102301195,2.92498599078903,2.95585258098239,0,0,0
114,1.577,1.29467536068577,2.94910842868477,2.91805531774392,0,0,0
115,1.581,1.29845969835959,2.97280407020537,2.95196400297671,0,0,0
116,1.588,1.30524403603341,2.99603644620143,3.01369573464158,0,0,0
117,1.588,1.30502837370723,3.01876860451889,3.01171464453346,0,0,0
118,1.592,1.30881271138105,3.04096370852345,3.04665779617367,0,0,0
119,1.599,1.31559704905487,3.06258566861627,3.11026379401607,0,0,0
120,1.594,1.31038138672869,3.08359969845569,3.06125462382542,0,0,0
121,1.601,1.31716572440251,3.10397270591422,3.12514799595033,0,0,0
122,1.601,1.31695006207633,3.12367349259704,3.12309774025381,0,0,0
123,1.603,1.31873439975015,3.14267280912212,3.14009919620662,0,0,0
124,1.604,1.31951873742397,3.16094332897063,3.14759998563693,0,0,0
125,1.608,1.3233030750978,3.17845959699984,3.18402734886255,0,0,0
126,1.61,1.32508741277162,3.19519800552212,3.2013398013795,0,0,0
127,1.61,1.32487175044544,3.21113681298602,3.19924267605854,0,0,0
128,1.614,1.32865608811926,3.2262561802605,3.23622915991133,0,0,0
129,1.613,1.32744042579308,3.24053820955438,3.22430446196107,0,0,0
130,1.614,1.3282247634669,3.25396700602345,3.23199349639533,0,0,0
