"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.49,0.232045203544061,0.12598769159286,0.263638673685406,38,5,0.993129016199631
2,0.365,0.106829541217882,0.12626334750352,0.124603902635433,0,0,0
3,0.341,0.0826138788917024,0.126833621722271,0.095032891756932,0,0,0
4,0.342,0.0833982165655228,0.127740253604063,0.0960017327770902,0,0,0
5,0.352,0.0931825542393432,0.129043744672106,0.108027277394896,0,0,0
6,0.356,0.0969668919131636,0.130821842547219,0.112647537529414,0,0,0
7,0.363,0.103751229586984,0.133168362472101,0.120885525525671,0,0,0
8,0.374,0.114535567260804,0.136192350435792,0.133857185849058,0,0,0
9,0.381,0.121319904934625,0.140017507051554,0.141936772104667,0,0,0
10,0.392,0.132104242608445,0.144781775342854,0.154646179160078,0,0,0
11,0.404,0.143888580282266,0.150636989204122,0.168338945629517,0,0,0
12,0.412,0.151672917956086,0.157748477855854,0.177268212208649,0,0,0
13,0.427,0.166457255629907,0.166294525320117,0.193964884565926,0,0,0
14,0.444,0.183241593303727,0.176465590831498,0.212490333288043,0,0,0
15,0.457,0.196025930977548,0.188463199876949,0.226285006187028,0,0,0
16,0.475,0.213810268651368,0.20249841412969,0.24500992388995,0,0,0
17,0.491,0.229594606325188,0.218789794004128,0.261168991529263,0,0,0
18,0.51,0.248378943999009,0.237560786957236,0.279830426686655,0,0,0
19,0.534,0.272163281672829,0.259036499320696,0.302572809404922,0,0,0
20,0.556,0.29394761934665,0.283439830666226,0.322545112386735,0,0,0
21,0.572,0.30973195702047,0.310986969611551,0.336516653011857,0,0,0
22,0.606,0.343516294694291,0.341882280217535,0.365074099230393,0,0,0
23,0.636,0.373300632368111,0.376312649965526,0.388840699858966,0,0,0
24,0.658,0.395084970041931,0.414441406493439,0.405479537119501,0,0,0
25,0.701,0.437869307715752,0.4564019398236,0.436648709149129,0,0,0
26,0.734,0.470653645389572,0.502291206957442,0.459539316748751,0,0,0
27,0.78,0.516437983063393,0.552163341209517,0.490846487996891,0,0,0
28,0.834,0.570222320737213,0.606023622306423,0.528169194955378,0,0,0
29,0.879,0.615006658411034,0.663823083809341,0.561304558756882,0,0,0
30,0.946,0.681790996084854,0.725454043887865,0.617842789551368,0,0,0
31,0.99,0.725575333758674,0.790746839748021,0.662095528155464,0,0,0
32,0.998,0.733359671432495,0.859468036245525,0.67073659403767,0,0,0
33,0.991,0.726144009106315,0.931320428432117,0.662718162132925,0,0,0
34,1.068,0.802928346780136,1.00594531768614,0.761022157606463,0,0,0
35,1.133,0.867712684453956,1.08292767798881,0.871809906933959,0,0,0
36,1.179,0.913497022127777,1.16180470008666,0.970116035690244,0,0,0
37,1.248,0.982281359801597,1.24207780291602,1.15662442823197,0,0,0
38,1.302,1.03606569747542,1.32322775000655,1.34149143748418,0,0,0
39,1.342,1.07585003514924,1.40473209741582,1.50411157546723,0,0,0
40,1.385,1.11863437282306,1.48608383102862,1.70680897628076,0,0,0
41,1.421,1.15441871049688,1.56680979680562,1.90085146096444,0,0,0
42,1.433,1.1662030481707,1.64648742108217,1.97001395583075,0,0,0
43,1.439,1.17198738584452,1.72475830331954,2.00495734283622,0,0,0
44,1.445,1.17777172351834,1.80133767891346,2.04056798902772,0,0,0
