"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.361,0.103045203544061,0.0787420346018943,0.120030961721345,38,6,0.996516313560552
2,0.317,0.0588295412178819,0.0791883276710633,0.0653390604732913,0,0,0
3,0.31,0.0516138788917023,0.0800926319703165,0.0562202528035381,0,0,0
4,0.322,0.0633982165655227,0.0814830386300331,0.0710876895149388,0,0,0
5,0.333,0.0741825542393432,0.0834013206466217,0.0845747589613227,0,0,0
6,0.339,0.0799668919131636,0.0859027912137709,0.0917580908289695,0,0,0
7,0.343,0.0837512295869841,0.0890562922011064,0.0964375569778478,0,0,0
8,0.347,0.0875355672608045,0.0929442181045484,0.101100582561579,0,0,0
9,0.35,0.0903199049346249,0.0976624889109139,0.104520676281983,0,0,0
10,0.354,0.0941042426084454,0.103320427570285,0.109154181087714,0,0,0
11,0.365,0.104888580282266,0.110040528098946,0.122260801200188,0,0,0
12,0.381,0.120672917956086,0.117958106365544,0.141169024770827,0,0,0
13,0.391,0.130457255629907,0.127220802611017,0.152716056081162,0,0,0
14,0.407,0.146241593303727,0.137987866437189,0.171047895254318,0,0,0
15,0.421,0.160025930977548,0.150429131332153,0.186744493063322,0,0,0
16,0.432,0.170810268651368,0.164723588760259,0.198813979130952,0,0,0
17,0.446,0.184594606325188,0.181057492383848,0.213963329886743,0,0,0
18,0.462,0.200378943999009,0.199621954114297,0.230918584973938,0,0,0
19,0.483,0.221163281672829,0.220610025988588,0.252591651181805,0,0,0
20,0.501,0.23894761934665,0.244213281096505,0.270538215777024,0,0,0
21,0.529,0.26673195702047,0.270617913326767,0.297466239442162,0,0,0
22,0.552,0.289516294694291,0.300000382019654,0.318547873327782,0,0,0
23,0.585,0.322300632368111,0.332522639398156,0.347350355228105,0,0,0
24,0.616,0.353084970041931,0.368326995200474,0.372846167708673,0,0,0
25,0.656,0.392869307715752,0.407530693915759,0.403813507396027,0,0,0
26,0.696,0.432653645389572,0.450220304198993,0.432939613621901,0,0,0
