"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.368,0.110045203544061,0.0596756632088868,0.128474884663654,39,5,0.992467032787389
2,0.32,0.0618295412178819,0.0599255378736973,0.069116133110527,0,0,0
3,0.301,0.0426138788917023,0.0604392620846386,0.0447832845556002,0,0,0
4,0.31,0.0513982165655227,0.0612490788443517,0.0559469929745299,0,0,0
5,0.311,0.0521825542393432,0.0624021637304268,0.0569406110552545,0,0,0
6,0.31,0.0509668919131636,0.0639596651310876,0.0554003520260693,0,0,0
7,0.312,0.0527512295869841,0.0659958296845134,0.0576606855924233,0,0,0
8,0.319,0.0595355672608045,0.0685972356688338,0.0662287333132188,0,0,0
9,0.323,0.0633199049346249,0.0718621311139331,0.0709893220590586,0,0,0
10,0.326,0.0661042426084454,0.0758998611072866,0.0744830184892453,0,0,0
11,0.336,0.0758885802822658,0.080830353305609,0.0866972005912591,0,0,0
12,0.34,0.0796729179560862,0.0867836255451314,0.0913939058741754,0,0,0
13,0.35,0.0894572556299066,0.093899278896441,0.103462041251146,0,0,0
14,0.362,0.101241593303727,0.102325935938308,0.117844986109017,0,0,0
15,0.377,0.116025930977548,0.112220576657955,0.135637534567074,0,0,0
16,0.387,0.125810268651368,0.123747710151786,0.147248967126221,0,0,0
17,0.401,0.139594606325188,0.137078307290137,0.163373694912203,0,0,0
18,0.415,0.153378943999009,0.152388424406466,0.179212592493659,0,0,0
19,0.436,0.174163281672829,0.169857467686283,0.202527979936394,0,0,0
20,0.45,0.18794761934665,0.189666062904624,0.217600418984597,0,0,0
21,0.474,0.21173195702047,0.211993501261587,0.242849906472854,0,0,0
22,0.497,0.234516294694291,0.237014740773869,0.266118343924634,0,0,0
23,0.524,0.261300632368111,0.264896955960112,0.292308427227146,0,0,0
24,0.545,0.282084970041931,0.295795641731573,0.311769762063253,0,0,0
25,0.579,0.315869307715752,0.329850298052456,0.341838583699586,0,0,0
26,0.614,0.350653645389572,0.367179755038807,0.370883985957532,0,0,0
27,0.664,0.400437983063393,0.407877227207696,0.409481457676942,0,0,0
28,0.703,0.439222320737213,0.452005195742382,0.437607397436696,0,0,0
29,0.757,0.493006658411034,0.499590221817051,0.474862742928894,0,0,0
30,0.792,0.527790996084854,0.550617817140135,0.498611183529913,0,0,0
31,0.835,0.570575333758674,0.60502754957215,0.528420752060564,0,0,0
32,0.88,0.615359671432495,0.662708633051356,0.561577631125903,0,0,0
33,0.919,0.654144009106315,0.723496321215571,0.593107549636167,0,0,0
34,0.956,0.690928346780136,0.787169473724787,0.626520254582769,0,0,0
35,1.012,0.746712684453956,0.853449689883045,0.686176553909582,0,0,0
36,1.054,0.788497022127777,0.922002398357284,0.740144324917257,0,0,0
37,1.098,0.832281359801597,0.992440237040003,0.807539655372378,0,0,0
38,1.145,0.879065697475417,1.06432896269025,0.894486389999149,0,0,0
39,1.197,0.930850035149238,1.13719601203696,1.01245176710676,0,0,0
40,1.245,0.978634372823058,1.21054166528614,1.14541292124856,0,0,0
41,1.27,1.00341871049688,1.28385252648358,1.22480756331245,0,0,0
42,1.326,1.0592030481707,1.35661680712669,1.4331923003289,0,0,0
43,1.365,1.09798738584452,1.42834070931458,1.60519349333833,0,0,0
44,1.401,1.13377172351834,1.49856494646796,1.78603487399913,0,0,0
45,1.413,1.14555606119216,1.56688012540177,1.85059103104629,0,0,0
46,1.419,1.15134039886598,1.6329396259216,1.88322551226276,0,0,0
47,1.425,1.1571247365398,1.69646896821836,1.91649545162722,0,0,0
48,1.429,1.16090907421362,1.75727128791151,1.93861003058033,0,0,0
49,1.433,1.16469341188744,1.81522908092178,1.96100287281472,0,0,0
