"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.413,0.155045203544061,0.0646913208560538,0.181107241628609,34,6,0.984781431118969
2,0.316,0.0578295412178819,0.0657457907451871,0.0640781473727633,0,0,0
3,0.302,0.0436138788917023,0.0678724514517421,0.0460573302042543,0,0,0
4,0.313,0.0543982165655227,0.0711107139318901,0.0597445355563444,0,0,0
5,0.325,0.0661825542393432,0.0755178565427491,0.0745811698513352,0,0,0
6,0.33,0.0709668919131636,0.0811675832470629,0.0805657574649361,0,0,0
7,0.338,0.0787512295869841,0.0881486920075534,0.0902514627108999,0,0,0
8,0.351,0.0915355672608045,0.0965638165497556,0.106011010888397,0,0,0
9,0.365,0.105319904934625,0.106528170886265,0.12278191586927,0,0,0
10,0.372,0.112104242608445,0.118168230143688,0.130946296308164,0,0,0
11,0.39,0.129888580282266,0.1316202790664,0.152048699525462,0,0,0
12,0.4,0.139672917956086,0.147028768163191,0.163464498629703,0,0,0
13,0.427,0.166457255629907,0.164544433976919,0.193964884565926,0,0,0
14,0.447,0.186241593303727,0.184322143297618,0.21575221982805,0,0,0
15,0.466,0.205025930977548,0.206518407717985,0.235829183247752,0,0,0
16,0.496,0.234810268651368,0.231288505446533,0.266412625411122,0,0,0
17,0.517,0.255594606325188,0.258783159364702,0.286834339535832,0,0,0
18,0.538,0.276378943999009,0.289144748576629,0.306501233246106,0,0,0
19,0.567,0.305163281672829,0.322503069631182,0.332515090367025,0,0,0
20,0.606,0.34394761934665,0.358970712291565,0.365427333050918,0,0,0
21,0.642,0.37973195702047,0.398638152035905,0.39381437418843,0,0,0
22,0.683,0.420516294694291,0.441568672751787,0.424218898181195,0,0,0
23,0.733,0.470300632368111,0.487793240347842,0.459295967184386,0,0,0
24,0.775,0.512084970041931,0.53730547209719,0.487875777671873,0,0,0
25,0.82,0.556869307715752,0.590056883049868,0.518736267664784,0,0,0
26,0.868,0.604653645389572,0.645952634944184,0.553390150730625,0,0,0
27,0.91,0.646437983063393,0.704848061801703,0.586577135716621,0,0,0
28,0.96,0.696222320737213,0.766546286045496,0.631673788534424,0,0,0
29,1,0.736006658411034,0.830797257201448,0.673734076605565,0,0,0
30,1.046,0.781790996084854,0.89729854031197,0.730856199304429,0,0,0
31,1.09,0.825575333758675,0.965698153237155,0.796406505425065,0,0,0
32,1.108,0.843359671432495,1.03559970611028,0.826626456980016,0,0,0
33,1.155,0.890144009106315,1.10657005836665,0.917663748334065,0,0,0
34,1.215,0.949928346780136,1.17814967131948,1.06253823723604,0,0,0
35,1.28,1.01471268445396,1.24986566691853,1.26356124731238,0,0,0
36,1.326,1.06049702212778,1.32124717481186,1.43855332826893,0,0,0
37,1.369,1.1032813598016,1.39184196760328,1.63055694979699,0,0,0
38,1.399,1.13306569747542,1.46123292733718,1.78224814912876,0,0,0
39,1.405,1.13885003514924,1.52905273918098,1.81354033921705,0,0,0
40,1.407,1.14063437282306,1.59499543626265,1.82331730350622,0,0,0
41,1.413,1.14641871049688,1.65882401112835,1.8554180127377,0,0,0
42,1.417,1.1502030481707,1.7203740313341,1.87675881512846,0,0,0
43,1.421,1.15398738584452,1.7795536894661,1.8983708694992,0,0,0
44,1.423,1.15577172351834,1.83634087904488,1.90865588718399,0,0,0
45,1.431,1.16355606119216,1.89077789158166,1.95424349711181,0,0,0
46,1.431,1.16334039886598,1.94296430631968,1.95296465149491,0,0,0
47,1.435,1.1671247365398,1.99304860675876,1.97553758694832,0,0,0
48,1.443,1.17490907421362,2.04121902489817,2.02286043565541,0,0,0
49,1.447,1.17869341188744,2.0876940788175,2.0463044953684,0,0,0
50,1.451,1.18247774956126,2.13271318950707,2.07003864635967,0,0,0
51,1.461,1.19226208723508,2.1765276653205,2.13276554023769,0,0,0
52,1.463,1.1940464249089,2.2193922747803,2.14441921302664,0,0,0
53,1.468,1.19883076258272,2.26155757833931,2.17599660387148,0,0,0
54,1.473,1.20361510025654,2.30326316676095,2.2080594969875,0,0,0
55,1.484,1.21439943793036,2.34473196659983,2.28214018139127,0,0,0
56,1.491,1.22118377560419,2.38616573878156,2.33004872040162,0,0,0
57,1.5,1.22996811327801,2.42774176315687,2.39360720256285,0,0,0
58,1.504,1.23375245095183,2.46961055981443,2.42152702988398,0,0,0
59,1.51,1.23953678862565,2.51189445768897,2.46483734059448,0,0,0
60,1.518,1.24732112629947,2.55468688298836,2.52434973005967,0,0,0
61,1.522,1.25110546397329,2.59805231420658,2.55379648290616,0,0,0
62,1.532,1.26088980164711,2.64202686791253,2.63151591004573,0,0,0
63,1.538,1.26667413932093,2.6866194477755,2.67855248342261,0,0,0
64,1.542,1.27045847699475,2.73181334478483,2.70976994247252,0,0,0
65,1.546,1.27424281466857,2.77756816840245,2.74134211813682,0,0,0
66,1.556,1.28402715234239,2.82382205386036,2.82463538947393,0,0,0
67,1.566,1.29381149001621,2.87049414697228,2.91036716701717,0,0,0
68,1.572,1.29959582769003,2.91748728330858,2.96221721210772,0,0,0
69,1.574,1.30138016536385,2.9646906168216,2.97838882524202,0,0,0
70,1.578,1.30516450303767,3.01198193375553,3.01296499474115,0,0,0
71,1.583,1.30994884071149,3.05922956954147,3.05722310757116,0,0,0
72,1.589,1.31573317838531,3.10629404221397,3.11155279252827,0,0,0
73,1.594,1.32051751605913,3.15302955774671,3.15717588094764,0,0,0
74,1.597,1.32330185373295,3.199285470232,3.18401552871207,0,0,0
75,1.602,1.32808619140677,3.24490772994687,3.23063379985605,0,0,0
76,1.608,1.33387052908059,3.28974037082662,3.28784683834448,0,0,0
77,1.613,1.33865486675441,3.33362710175402,3.33587964067844,0,0,0
78,1.618,1.34343920442823,3.37641301455652,3.38456239144388,0,0,0
79,1.623,1.34822354210206,3.41794634922858,3.4339011128373,0,0,0
80,1.625,1.35000787977588,3.45808022871457,3.45247135273943,0,0,0
81,1.627,1.3517922174497,3.49667431021911,3.4711339903787,0,0,0
82,1.631,1.35557655512352,3.53359639065243,3.51102212867683,0,0,0
83,1.637,1.36136089279734,3.56872409196241,3.57280363099455,0,0,0
84,1.641,1.36514523047116,3.60194673500036,3.61375969633546,0,0,0
85,1.643,1.36692956814498,3.63316738452132,3.63321891631583,0,0,0
86,1.649,1.3727139058188,3.66230494259407,3.6969580128541,0,0,0
87,1.651,1.37449824349262,3.68929615344908,3.71682412736599,0,0,0
88,1.653,1.37628258116644,3.71409739736119,3.73678701001964,0,0,0
89,1.657,1.38006691884026,3.73668616120781,3.77944728653904,0,0,0
90,1.661,1.38385125651408,3.75706209438918,3.82254736287062,0,0,0
91,1.663,1.3856355941879,3.77524754977742,3.833333333,0,0,0
92,1.665,1.38741993186172,3.79128746684605,3.833333333,0,0,0
93,1.669,1.39120426953554,3.80524847859032,3.833333333,0,0,0
94,1.671,1.39298860720936,3.81721724886091,3.833333333,0,0,0
95,1.673,1.39477294488318,3.82729817477329,3.833333333,0,0,0
96,1.675,1.396557282557,3.8356106418793,3.833333333,0,0,0
97,1.679,1.40034162023082,3.8422860127475,3.833333333,0,0,0
98,1.685,1.40612595790464,3.84746450362062,3.833333333,0,0,0
99,1.683,1.40391029557846,3.85129207705924,3.833333333,0,0,0
100,1.69,1.41069463325228,3.8539174536844,3.833333333,0,0,0
101,1.685,1.4054789709261,3.8554893234323,3.833333333,0,0,0
102,1.69,1.41026330859992,3.85615381622083,3.833333333,0,0,0
103,1.69,1.41004764627375,3.85605227364482,3.833333333,0,0,0
104,1.691,1.41083198394757,3.85531934726603,3.833333333,0,0,0
105,1.689,1.40861632162139,3.85408143521065,3.833333333,0,0,0
106,1.695,1.41440065929521,3.85245545706136,3.833333333,0,0,0
107,1.699,1.41818499696903,3.85054795733552,3.833333333,0,0,0
108,1.698,1.41696933464285,3.84845452005392,3.833333333,0,0,0
109,1.701,1.41975367231667,3.84625947088499,3.833333333,0,0,0
110,1.707,1.42553800999049,3.84403583894378,3.833333333,0,0,0
111,1.705,1.42332234766431,3.84184554736965,3.833333333,0,0,0
112,1.704,1.42210668533813,3.83973980013265,3.833333333,0,0,0
113,1.706,1.42389102301195,3.8377596319583,3.833333333,0,0,0
114,1.71,1.42767536068577,3.83593658864524,3.833333333,0,0,0
115,1.711,1.42845969835959,3.83429350622063,3.833333333,0,0,0
116,1.713,1.43024403603341,3.8328453591802,3.833333333,0,0,0
117,1.711,1.42802837370723,3.8316001503499,3.833333333,0,0,0
118,1.714,1.43081271138105,3.83055981755405,3.833333333,0,0,0
119,1.716,1.43259704905487,3.82972113515964,3.833333333,0,0,0
