"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.399,0.141045203544061,0.00361802254250077,0.165054187401813,27,6,0.968493239046825
2,0.276,0.0178295412178819,0.00494973628371207,0.012981663048064,0,0,0
3,0.28,0.0216138788917024,0.00762786858660081,0.0178624548704637,0,0,0
4,0.282,0.0233982165655227,0.0116824813415856,0.020160992882461,0,0,0
5,0.285,0.0261825542393432,0.0171556778002743,0.0237439484344237,0,0,0
6,0.286,0.0269668919131636,0.0240989191924295,0.0247524003535976,0,0,0
7,0.287,0.0277512295869841,0.0325701919551139,0.0257604675916417,0,0,0
8,0.3,0.0405355672608045,0.042631104425956,0.0421329195824618,0,0,0
9,0.304,0.0443199049346249,0.0543439691652036,0.0469563612598929,0,0,0
10,0.313,0.0531042426084454,0.06776891850917,0.0581075382571435,0,0,0
11,0.325,0.0648885802822658,0.0829610867521975,0.0729585900323249,0,0,0
12,0.336,0.0756729179560862,0.099967890685524,0.0864290718650582,0,0,0
13,0.353,0.0924572556299066,0.118826442449072,0.107139761409529,0,0,0
14,0.368,0.107241593303727,0.139561123368756,0.12510069067349,0,0,0
15,0.383,0.122025930977548,0.162181340209608,0.142773906851563,0,0,0
16,0.406,0.144810268651368,0.186679485108449,0.169401066425822,0,0,0
17,0.424,0.162594606325188,0.213029126940904,0.189636301888539,0,0,0
18,0.447,0.185378943999009,0.241183467556585,0.214815814349172,0,0,0
19,0.475,0.213163281672829,0.271074100035799,0.244338306037911,0,0,0
20,0.5,0.23794761934665,0.302610110783986,0.269543811636547,0,0,0
21,0.529,0.26673195702047,0.335677571097723,0.297466239442162,0,0,0
22,0.565,0.30251629469429,0.370139469083492,0.330180953368327,0,0,0
23,0.614,0.351300632368111,0.405836138539056,0.371406964418841,0,0,0
24,0.666,0.403084970041931,0.442586230608641,0.411448514858045,0,0,0
25,0.717,0.453869307715752,0.480188239839355,0.447901644764101,0,0,0
26,0.766,0.502653645389572,0.518422564448383,0.481444176608233,0,0,0
27,0.817,0.553437983063393,0.557054080835824,0.516335573963979,0,0,0
28,0.865,0.601222320737213,0.595835241683527,0.550805176095926,0,0,0
29,0.914,0.650006658411034,0.63450973748094,0.589583287937979,0,0,0
30,0.959,0.694790996084854,0.67281677148813,0.63027104591542,0,0,0
31,1.004,0.739575333758674,0.710495982811245,0.677824104477339,0,0,0
32,1.052,0.787359671432495,0.747293010663413,0.738551022598996,0,0,0
33,1.1,0.835144009106315,0.782965616779975,0.812387642975974,0,0,0
34,1.143,0.877928346780136,0.817290160939124,0.892166330152812,0,0,0
35,1.181,0.915712684453956,0.850068064420851,0.975357205437467,0,0,0
36,1.195,0.929497022127777,0.881131745561091,1.00904309087213,0,0,0
37,1.203,0.937281359801597,0.910349457660881,1.0289103782463,0,0,0
38,1.207,0.941065697475417,0.937628575653374,1.0387952941209,0,0,0
39,1.209,0.942850035149238,0.962917128512479,1.04350826395827,0,0,0
40,1.211,0.944634372823058,0.986203625559229,1.04825494241022,0,0,0
41,1.213,0.946418710496879,1.00751538064868,1.05303552918212,0,0,0
42,1.215,0.948203048170699,1.02691559985642,1.0578502244855,0,0,0
43,1.215,0.94798738584452,1.04449950517967,1.05726648198909,0,0,0
44,1.215,0.94777172351834,1.06038975418205,1.0566832403311,0,0,0
45,1.217,0.949556061192161,1.07473140565389,1.06152393294965,0,0,0
46,1.217,0.949340398865981,1.08768667308171,1.06093704021543,0,0,0
47,1.219,0.951124736539801,1.09942968850912,1.06580801872631,0,0,0
48,1.221,0.952909074213622,1.11014146948114,1.07071363623597,0,0,0
49,1.227,0.958693411887442,1.12000524638536,1.08685689753592,0,0,0
50,1.229,0.960477749561263,1.12920226130885,1.0919116965598,0,0,0
51,1.235,0.966262087235083,1.13790809370617,1.10854450595243,0,0,0
52,1.237,0.968046424908904,1.14628952096298,1.11375216050216,0,0,0
53,1.24,0.970830762582724,1.15450189734282,1.12195149522908,0,0,0
54,1.242,0.972615100256544,1.16268703285096,1.12725321231999,0,0,0
55,1.247,0.977399437930365,1.17097156596194,1.14165239258809,0,0,0
56,1.252,0.982183775604185,1.17946583135975,1.15632236450016,0,0,0
57,1.254,0.983968113278006,1.18826320925547,1.16186373652937,0,0,0
58,1.26,0.989752450951826,1.19743991875034,1.18009272436918,0,0,0
59,1.262,0.991536788625647,1.20705520784041,1.18579860068605,0,0,0
60,1.268,0.997321126299467,1.21715189673779,1.20456706582129,0,0,0
61,1.274,1.00310546397329,1.22775723236515,1.22375623623604,0,0,0
62,1.278,1.00688980164711,1.2388839999682,1.23654170838551,0,0,0
63,1.282,1.01067413932093,1.25053181915829,1.24951246965431,0,0,0
64,1.286,1.01445847699475,1.26268854806516,1.26267060119277,0,0,0
65,1.292,1.02024281466857,1.27533173767905,1.28314955677235,0,0,0
66,1.294,1.02202715234239,1.28843009673115,1.28955735088403,0,0,0
67,1.302,1.02981149001621,1.3019449312899,1.31801851897583,0,0,0
68,1.304,1.03159582769003,1.3158315202424,1.32465981721194,0,0,0
69,1.306,1.03338016536385,1.33004038762835,1.33134537004813,0,0,0
70,1.312,1.03916450303767,1.34451844799999,1.35332508182706,0,0,0
71,1.316,1.04294884071149,1.35921002977761,1.36796168545342,0,0,0
72,1.32,1.04673317838531,1.3740577918018,1.3828038245307,0,0,0
73,1.322,1.04851751605913,1.38900353310052,1.38987390617843,0,0,0
74,1.328,1.05430185373295,1.40398889112867,1.41311343419813,0,0,0
75,1.33,1.05608619140677,1.41895593792849,1.4203819459574,0,0,0
76,1.334,1.05987052908059,1.43384769134925,1.43595457811193,0,0,0
77,1.338,1.06365486675441,1.44860855641762,1.451742567404,0,0,0
78,1.34,1.06543920442823,1.46318471304079,1.45926204338886,0,0,0
79,1.346,1.07122354210206,1.47752446828617,1.48397352572818,0,0,0
80,1.349,1.07400787977588,1.49157858577886,1.49605307167669,0,0,0
81,1.351,1.0757922174497,1.50530059020368,1.50385784368798,0,0,0
82,1.353,1.07757655512352,1.51864703792614,1.51171258935111,0,0,0
83,1.357,1.08136089279734,1.53157776396044,1.52853790320542,0,0,0
84,1.361,1.08514523047116,1.54405614026935,1.54559134277972,0,0,0
85,1.366,1.08992956814498,1.55604937018162,1.56748117179144,0,0,0
86,1.369,1.0927139058188,1.56752879813991,1.58039174003629,0,0,0
87,1.37,1.09349824349262,1.5784701728034,1.58405152533346,0,0,0
88,1.371,1.09428258116644,1.58885380279047,1.58772142606728,0,0,0
89,1.375,1.09806691884026,1.59866458915231,1.60557107100047,0,0,0
90,1.377,1.09985125651408,1.60789196152751,1.61406980460323,0,0,0
91,1.377,1.0996355941879,1.61652974613035,1.61303979051754,0,0,0
92,1.381,1.10341993186172,1.62457597531159,1.63122716838149,0,0,0
93,1.383,1.10520426953554,1.63203264451874,1.63988628754542,0,0,0
94,1.383,1.10498860720936,1.63890541935451,1.63883684962825,0,0,0
95,1.385,1.10677294488318,1.64520328456241,1.64754338661055,0,0,0
96,1.385,1.106557282557,1.6509381334521,1.64648820611417,0,0,0
97,1.387,1.10834162023082,1.65612431921551,1.65524235081023,0,0,0
98,1.387,1.10812595790464,1.66077820127433,1.65418140476231,0,0,0
99,1.387,1.10791029557846,1.6649177180193,1.65312125272906,0,0,0
100,1.391,1.11169463325228,1.66856201583713,1.67183989100751,0,0,0
101,1.393,1.1134789709261,1.67173115365329,1.68075128264505,0,0,0
102,1.391,1.11126330859993,1.67444586595253,1.66969399774935,0,0,0
103,1.393,1.11304764627375,1.6767273360645,1.6785921083982,0,0,0
104,1.393,1.11283198394757,1.67859694781938,1.67751372744613,0,0,0
105,1.391,1.11061632162139,1.68007602389314,1.66648115942048,0,0,0
106,1.395,1.11440065929521,1.68118558083723,1.68537597002093,0,0,0
107,1.393,1.11218499696903,1.68194613154598,1.67428340402761,0,0,0
108,1.395,1.11396933464285,1.68237755045824,1.68320991210982,0,0,0
109,1.395,1.11375367231667,1.68249899461849,1.6821280921313,0,0,0
110,1.397,1.11553800999049,1.68232886133733,1.6911030834913,0,0,0
111,1.395,1.11332234766431,1.68188475573321,1.67996686793936,0,0,0
112,1.395,1.11310668533813,1.68118343900426,1.67888746285064,0,0,0
113,1.395,1.11289102301195,1.68024074764341,1.6778088618501,0,0,0
114,1.395,1.11267536068577,1.67907150303141,1.67673106450035,0,0,0
115,1.395,1.11245969835959,1.67768943884518,1.67565407036414,0,0,0
116,1.395,1.11224403603341,1.67610716046525,1.67457787900431,0,0,0
117,1.395,1.11202837370723,1.67433613753778,1.67350248998382,0,0,0
118,1.393,1.10981271138105,1.67238672755439,1.66250056608788,0,0,0
119,1.391,1.10759704905487,1.67026823937731,1.65158281000253,0,0,0
120,1.393,1.10938138672869,1.6679890733273,1.66036861537979,0,0,0
121,1.393,1.10916572440251,1.66555699284757,1.65930383506605,0,0,0
122,1.395,1.11095006207633,1.66297955661674,1.66813756468239,0,0,0
123,1.393,1.10873439975015,1.66026468344549,1.65717666234166,0,0,0
124,1.397,1.11251873742397,1.65742128466057,1.67594882519263,0,0,0
125,1.395,1.1103030750978,1.6544598916724,1.66492820962622,0,0,0
126,1.395,1.11008741277162,1.65139320663078,1.66386002201054,0,0,0
127,1.393,1.10787175044544,1.64823651395974,1.65293185631796,0,0,0
128,1.393,1.10765608811926,1.64500792651285,1.6518726396545,0,0,0
129,1.393,1.10744042579308,1.64172848079832,1.65081421605837,0,0,0
130,1.391,1.1052247634669,1.63842210832762,1.6399860543937,0,0,0
131,1.391,1.10500910114072,1.63511550181566,1.63893654160063,0,0,0
132,1.391,1.10479343881454,1.63183789161317,1.63788781654771,0,0,0
133,1.391,1.10457777648836,1.62862074721784,1.6368398788016,0,0,0
134,1.391,1.10436211416218,1.625497404735,1.63579272792912,0,0,0
135,1.389,1.102146451836,1.62250260298781,1.62508002116331,0,0,0
