"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.362,0.104045203544061,0.059127338209701,0.121241157353082,34,6,0.983819655661874
2,0.307,0.0488295412178819,0.0597255858810583,0.0526892102635684,0,0,0
3,0.294,0.0356138788917023,0.0609304692452381,0.0358435293699639,0,0,0
4,0.297,0.0383982165655227,0.062761582605183,0.0394038202389368,0,0,0
5,0.315,0.0561825542393432,0.0652475293507506,0.0619994183314303,0,0,0
6,0.316,0.0569668919131636,0.0684254663062089,0.0629896745506521,0,0,0
7,0.332,0.0727512295869841,0.0723408606275234,0.0827916623319846,0,0,0
8,0.326,0.0665355672608045,0.0770473877918761,0.0750235399157807,0,0,0
9,0.346,0.0863199049346249,0.0826068678588793,0.0996044728021658,0,0,0
10,0.355,0.0951042426084454,0.0890891595409099,0.110375654442592,0,0,0
11,0.362,0.101888580282266,0.0965719389832123,0.118629614094773,0,0,0
12,0.367,0.106672917956086,0.105140279460289,0.12441501220847,0,0,0
13,0.387,0.126457255629907,0.114885955742067,0.148011999700795,0,0,0
14,0.383,0.122241593303727,0.125906423994242,0.143029477574851,0,0,0
15,0.403,0.142025930977548,0.138303447941928,0.166188541562134,0,0,0
16,0.417,0.155810268651368,0.152181354511521,0.181975707151548,0,0,0
17,0.424,0.162594606325188,0.167644910190119,0.189636301888539,0,0,0
18,0.438,0.176378943999009,0.184796809660418,0.20497202259931,0,0,0
19,0.458,0.196163281672829,0.203734778605162,0.226431704908698,0,0,0
20,0.46,0.19794761934665,0.224548316790766,0.228334553410961,0,0,0
21,0.477,0.21473195702047,0.247315131790215,0.245965444078622,0,0,0
22,0.499,0.236516294694291,0.272097343860428,0.268117442236023,0,0,0
23,0.519,0.256300632368111,0.298937571130623,0.287514751092166,0,0,0
24,0.533,0.270084970041931,0.327855007497541,0.300624804351809,0,0,0
25,0.569,0.305869307715752,0.358841599104299,0.333135716779658,0,0,0
26,0.581,0.317653645389572,0.391858435552812,0.343374429569251,0,0,0
27,0.608,0.344437983063393,0.426832492495908,0.365828581601141,0,0,0
28,0.629,0.365222320737213,0.463653889774085,0.382516353007988,0,0,0
29,0.655,0.391006658411034,0.50217386998633,0.402408479888357,0,0,0
30,0.687,0.422790996084854,0.542203742036836,0.425863318921417,0,0,0
31,0.728,0.463575333758674,0.583515055094693,0.45464911489994,0,0,0
32,0.784,0.519359671432495,0.625841264449899,0.492841982958067,0,0,0
33,0.879,0.614144009106315,0.668881110778285,0.560638180021845,0,0,0
34,0.979,0.713928346780136,0.712303831376626,0.64963143937885,0,0,0
35,1.03,0.764712684453956,0.755756138880859,0.708316587456671,0,0,0
36,1.078,0.812497022127777,0.798870696450384,0.775567770176277,0,0,0
37,1.124,0.858281359801597,0.841275696247563,0.853766763484802,0,0,0
38,1.159,0.893065697475417,0.882605128138772,0.92395463073793,0,0,0
39,1.187,0.920850035149238,0.922509324353381,0.987692598996866,0,0,0
40,1.238,0.971634372823058,0.960665331151592,1.1243346445744,0,0,0
41,1.25,0.983418710496879,0.996786579423034,1.16015344603457,0,0,0
42,1.268,1.0012030481707,1.03063122512619,1.21739821341766,0,0,0
43,1.27,1.00298738584452,1.06200853064689,1.2233602648401,0,0,0
44,1.27,1.00277172351834,1.0907828564591,1.22263750801906,0,0,0
45,1.274,1.00655606119216,1.11687514268443,1.23540673905427,0,0,0
46,1.268,1.00034039886598,1.14026202961432,1.21453035909927,0,0,0
47,1.27,1.0021247365398,1.16097292879381,1.22047280263016,0,0,0
48,1.262,0.993909074213622,1.17908543336334,1.19344554571168,0,0,0
49,1.258,0.989693411887442,1.19471949754676,1.1799046017339,0,0,0
50,1.258,0.989477749561263,1.20803084507911,1.17921777714097,0,0,0
51,1.262,0.993262087235083,1.21920406374889,1.19135309054592,0,0,0
52,1.264,0.995046424908903,1.22844576653428,1.19713654668324,0,0,0
53,1.262,0.992830762582724,1.23597806272106,1.18996100950095,0,0,0
54,1.26,0.990615100256544,1.24203247307667,1.18284636770868,0,0,0
55,1.26,0.990399437930365,1.24684440148755,1.18215709821883,0,0,0
56,1.27,1.00018377560419,1.25064829536126,1.21401068279375,0,0,0
57,1.274,1.00396811327801,1.25367359183921,1.22665452008827,0,0,0
58,1.276,1.00575245095183,1.25614143015619,1.23267976198079,0,0,0
59,1.278,1.00753678862565,1.25826199842204,1.23874605819515,0,0,0
60,1.276,1.00532112629947,1.26023236405318,1.23121953708184,0,0,0
61,1.28,1.00910546397329,1.26223469486389,1.24411324075736,0,0,0
62,1.282,1.01088980164711,1.26443483639051,1.25025727252417,0,0,0
63,1.284,1.01267413932093,1.26698122385135,1.25644298633402,0,0,0
64,1.286,1.01445847699475,1.2700040843516,1.26267060119277,0,0,0
65,1.28,1.00824281466857,1.27361487279866,1.24115775185496,0,0,0
66,1.276,1.00402715234239,1.27790592571834,1.22685322513593,0,0,0
67,1.278,1.00581149001621,1.2829504123899,1.23287982193386,0,0,0
68,1.284,1.01159582769003,1.28880274671833,1.25269983776176,0,0,0
69,1.294,1.02138016536385,1.29549960231089,1.28722897048232,0,0,0
70,1.298,1.02516450303767,1.30306153650446,1.30092854047726,0,0,0
71,1.3,1.02694884071149,1.31149507843755,1.30745563736004,0,0,0
72,1.314,1.04073317838531,1.32079507283619,1.35936741295435,0,0,0
73,1.32,1.04651751605913,1.33094707407309,1.38195243812729,0,0,0
74,1.32,1.04630185373295,1.34192956787742,1.38110172589932,0,0,0
75,1.318,1.04408619140677,1.35371578703006,1.37240066234746,0,0,0
76,1.316,1.04187052908059,1.36627498775079,1.36377027806639,0,0,0
77,1.318,1.04365486675441,1.37957324314486,1.37071505224201,0,0,0
78,1.322,1.04743920442823,1.3935739497834,1.38559577794704,0,0,0
79,1.328,1.05322354210206,1.40823825444401,1.40874379759113,0,0,0
80,1.332,1.05700787977588,1.4235255234975,1.42415499513801,0,0,0
81,1.334,1.0587922174497,1.43939388009538,1.43149545956543,0,0,0
82,1.342,1.06657655512352,1.45580078766805,1.4640803660326,0,0,0
83,1.34,1.06436089279734,1.47270366273376,1.45471207445368,0,0,0
84,1.346,1.07014523047116,1.49006052286762,1.47932772902947,0,0,0
85,1.351,1.07492956814498,1.50783070373237,1.50007835219518,0,0,0
86,1.356,1.0797139058188,1.52597569366427,1.52118743136267,0,0,0
87,1.36,1.08349824349262,1.54446010943231,1.53814130807645,0,0,0
88,1.367,1.09028258116644,1.56325279546808,1.56911103145495,0,0,0
89,1.373,1.09606691884026,1.58232800395971,1.59610809871144,0,0,0
90,1.381,1.10385125651408,1.6016665875983,1.63331538990119,0,0,0
91,1.387,1.1096355941879,1.62125709183868,1.66162472577227,0,0,0
92,1.391,1.11341993186172,1.64109659121354,1.68045554805368,0,0,0
93,1.397,1.11920426953554,1.66119110772351,1.70971797748592,0,0,0
94,1.399,1.12098860720936,1.68155548517427,1.71886292462488,0,0,0
95,1.401,1.12277294488318,1.70221265185718,1.72806401501614,0,0,0
96,1.403,1.124557282557,1.72319227403046,1.73732149889677,0,0,0
97,1.403,1.12434162023082,1.74452888309551,1.73619959723976,0,0,0
98,1.409,1.13012595790464,1.76625962982398,1.7665782316099,0,0,0
99,1.413,1.13391029557846,1.78842184418856,1.78677916081662,0,0,0
100,1.415,1.13569463325228,1.81105054338167,1.79639432442424,0,0,0
101,1.423,1.1434789709261,1.8341759673207,1.83902573341487,0,0,0
102,1.423,1.14326330859993,1.85782117942055,1.83782953375092,0,0,0
103,1.429,1.14904764627375,1.88199975841993,1.87021457012565,0,0,0
104,1.429,1.14883198394757,1.90671361869261,1.86899584420156,0,0,0
105,1.433,1.15261632162139,1.93195103520561,1.8905093393977,0,0,0
106,1.441,1.16040065929521,1.95768499109012,1.93562287436425,0,0,0
107,1.441,1.16018499696903,1.98387196477134,1.9343572810728,0,0,0
108,1.447,1.16596933464285,2.01045122923284,1.9686159804341,0,0,0
109,1.449,1.16775367231667,2.03734471036246,1.97931637900462,0,0,0
110,1.451,1.16953800999049,2.06445747684553,1.99007964640488,0,0,0
111,1.459,1.17732234766431,2.09167897238087,2.03777734278678,0,0,0
112,1.469,1.18710668533813,2.11888509523061,2.09946799675025,0,0,0
113,1.473,1.19089102301195,2.14594113458058,2.12385621077867,0,0,0
114,1.478,1.19567536068577,2.17270542575197,2.15511626411106,0,0,0
115,1.491,1.20845969835959,2.19903350348418,2.24102632694563,0,0,0
116,1.498,1.21524403603341,2.22478251170741,2.28804902876978,0,0,0
