"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.417,0.159045203544061,0.0780515930759902,0.1856376094649,33,6,0.996579482530757
2,0.343,0.0848295412178819,0.0789704202723087,0.0977679357751558,0,0,0
3,0.34,0.0816138788917024,0.0808306503213047,0.0937966413591507,0,0,0
4,0.342,0.0833982165655228,0.0836812938562803,0.0960017327770902,0,0,0
5,0.344,0.0851825542393432,0.0875936718890189,0.0982031777795719,0,0,0
6,0.346,0.0869668919131636,0.0926593368524785,0.100400932275516,0,0,0
7,0.344,0.0847512295869841,0.0989877879621874,0.0976713631053505,0,0,0
8,0.364,0.104535567260804,0.106704039971623,0.121834120299457,0,0,0
9,0.366,0.106319904934625,0.115946077878417,0.123989154143572,0,0,0
10,0.379,0.119104242608445,0.126862203882164,0.139305123120172,0,0,0
11,0.388,0.127888580282266,0.139608254759687,0.149697914469738,0,0,0
12,0.4,0.139672917956086,0.154344666215438,0.163464498629703,0,0,0
13,0.417,0.156457255629907,0.171233376471829,0.182709414527929,0,0,0
14,0.436,0.175241593303727,0.190434570464792,0.203718451805704,0,0,0
15,0.453,0.192025930977548,0.212103262881746,0.221998660826925,0,0,0
16,0.476,0.214810268651368,0.236385713053399,0.246046562134255,0,0,0
17,0.498,0.236594606325188,0.263415670223169,0.268195575740126,0,0,0
18,0.523,0.261378943999009,0.293310464876915,0.292383160272965,0,0,0
19,0.553,0.291163281672829,0.326166982959904,0.320037395227634,0,0,0
20,0.581,0.31894761934665,0.362057581895949,0.344485005746617,0,0,0
21,0.618,0.35573195702047,0.401026030944695,0.374972759060227,0,0,0
22,0.666,0.403516294694291,0.44308358211027,0.411768318392351,0,0,0
23,0.718,0.455300632368111,0.488205293456723,0.448900055810715,0,0,0
24,0.769,0.506084970041931,0.536326727991844,0.483783853631899,0,0,0
25,0.816,0.552869307715752,0.587341152744417,0.515938520718203,0,0,0
26,0.861,0.597653645389572,0.641097388774113,0.548135544037516,0,0,0
27,0.915,0.651437983063393,0.697398514230873,0.590797700277781,0,0,0
28,0.96,0.696222320737213,0.75600167043138,0.631673788534424,0,0,0
29,1.008,0.744006658411034,0.816619237516877,0.682982386263401,0,0,0
30,1.05,0.785790996084854,0.878921629976479,0.736365639612336,0,0,0
31,1.096,0.831575333758675,0.942541924508325,0.80635283663203,0,0,0
32,1.145,0.880359671432495,1.00708246869535,0.89713923669867,0,0,0
33,1.195,0.930144009106315,1.07212350294425,1.01067074248307,0,0,0
34,1.221,0.955928346780136,1.13723365122784,1.07909387925043,0,0,0
35,1.254,0.988712684453956,1.20198196273265,1.17678586120374,0,0,0
36,1.322,1.05649702212778,1.26595107157829,1.42206217035163,0,0,0
37,1.365,1.0992813598016,1.32875084109506,1.61134963534881,0,0,0
38,1.374,1.10806569747542,1.39003142675039,1.65388509685958,0,0,0
39,1.375,1.10885003514924,1.44949435143927,1.65774663160674,0,0,0
40,1.381,1.11463437282306,1.50690045085355,1.68655099755106,0,0,0
41,1.385,1.11841871049688,1.56207430834984,1.70570962715889,0,0,0
42,1.391,1.1242030481707,1.61490544573715,1.73547916497339,0,0,0
43,1.393,1.12598738584452,1.66534677180953,1.74478202785767,0,0,0
44,1.397,1.12977172351834,1.71341079301775,1.76470057510757,0,0,0
45,1.401,1.13355606119216,1.75916407109638,1.78487722146513,0,0,0
46,1.405,1.13734039886598,1.80272040579692,1.80531438061185,0,0,0
47,1.409,1.1411247365398,1.84423319364517,1.82601447647003,0,0,0
