"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.405,0.147045203544061,0.0643263158317369,0.171971119703381,34,6,0.994594388355969
2,0.335,0.0768295412178819,0.0650523900347554,0.0878664871615957,0,0,0
3,0.313,0.0546138788917023,0.0665293183144006,0.0600172228106678,0,0,0
4,0.32,0.0613982165655227,0.0688105511122035,0.0685736140346714,0,0,0
5,0.327,0.0681825542393432,0.0719741597793586,0.0770857594354495,0,0,0
6,0.327,0.0679668919131636,0.0761209732025736,0.0768158818059013,0,0,0
7,0.336,0.0767512295869841,0.0813726599292081,0.0877692099153651,0,0,0
8,0.349,0.0895355672608045,0.0878697753817089,0.10355818121062,0,0,0
9,0.357,0.0973199049346249,0.0957697401528218,0.113077623240788,0,0,0
10,0.363,0.103104242608445,0.105244694062421,0.120102446410537,0,0,0
11,0.378,0.117888580282266,0.11647916268911,0.137858314596576,0,0,0
12,0.39,0.129672917956086,0.129667487736702,0.151795490657983,0,0,0
13,0.406,0.145457255629907,0.145010987476787,0.170145854702094,0,0,0
14,0.418,0.157241593303727,0.162714814543803,0.183597994431701,0,0,0
15,0.434,0.173025930977548,0.182984483348073,0.201270251576003,0,0,0
16,0.456,0.194810268651368,0.206022060128523,0.224985202638825,0,0,0
17,0.478,0.216594606325188,0.232022031544188,0.247891951927956,0,0,0
18,0.504,0.242378943999009,0.261166877571441,0.273936993678496,0,0,0
19,0.532,0.270163281672829,0.293622376892033,0.300698341556956,0,0,0
20,0.56,0.29794761934665,0.3295326834313,0.326124910451831,0,0,0
21,0.599,0.33673195702047,0.369015236155988,0.359481410436081,0,0,0
22,0.639,0.376516294694291,0.412155593278323,0.391334197305243,0,0,0
23,0.691,0.428300632368111,0.459002306058256,0.429826841907483,0,0,0
24,0.74,0.477084970041931,0.509561963591173,0.463964013969506,0,0,0
25,0.796,0.532869307715752,0.563794557382633,0.50209636551391,0,0,0
26,0.854,0.590653645389572,0.621609342397419,0.542951656935362,0,0,0
27,0.909,0.645437983063393,0.682861405917644,0.585740227322597,0,0,0
28,0.955,0.691222320737213,0.747349186202825,0.626803953664753,0,0,0
29,0.997,0.733006658411034,0.814813209240349,0.670339139327984,0,0,0
30,1.034,0.769790996084854,0.884936342343346,0.714856717673017,0,0,0
31,1.072,0.807575333758675,0.957345896118435,0.768014156645699,0,0,0
32,1.116,0.851359671432495,1.03161792141161,0.840967567872709,0,0,0
33,1.153,0.888144009106315,1.10728401727749,0.913400805678426,0,0,0
34,1.197,0.931928346780136,1.18384087574027,1.01518170877653,0,0,0
35,1.242,0.976712684453956,1.26076264471118,1.13956895445845,0,0,0
36,1.318,1.05249702212778,1.33751596004698,1.4058094088503,0,0,0
37,1.369,1.1032813598016,1.41357707015536,1.63055694979699,0,0,0
38,1.407,1.14106569747542,1.48844982657654,1.82568950501804,0,0,0
39,1.415,1.14885003514924,1.56168274122324,1.86909781938203,0,0,0
40,1.417,1.15063437282306,1.63288328290983,1.87920833376096,0,0,0
41,1.423,1.15641871049688,1.70172823206417,1.9124002378393,0,0,0
42,1.429,1.1622030481707,1.7679698259686,1.94623535577374,0,0,0
43,1.433,1.16598738584452,1.83143806740767,1.96872391679956,0,0,0
44,1.435,1.16777172351834,1.89203978366767,1.97942495006313,0,0,0
45,1.441,1.17355606119216,1.94975503376561,2.01454840361057,0,0,0
46,1.447,1.17934039886598,2.00463145414817,2.05034156156965,0,0,0
47,1.451,1.1831247365398,2.05677709524558,2.07412556240864,0,0,0
48,1.459,1.19090907421362,2.10635220864516,2.12397325485758,0,0,0
49,1.463,1.19469341188744,2.153560343052,2.14866123252006,0,0,0
50,1.463,1.19447774956126,2.19863903810627,2.14724624936182,0,0,0
