Time,S288C,S288C,S288C,S288C,S288C,S288C,S288C,S288C,S288C,S288C,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,Voss Kveik,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,revkaufii,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
0:00:05,0.358,0.328,0.317,0.285,0.288,0.294,0.284,0.305,0.307,0.3,0.319,0.3,0.291,0.296,0.277,0.282,0.267,0.294,0.304,0.301,0.348,0.309,0.258,0.256,0.25,0.239,0.248,0.222,0.257,0.252,0.295,0.261,0.25,0.219,0.227,0.24,0.24,0.24,0.254,0.258
0:15:05,0.338,0.329,0.324,0.323,0.326,0.325,0.332,0.34,0.345,0.342,0.266,0.265,0.289,0.275,0.265,0.265,0.268,0.268,0.27,0.286,0.288,0.255,0.243,0.246,0.241,0.234,0.238,0.219,0.222,0.217,0.232,0.218,0.219,0.215,0.218,0.224,0.226,0.234,0.232,0.237
0:30:06,0.316,0.301,0.3,0.285,0.285,0.291,0.3,0.312,0.327,0.329,0.26,0.257,0.287,0.271,0.261,0.263,0.266,0.266,0.267,0.286,0.265,0.236,0.227,0.235,0.233,0.225,0.233,0.215,0.219,0.216,0.228,0.216,0.218,0.216,0.22,0.227,0.23,0.239,0.238,0.244
0:45:06,0.293,0.279,0.275,0.265,0.267,0.264,0.273,0.281,0.291,0.295,0.267,0.264,0.294,0.277,0.267,0.271,0.273,0.272,0.274,0.291,0.291,0.262,0.25,0.255,0.251,0.241,0.247,0.226,0.226,0.221,0.235,0.226,0.228,0.226,0.23,0.238,0.239,0.246,0.244,0.25
1:00:06,0.284,0.272,0.266,0.263,0.258,0.261,0.264,0.272,0.279,0.278,0.274,0.271,0.3,0.283,0.275,0.278,0.282,0.279,0.28,0.298,0.284,0.257,0.248,0.253,0.25,0.242,0.248,0.228,0.229,0.224,0.238,0.232,0.236,0.235,0.239,0.247,0.248,0.256,0.253,0.258
1:15:05,0.282,0.27,0.264,0.266,0.258,0.259,0.262,0.266,0.271,0.271,0.278,0.275,0.305,0.287,0.279,0.283,0.287,0.285,0.286,0.308,0.287,0.261,0.253,0.257,0.254,0.246,0.253,0.232,0.232,0.227,0.23,0.224,0.228,0.229,0.233,0.242,0.244,0.251,0.249,0.254
1:30:05,0.266,0.253,0.251,0.245,0.246,0.246,0.248,0.249,0.25,0.254,0.28,0.276,0.306,0.284,0.281,0.283,0.285,0.283,0.283,0.301,0.254,0.234,0.23,0.233,0.232,0.227,0.235,0.217,0.219,0.215,0.219,0.215,0.219,0.219,0.223,0.23,0.231,0.238,0.235,0.24
1:45:05,0.28,0.264,0.262,0.255,0.257,0.257,0.26,0.262,0.263,0.267,0.295,0.29,0.325,0.302,0.298,0.299,0.303,0.299,0.301,0.323,0.278,0.258,0.253,0.256,0.255,0.249,0.257,0.236,0.238,0.233,0.235,0.231,0.236,0.238,0.242,0.251,0.253,0.261,0.259,0.265
2:00:05,0.262,0.25,0.247,0.24,0.239,0.242,0.244,0.253,0.251,0.254,0.3,0.291,0.326,0.303,0.3,0.3,0.303,0.301,0.299,0.316,0.255,0.237,0.233,0.235,0.233,0.229,0.238,0.218,0.221,0.217,0.219,0.214,0.217,0.218,0.221,0.228,0.229,0.236,0.234,0.238
2:15:06,0.292,0.273,0.265,0.262,0.258,0.26,0.267,0.278,0.271,0.273,0.322,0.309,0.348,0.323,0.315,0.322,0.33,0.328,0.326,0.343,0.284,0.263,0.258,0.261,0.259,0.252,0.261,0.239,0.24,0.235,0.236,0.231,0.236,0.237,0.242,0.252,0.253,0.261,0.259,0.266
2:30:06,0.295,0.275,0.27,0.262,0.261,0.262,0.265,0.277,0.276,0.281,0.332,0.322,0.35,0.33,0.326,0.329,0.33,0.345,0.335,0.35,0.285,0.266,0.261,0.264,0.261,0.255,0.263,0.24,0.241,0.235,0.235,0.229,0.234,0.236,0.24,0.25,0.251,0.259,0.258,0.265
2:45:05,0.316,0.296,0.288,0.276,0.275,0.274,0.279,0.293,0.288,0.298,0.357,0.346,0.372,0.351,0.349,0.35,0.347,0.36,0.355,0.368,0.283,0.266,0.262,0.264,0.262,0.256,0.264,0.241,0.243,0.237,0.239,0.231,0.236,0.237,0.243,0.252,0.253,0.261,0.259,0.266
3:00:05,0.335,0.312,0.303,0.286,0.285,0.286,0.289,0.308,0.303,0.315,0.369,0.357,0.382,0.369,0.362,0.358,0.365,0.365,0.375,0.383,0.276,0.259,0.256,0.258,0.257,0.252,0.261,0.239,0.241,0.236,0.234,0.225,0.229,0.231,0.236,0.245,0.246,0.254,0.252,0.26
3:15:05,0.33,0.313,0.304,0.277,0.286,0.284,0.283,0.303,0.303,0.309,0.38,0.363,0.393,0.373,0.367,0.361,0.371,0.373,0.383,0.376,0.252,0.236,0.235,0.235,0.234,0.231,0.24,0.222,0.224,0.221,0.228,0.218,0.221,0.221,0.224,0.231,0.231,0.238,0.234,0.24
3:30:05,0.364,0.342,0.33,0.295,0.305,0.302,0.306,0.33,0.325,0.325,0.399,0.373,0.403,0.376,0.385,0.381,0.382,0.392,0.405,0.408,0.252,0.237,0.236,0.236,0.235,0.233,0.242,0.224,0.226,0.223,0.224,0.215,0.217,0.218,0.221,0.228,0.229,0.237,0.234,0.241
3:45:05,0.405,0.38,0.368,0.325,0.336,0.344,0.344,0.37,0.38,0.375,0.421,0.408,0.435,0.413,0.411,0.416,0.419,0.423,0.441,0.442,0.279,0.261,0.258,0.26,0.26,0.255,0.264,0.243,0.244,0.242,0.243,0.232,0.236,0.238,0.242,0.252,0.254,0.262,0.261,0.269
4:00:06,0.431,0.408,0.394,0.336,0.357,0.357,0.359,0.386,0.4,0.396,0.436,0.441,0.466,0.437,0.421,0.438,0.448,0.441,0.47,0.478,0.29,0.271,0.266,0.269,0.268,0.26,0.27,0.247,0.248,0.243,0.242,0.229,0.233,0.235,0.239,0.249,0.251,0.259,0.258,0.267
4:15:05,0.457,0.431,0.415,0.348,0.371,0.377,0.381,0.415,0.419,0.416,0.457,0.463,0.487,0.467,0.453,0.46,0.464,0.464,0.496,0.498,0.289,0.272,0.267,0.269,0.268,0.262,0.27,0.247,0.248,0.244,0.242,0.228,0.232,0.234,0.239,0.247,0.25,0.257,0.256,0.265
4:30:05,0.482,0.473,0.455,0.367,0.404,0.406,0.403,0.438,0.452,0.439,0.499,0.502,0.512,0.495,0.482,0.489,0.5,0.508,0.524,0.53,0.28,0.264,0.261,0.262,0.262,0.258,0.266,0.244,0.246,0.243,0.245,0.229,0.233,0.235,0.239,0.248,0.249,0.258,0.256,0.264
4:45:05,0.494,0.481,0.46,0.372,0.386,0.428,0.428,0.453,0.471,0.459,0.526,0.511,0.528,0.505,0.498,0.507,0.518,0.526,0.545,0.523,0.258,0.241,0.239,0.24,0.241,0.238,0.245,0.225,0.228,0.225,0.236,0.22,0.222,0.22,0.22,0.223,0.22,0.223,0.217,0.219
5:00:05,0.566,0.543,0.517,0.42,0.406,0.465,0.468,0.497,0.545,0.525,0.562,0.551,0.567,0.559,0.534,0.554,0.559,0.558,0.589,0.575,0.284,0.265,0.262,0.264,0.265,0.261,0.268,0.246,0.248,0.245,0.241,0.226,0.229,0.231,0.235,0.243,0.244,0.251,0.248,0.256
5:15:05,0.599,0.594,0.558,0.444,0.431,0.498,0.494,0.552,0.564,0.551,0.597,0.56,0.602,0.579,0.564,0.581,0.583,0.582,0.618,0.63,0.289,0.271,0.267,0.27,0.27,0.265,0.272,0.25,0.251,0.247,0.246,0.228,0.231,0.233,0.236,0.244,0.245,0.251,0.248,0.254
5:30:05,0.573,0.597,0.586,0.453,0.419,0.514,0.514,0.561,0.577,0.556,0.63,0.599,0.651,0.619,0.6,0.609,0.62,0.606,0.643,0.629,0.254,0.238,0.235,0.237,0.236,0.236,0.242,0.225,0.227,0.224,0.237,0.218,0.217,0.215,0.216,0.219,0.217,0.221,0.214,0.217
5:45:05,0.633,0.633,0.613,0.471,0.452,0.542,0.54,0.602,0.604,0.595,0.664,0.636,0.663,0.643,0.626,0.642,0.654,0.682,0.666,0.663,0.258,0.24,0.238,0.24,0.239,0.238,0.243,0.225,0.229,0.225,0.239,0.218,0.217,0.215,0.216,0.219,0.217,0.22,0.214,0.217
6:00:05,0.632,0.675,0.625,0.499,0.458,0.564,0.563,0.624,0.651,0.618,0.69,0.657,0.711,0.683,0.674,0.696,0.695,0.682,0.707,0.713,0.254,0.235,0.233,0.235,0.236,0.234,0.241,0.223,0.227,0.225,0.235,0.215,0.214,0.213,0.214,0.217,0.216,0.219,0.213,0.217
6:15:05,0.655,0.707,0.647,0.533,0.489,0.59,0.601,0.644,0.671,0.639,0.725,0.71,0.744,0.728,0.713,0.717,0.753,0.721,0.749,0.744,0.258,0.238,0.236,0.237,0.237,0.237,0.243,0.224,0.228,0.225,0.238,0.217,0.217,0.215,0.215,0.218,0.217,0.221,0.214,0.217
6:30:05,0.674,0.723,0.679,0.55,0.51,0.621,0.618,0.641,0.681,0.644,0.761,0.731,0.781,0.763,0.728,0.752,0.759,0.757,0.791,0.778,0.256,0.235,0.233,0.235,0.235,0.234,0.241,0.223,0.226,0.224,0.234,0.215,0.214,0.212,0.214,0.217,0.216,0.22,0.214,0.217
6:45:05,0.718,0.772,0.73,0.595,0.541,0.663,0.643,0.654,0.711,0.663,0.823,0.776,0.841,0.821,0.79,0.801,0.814,0.815,0.84,0.832,0.287,0.264,0.261,0.264,0.264,0.261,0.267,0.246,0.248,0.246,0.248,0.228,0.23,0.229,0.231,0.237,0.234,0.238,0.233,0.238
7:00:06,0.697,0.759,0.729,0.575,0.557,0.608,0.648,0.666,0.687,0.685,0.864,0.816,0.865,0.858,0.846,0.831,0.846,0.853,0.886,0.864,0.262,0.239,0.238,0.24,0.238,0.239,0.244,0.226,0.229,0.227,0.241,0.219,0.219,0.216,0.217,0.22,0.219,0.223,0.216,0.22
7:15:06,0.726,0.74,0.719,0.597,0.6,0.624,0.658,0.694,0.705,0.726,0.887,0.849,0.901,0.907,0.887,0.873,0.916,0.88,0.937,0.906,0.268,0.244,0.241,0.243,0.241,0.242,0.248,0.228,0.231,0.23,0.235,0.214,0.214,0.212,0.213,0.216,0.215,0.219,0.214,0.218
7:30:05,0.745,0.77,0.74,0.627,0.632,0.678,0.689,0.722,0.739,0.76,0.953,0.905,0.985,0.957,0.916,0.923,0.965,0.936,0.983,0.996,0.305,0.276,0.273,0.275,0.272,0.268,0.275,0.251,0.252,0.248,0.249,0.229,0.232,0.232,0.234,0.24,0.237,0.242,0.235,0.24
7:45:05,0.751,0.755,0.733,0.655,0.667,0.686,0.701,0.738,0.747,0.805,0.996,0.937,1.022,0.992,0.968,0.965,1.004,0.984,1.01,1.032,0.268,0.241,0.24,0.241,0.24,0.24,0.247,0.228,0.231,0.228,0.235,0.215,0.214,0.212,0.213,0.215,0.214,0.218,0.212,0.215
8:00:05,0.788,0.768,0.743,0.694,0.724,0.771,0.725,0.77,0.768,0.791,1.036,0.991,1.068,1.046,1.014,1.03,1.054,1.044,1.08,1.08,0.31,0.278,0.274,0.277,0.276,0.272,0.277,0.255,0.257,0.253,0.255,0.233,0.235,0.236,0.24,0.249,0.248,0.254,0.248,0.253
8:15:05,0.749,0.754,0.732,0.704,0.787,0.834,0.736,0.759,0.771,0.823,1.088,1.034,1.11,1.084,1.064,1.078,1.096,1.11,1.12,1.116,0.275,0.245,0.243,0.244,0.243,0.242,0.25,0.229,0.232,0.23,0.234,0.213,0.213,0.211,0.212,0.214,0.214,0.218,0.212,0.216
