"","S288C","S288C.1","S288C.2","S288C.3","S288C.4","S288C.5","S288C.6","S288C.7","S288C.8","S288C.9","Voss.Kveik","Voss.Kveik.1","Voss.Kveik.2","Voss.Kveik.3","Voss.Kveik.4","Voss.Kveik.5","Voss.Kveik.6","Voss.Kveik.7","Voss.Kveik.8","Voss.Kveik.9","revkaufii","revkaufii.1","revkaufii.2","revkaufii.3","revkaufii.4","revkaufii.5","revkaufii.6","revkaufii.7","revkaufii.8","revkaufii.9"
"Doubling Times",103.907328297449,51.0817081565011,48.5524666090519,98.8599786409738,115.768768174418,97.2546416294439,91.6335494601004,92.939529298553,89.8630214066429,93.2908134118551,99.7754814638709,101.489202822256,111.460467172855,100.169579183898,100.088866437844,100.152420716765,100.33124814757,102.551727408265,94.8239009902307,108.109267444609,139.329224652069,85.4010886279772,80.521286842566,93.5513073850629,86.8416082231275,93.0023127233398,105.030652073997,87.2867528330479,95.3838416012052,80.4600274001336
"Rsquared Value",0.910270547439523,0.951218239742718,0.954447049065682,0.929674249389711,0.970068496789564,0.901615677811469,0.911078321116635,0.911418205090357,0.894472137993013,0.928411147852975,0.982686284976871,0.973072281346272,0.993601952740819,0.989316652057008,0.989770131321511,0.985863554522075,0.988056397079694,0.98285008511907,0.974625709952266,0.985002837359803,0.929383019927936,0.891377544703901,0.94313067577125,0.928581767451232,0.916874631312933,0.931346734081673,0.962457117825173,0.890918067203862,0.902721396805784,0.930642339518652
"Lower Limit",10,8,9,14,15,13,12,11,10,11,8,9,8,8,8,8,8,8,7,8,67,69,70,70,69,69,69,68,68,68
"Upper Limit",32,21,22,34,34,34,33,32,33,32,31,32,31,31,31,31,31,31,30,30,84,85,86,86,86,86,86,85,84,84
"Limit of exponential growth",135,207,205,167,150,114,133,154,162,121,47,47,46,47,47,47,47,47,47,46,201,240,240,240,240,240,240,240,240,240
"Highest O.D",1.72359103275809,1.57145025069156,1.57152064172483,1.69052064172483,1.68745025069156,1.70552064172483,1.78359103275809,1.79959103275809,1.77245025069156,1.81159103275809,1.51532175752111,1.5173508085897,1.53791393685582,1.51467147604921,1.51289941132152,1.55427818091822,1.51708153335272,1.51212510995561,1.51763237272276,1.47361561055024,1.3177150526521,1.19840443745045,1.23323684095355,1.27685807135685,1.26892846239012,1.26692846239012,1.26027818091822,1.25861784718846,1.23964466161884,1.2347005271178
"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exponential growth outside expected range",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLANKAVERAGE",0.240138020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACTERIAL CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
