"","average","sd","se"
"H4R17A",621.880509168554,62.1116800551991,25.3569872003734
"H4S64A",734.101805325673,137.172501723576,56.0004393273012
"H3R63A",864.796687538257,814.987471071603,332.717241814449
"H3P16A",533.146036354207,95.2556130197962,38.8879411724191
"H3K42A",1693.04968786212,647.138551149769,264.193207200154
"H3S87A",547.060880974139,98.9413626314094,40.392642150438
"H4R78K",687.776375732509,99.8968564083203,40.7827208514108
"H4K44R",354.091816882914,46.7893750892664,19.1016823920655
"H3E94A",379.51105111133,30.3310621327987,12.3826042636683
"H3R69A",478.559637194067,129.44281533179,52.8448080720329
"WT",457.237686271212,71.8039545872777,29.313841708801
"H3T32D",503.228144769819,59.91570087257,24.4604824531709
"H3K27R",566.449039661477,313.627349797105,128.03782939738
"X2000",350.108612509538,44.6866691881954,18.243256302605
"X200",420.472648133897,49.9743493943447,20.401942707285
"X1000",443.200264704518,127.017814190292,51.8548055016434
"H3R40A",435.51202853487,48.4776354378042,19.790911793214
"H3K79A",413.342367854687,92.5116124053758,37.7677076125502
"H3K4A",495.333610353404,74.9538784890951,30.5997927568092
"H3K36A",477.981812176803,86.4156957352463,35.2790600531596
