"","average","sd","se"
"H4R17A",385.051818612657,102.213439946941,41.7284621207693
"H4S64A",222.50591730422,24.1157381424259,9.84520886991955
"H3R63A",264.618248281579,69.5396313098044,28.389435601715
"H3P16A",273.286548779627,40.0653647213702,16.3566166543105
"H3K42A",594.89382442813,79.1336146822262,32.3061629122449
"H3S87A",254.794187759583,50.5962792958046,20.6558445263444
"H4R78K",328.45038768291,25.7275511748161,10.5032287849402
"H4K44R",290.462465317379,12.1682547366715,4.96766919417494
"H3E94A",242.681884896116,25.6482716179578,10.4708630413841
"H3R69A",288.252678045996,32.1127380160613,13.1099703971709
"WT",288.158694287418,15.144990758079,6.18291658607674
"H3T32D",314.959356021368,33.8436713881746,13.816620987243
"H3K27R",296.280952184156,26.5225919765176,10.8278028330839
"X2000",266.705254129455,22.3283052656822,9.11549245367003
"X200",259.772844752688,21.0218439418203,8.58213185164624
"X1000",265.642412408441,38.0205623748366,15.5218295920017
"H3R40A",329.677354687747,29.1307703269805,11.8925871858852
"H3K79A",273.294442063654,33.7807830004993,13.7909469104845
"H3K4A",379.710646987063,27.489082000745,11.2223707332251
"H3K36A",377.857601206755,61.7400025235526,25.2052504834749
