"","average","sd","se"
"H4R17A",163.808212717206,11.2580537965214,4.59608121638008
"H4S64A",172.892899391454,23.031014724344,9.40237238886148
"H3R63A",187.885495512174,27.3555473900874,11.1678554567064
"H3P16A",208.747137152048,26.7637710734248,10.9262637870919
"H3K42A",231.03041790486,38.7055092499018,15.8014579828057
"H3S87A",198.305912147516,15.5949623257237,6.36661670932507
"H4R78K",249.129130739189,26.4518863577863,10.7989373851106
"H4K44R",198.481956274622,6.71160268207932,2.74000032123156
"H3E94A",215.943189560847,10.8937242928913,4.44734431935752
"H3R69A",218.589788931144,22.8348151235341,9.32227423724118
"WT",190.902868453908,7.1706863613676,2.92742044848086
"H3T32D",210.706286620547,9.56672450758915,3.90559892556201
"H3K27R",201.408800294258,19.6821894205019,8.03522018350581
"X2000",217.66933654914,19.2991749283484,7.87885517186127
"X200",199.807581913071,19.7331249662361,8.05601453297565
"X1000",197.208376173734,22.8160129781608,9.31459829353547
"H3R40A",217.242828467982,31.7989877043348,12.9818823687761
"H3K79A",206.103989188027,35.8311849149596,14.6280199868268
"H3K4A",237.711642072836,47.4425853014663,19.3683543445096
"H3K36A",242.836052704119,58.1807151891323,23.7521775139282
