"","H4R17A","H4R17A.1","H4R17A.2","H4R17A.3","H4S64A","H4S64A.1","H4S64A.2","H4S64A.3","H3R63A","H3R63A.1","H3R63A.2","H3R63A.3","H3P16A","H3P16A.1","H3P16A.2","H3P16A.3","H3K42A","H3K42A.1","H3K42A.2","H3K42A.3","H3S87A","H3S87A.1","H3S87A.2","H3S87A.3","H4R78K","H4R78K.1","H4R78K.2","H4R78K.3","H4K44R","H4K44R.1","H4K44R.2","H4K44R.3","H3E94A","H3E94A.1","H3E94A.2","H3E94A.3","H3R69A","H3R69A.1","H3R69A.2","H3R69A.3","WT","WT.1","WT.2","WT.3","H3T32D","H3T32D.1","H3T32D.2","H3T32D.3","H3K27R","H3K27R.1","H3K27R.2","H3K27R.3","X2000","X2000.1","X2000.2","X2000.3","X200","X200.1","X200.2","X200.3","X1000","X1000.1","X1000.2","X1000.3","H3R40A","H3R40A.1","H3R40A.2","H3R40A.3","H3K79A","H3K79A.1","H3K79A.2","H3K79A.3","H3K4A","H3K4A.1","H3K4A.2","H3K36A","H3K36A.1","H3K36A.2","H4R17A.4","H4R17A.5","H4R17A.6","H4R17A.7","H4S64A.4","H4S64A.5","H4S64A.6","H4S64A.7","H3R63A.4","H3R63A.5","H3R63A.6","H3R63A.7","H3P16A.4","H3P16A.5","H3P16A.6","H3P16A.7","H3K42A.4","H3K42A.5","H3K42A.6","H3K42A.7","H3S87A.4","H3S87A.5","H3S87A.6","H3S87A.7","H4R78K.4","H4R78K.5","H4R78K.6","H4R78K.7","H4K44R.4","H4K44R.5","H4K44R.6","H4K44R.7","H3E94A.4","H3E94A.5","H3E94A.6","H3E94A.7","H3R69A.4","H3R69A.5","H3R69A.6","H3R69A.7","WT.4","WT.5","WT.6","WT.7","H3T32D.4","H3T32D.5","H3T32D.6","H3T32D.7","H3K27R.4","H3K27R.5","H3K27R.6","H3K27R.7","X2000.4","X2000.5","X2000.6","X2000.7","X200.4","X200.5","X200.6","X200.7","X1000.4","X1000.5","X1000.6","X1000.7","H3R40A.4","H3R40A.5","H3R40A.6","H3R40A.7","H3K79A.4","H3K79A.5","H3K79A.6","H3K79A.7","H3K4A.3","H3K4A.4","H3K4A.5","H3K36A.3","H3K36A.4","H3K36A.5"
"Doubling Times","-10282.7938299274",577.960919010634,"-2167.79791278766","4035.40868082366",731.005090513298,745.148407642928,494.054358923186,757.78259628299,"1172.95316070947",607.122396867771,502.496702395506,390.126245323552,480.446595123124,451.608477768196,565.286759869914,434.058348981768,"6622.75218789732","-324.309360135999",813.008884593674,1749.49733158325,578.021728866357,708.107832962089,534.696178800329,494.444252695958,785.366407832776,751.331776869703,589.403511639057,711.389680934955,336.39455185624,342.549501959571,365.783165741649,389.756014729138,358.538503936622,367.579339160626,345.641533503522,408.645811360721,322.373801041586,460.947145244278,469.59947658735,649.542335490058,510.044573457207,388.799717327355,378.325272244946,522.090697705018,468.85569540184,499.553214682635,475.298863948969,620.889373013821,291.708359123848,1042.02782231828,478.30889270961,394.815583857609,323.530240600348,329.089415986671,314.779233205002,302.460822532139,376.515760075087,428.153791464664,354.157525680535,410.684483806119,683.258045063443,415.493166369574,430.936190532175,374.40494705071,458.939138666091,452.020026593073,495.180656319158,500.258665480186,516.937861722923,546.26083380103,380.287282380673,400.874568792051,532.702958150254,560.25203437785,588.167645839868,529.036316816512,588.422962610502,545.465818359842,"-20185.7739059674",665.800099326475,NA,"6198.61322127659",873.888227722466,849.713204592524,570.274106050172,850.948450877822,2694.51392126866,739.529276296557,639.800041098398,479.988229517356,600.868296994191,511.5604552056,725.051386234273,496.287970656592,"1003521.31141826","6824.03459057329",1840.69298351169,2368.99955175985,513.138199083726,666.571117227774,459.10946665891,422.398271497969,765.571799022886,715.231804023481,489.758414676088,694.157610861123,274.417966508961,315.902975130678,385.408997304779,422.521361832294,378.576091611211,398.923187658444,348.469759491683,429.714182167811,303.33558665574,460.663947526794,505.995065599125,656.019739407601,532.41223167677,418.567715172472,379.616574900518,528.044707685409,444.856174894478,457.505985641036,494.512480094017,564.353370481758,274.699939601793,1060.07544152896,567.949749331139,422.00652882058,428.039208988559,401.129129098899,368.72500788343,333.115841781256,406.476365008622,479.672529362646,403.858042785481,504.262686888019,594.712651101598,352.818605870779,349.996534614669,343.981977033192,396.216899554483,379.057284044501,421.117716841529,381.305840779938,423.732597562228,448.469108334875,316.899888227201,273.276802016513,454.884734048376,429.473686985485,406.520602718594,384.392329815741,404.984853996177,415.588591462047
"Rsquared Value","0.0650331788547417",0.994969288249756,"0.34406541743615","0.602605953782281",0.996224493821252,0.997642024634251,0.996907387978083,0.998329459516459,"0.988317180390096",0.997611217506703,0.991171799101263,0.995361693692975,0.995508942192845,0.96551607195582,0.998686809022386,0.988891762845763,"0.0519788999645789","0.230225707796601",0.979811798586941,0.866399662017333,0.997323885240906,0.996576078041239,0.990664172284698,0.982059160799297,0.996281677228317,0.998316882243401,0.994859568923572,0.997114002064539,0.998555969925656,0.994064962370293,0.996941257440765,0.996365750360262,0.995202730589686,0.994023826106196,0.998946313161217,0.992194475191518,0.980788106656072,0.993966292827753,0.996559975840237,0.996396146236176,0.997809646283056,0.998193661959055,0.997052854334498,0.998474242437429,0.985036143998082,0.995657671076221,0.996952104477277,0.992883864014639,0.991504518174704,0.998944471434385,0.999116587731457,0.997012580547874,0.995740578546332,0.996688627645992,0.998650350817832,0.995129010654781,0.992800040601404,0.998346167787132,0.996080658518258,0.997616896496874,0.998472490301044,0.992395883081691,0.994198741504453,0.993265126027162,0.998092094001856,0.997377349602831,0.995548218989783,0.994389688920514,0.997742976673787,0.999546356240624,0.995626405495568,0.992468193912196,0.999021027703682,0.993297689478688,0.997325325370319,0.998619610744508,0.994131745374734,0.998449686869423,"0.182739579147115",0.99718151233536,"0","0.555353389319641",0.997633833986886,0.998645617806641,0.997994423504772,0.997261778262772,0.841889077713345,0.998916500846475,0.993953570757306,0.997563442785315,0.997373290505628,0.969860318956292,0.994077902864871,0.966454037744057,"2.66952654516521e-06","0.326558971925345",0.824115016024691,0.884002723805669,0.997635093630731,0.994749262988292,0.989890922959861,0.984644620387065,0.996539402504226,0.997532552542786,0.997755825519982,0.997866531313159,0.997284848975645,0.998142468312171,0.998530377716094,0.999016735572191,0.995788720130727,0.99262799665398,0.996655800412485,0.992653102355179,0.988954773400295,0.998282863755334,0.996142180952508,0.9968271017404,0.998110409076459,0.999275394720634,0.997869032525517,0.999377348660609,0.978877614063242,0.978883573160391,0.997732327920447,0.99454565922529,0.993143558584415,0.997253755721259,0.998914717991334,0.995999924226036,0.999497210867579,0.993522538363264,0.997886561756491,0.998129966864561,0.99499450050816,0.995997214710973,0.996673161337001,0.995414972152034,0.99849883549718,0.995495922501759,0.994425159774763,0.993048516093643,0.995680437763341,0.996738594399067,0.99157185801272,0.993300227276019,0.997594934121901,0.99751601596333,0.992156645633229,0.989373070811322,0.998614937987473,0.997404413816722,0.998241831478611,0.997936723072417,0.996517994335999,0.996972568732693
"Lower Limit","1",86,"1","1",68,66,59,66,"123",80,37,36,69,53,52,51,"1","1",101,1,25,38,24,24,101,108,49,110,22,20,19,21,37,39,25,41,20,24,27,32,25,23,20,26,31,30,32,36,24,64,28,21,28,29,22,19,20,29,19,24,48,21,26,21,26,22,26,28,26,26,21,21,32,26,30,32,35,36,"1",91,"1","1",70,67,61,69,1,83,41,38,71,53,50,53,"1","1",1,1,25,37,25,26,102,109,46,110,21,21,19,21,37,39,25,41,18,23,26,32,25,24,20,27,32,28,31,35,24,64,27,21,27,29,21,20,20,29,19,24,46,21,26,20,26,23,27,26,26,26,20,21,30,26,27,31,33,32
"Upper Limit","76",110,"75","125",80,78,78,79,"126",102,58,56,85,68,67,66,"98","130",110,127,40,52,39,39,120,124,70,125,36,35,35,38,56,58,42,60,36,40,44,50,42,39,36,45,48,47,50,55,39,81,46,37,45,45,37,34,35,47,33,40,66,36,42,37,44,38,43,49,43,43,36,36,50,42,47,49,53,54,"119",114,"1","126",81,80,81,81,126,103,63,58,87,68,66,67,"37","130",125,126,41,54,40,41,122,125,66,126,35,35,35,36,56,58,42,60,33,39,43,50,43,41,37,45,48,44,49,53,38,83,45,36,44,46,37,35,35,46,34,41,66,37,43,36,44,39,44,44,43,43,36,35,49,43,44,49,51,52
"Limit of exponential growth","144",144,"144","144",144,144,144,144,"144",144,144,144,144,144,144,144,"144","144",144,144,144,144,144,144,144,144,144,144,126,123,137,144,139,144,106,132,134,144,144,144,144,124,120,144,144,144,144,144,116,144,144,116,109,110,92,85,89,105,80,96,142,85,99,85,141,120,141,144,127,126,114,107,133,106,117,144,144,144,"144",144,"144","144",144,144,144,144,144,144,144,144,144,144,144,144,"144","144",144,144,144,144,144,144,144,144,144,144,124,120,132,135,98,102,102,102,126,143,144,144,137,123,117,144,144,144,144,144,115,144,134,109,100,106,86,80,85,101,75,94,141,87,101,82,141,126,144,144,134,136,118,111,136,114,123,144,144,144
"Highest O.D","0.220412286234931",0.923317725273045,"0.105412286234931","0.418084664984581",0.719076473638501,0.734144232484645,0.857084664984581,0.765542594215429,"0.600084664984581",0.870211991330789,1.18308466498458,1.24808466498458,0.804745870753861,0.855084664984581,0.810084664984581,0.893084664984581,"0.248412286234931","0.226412286234931",0.664084664984581,0.629317725273045,1.15308466498458,0.962084664984581,1.24441526786922,1.24808466498458,0.889084664984581,0.823084664984581,0.930084664984581,0.829084664984581,1.36908466498458,1.38008466498458,1.32908466498458,1.26131772527304,1.31055078556151,1.27708466498458,1.41755078556151,1.33731772527305,1.34708466498458,1.28208466498458,1.20008466498458,1.12708466498458,1.28808466498458,1.37508466498458,1.40608466498458,1.25908466498458,1.16308466498458,1.14708466498458,1.13708466498458,1.12708466498458,1.44808466498458,0.942775654503893,1.28508466498458,1.42031772527305,1.48608466498458,1.47408466498458,1.52308466498458,1.52908466498458,1.54808466498458,1.51108466498458,1.56008466498458,1.50908466498458,1.30708466498458,1.54131772527305,1.51708466498458,1.56931772527305,1.30808466498458,1.40408466498458,1.30808466498458,1.23408466498458,1.37708466498458,1.39408466498458,1.45208466498458,1.48808466498458,1.36508466498458,1.51008466498458,1.45808466498458,1.25408466498458,1.23208466498458,1.24608466498458,"0.305412286234931",0.956084664984581,"0.199412286234931","0.484084664984581",0.774843413350037,0.778843413350037,0.887084664984581,0.774843413350037,0.663084664984581,0.938084664984581,1.18108466498458,1.28508466498458,0.815911172196181,0.911084664984581,0.889084664984581,0.930084664984581,"0.350084664984581","0.368084664984581",0.794084664984581,0.648084664984581,1.18208466498458,0.956084664984581,1.26008466498458,1.23008466498458,0.869084664984581,0.802084664984581,0.960084664984581,0.811084664984581,1.38008466498458,1.38408466498458,1.33908466498458,1.33708466498458,1.34957237796546,1.36454259421543,1.43408466498458,1.40464832815768,1.38708466498458,1.30508466498458,1.23608466498458,1.14708466498458,1.37178384584997,1.39508466498458,1.43208466498458,1.29208466498458,1.18908466498458,1.22608466498458,1.17908466498458,1.12908466498458,1.45008466498458,0.959309533926965,1.34508466498458,1.46208466498458,1.53608466498458,1.51008466498458,1.57308466498458,1.56955078556151,1.57108466498458,1.54108466498458,1.60308466498458,1.54055078556151,1.31508466498458,1.54708466498458,1.51231772527305,1.57201690613844,1.31408466498458,1.38408466498458,1.29008466498458,1.27308466498458,1.34908466498458,1.34108466498458,1.43008466498458,1.46408466498458,1.35108466498458,1.46208466498458,1.41408466498458,1.18808466498458,1.17508466498458,1.18708466498458
"No Growth","No Growth",0,"No Growth","No Growth",0,0,0,0,"No Growth",0,0,0,0,0,0,0,"No Growth","No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Growth",0,"No Growth","No Growth",0,0,0,0,0,0,0,0,0,0,0,0,"No Growth","No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exponential growth outside expected range","0",0,"0","0",0,0,0,0,"0",0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLANKAVERAGE","0.289251524390244",0,"0","0",0,0,0,0,"0",0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACTERIAL CONTAMINATION","CONTAMINATION",0,"CONTAMINATION","0",0,0,0,0,"0",0,0,0,0,0,0,0,"0","CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAMINATION",0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
