Time,Strain 1,Strain 1,Strain 1,Strain 1,Strain 2,Strain 2,Strain 2,Strain 2,WT,WT,WT,WT,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
0:00:05,0.371,0.483,0.445,0.403,0.566,0.609,0.55,0.575,0.529,0.57,0.509,0.55,0.19,0.182,0.271,0.262,0.262,0.248,0.239,0.258,0.242,0.228,0.223,0.217,0.248,0.248,0.238,0.236,0.246,0.238,0.235,0.217,0.216,0.105
0:15:05,0.315,0.428,0.348,0.344,0.494,0.539,0.461,0.497,0.439,0.493,0.492,0.478,0.152,0.153,0.178,0.182,0.178,0.178,0.172,0.179,0.171,0.164,0.163,0.16,0.179,0.18,0.178,0.177,0.177,0.172,0.168,0.16,0.157,0.09
0:30:06,0.302,0.357,0.333,0.329,0.429,0.469,0.414,0.449,0.443,0.465,0.454,0.442,0.15,0.151,0.171,0.177,0.173,0.173,0.168,0.174,0.165,0.16,0.16,0.156,0.172,0.172,0.173,0.172,0.171,0.166,0.163,0.157,0.154,0.089
0:45:06,0.303,0.358,0.328,0.324,0.419,0.452,0.409,0.432,0.439,0.455,0.45,0.432,0.151,0.151,0.171,0.178,0.174,0.174,0.168,0.174,0.166,0.161,0.161,0.157,0.174,0.174,0.176,0.175,0.173,0.169,0.165,0.158,0.156,0.09
1:00:06,0.302,0.35,0.325,0.321,0.415,0.439,0.403,0.422,0.427,0.441,0.44,0.423,0.152,0.152,0.172,0.181,0.176,0.176,0.17,0.176,0.169,0.164,0.163,0.158,0.177,0.177,0.178,0.178,0.177,0.171,0.167,0.16,0.157,0.091
1:15:06,0.307,0.344,0.322,0.32,0.412,0.428,0.393,0.412,0.417,0.425,0.422,0.405,0.152,0.152,0.171,0.18,0.176,0.175,0.17,0.176,0.168,0.163,0.163,0.158,0.175,0.175,0.176,0.176,0.175,0.17,0.167,0.16,0.157,0.091
1:30:06,0.302,0.337,0.318,0.316,0.396,0.413,0.383,0.402,0.41,0.417,0.41,0.392,0.153,0.153,0.172,0.182,0.178,0.177,0.172,0.177,0.17,0.165,0.164,0.159,0.179,0.179,0.18,0.18,0.179,0.173,0.169,0.162,0.159,0.091
1:45:06,0.308,0.333,0.314,0.315,0.393,0.416,0.38,0.402,0.408,0.417,0.402,0.387,0.155,0.155,0.18,0.191,0.186,0.184,0.178,0.184,0.176,0.171,0.17,0.165,0.184,0.184,0.185,0.184,0.183,0.178,0.175,0.168,0.166,0.093
2:00:06,0.308,0.329,0.319,0.32,0.39,0.403,0.372,0.393,0.404,0.412,0.392,0.374,0.156,0.156,0.181,0.194,0.187,0.186,0.181,0.187,0.178,0.174,0.174,0.168,0.186,0.185,0.186,0.185,0.185,0.18,0.176,0.17,0.169,0.092
2:15:06,0.306,0.321,0.312,0.314,0.389,0.395,0.368,0.386,0.4,0.403,0.381,0.364,0.156,0.155,0.18,0.193,0.187,0.185,0.18,0.185,0.178,0.173,0.172,0.167,0.185,0.185,0.186,0.186,0.185,0.18,0.176,0.17,0.169,0.093
2:30:06,0.304,0.321,0.307,0.31,0.39,0.406,0.367,0.382,0.395,0.402,0.376,0.359,0.157,0.156,0.178,0.192,0.186,0.185,0.179,0.184,0.177,0.173,0.172,0.167,0.188,0.188,0.188,0.187,0.187,0.182,0.178,0.172,0.17,0.093
2:45:06,0.309,0.313,0.309,0.313,0.393,0.405,0.373,0.382,0.401,0.398,0.37,0.349,0.157,0.156,0.181,0.195,0.188,0.187,0.181,0.186,0.179,0.174,0.174,0.168,0.186,0.186,0.187,0.186,0.186,0.181,0.178,0.172,0.172,0.093
3:00:06,0.303,0.317,0.311,0.314,0.404,0.414,0.385,0.39,0.401,0.395,0.369,0.349,0.155,0.155,0.183,0.198,0.191,0.189,0.183,0.187,0.18,0.177,0.176,0.171,0.189,0.188,0.189,0.188,0.187,0.182,0.179,0.174,0.173,0.093
3:15:06,0.307,0.316,0.309,0.315,0.415,0.427,0.392,0.393,0.412,0.399,0.376,0.349,0.158,0.156,0.183,0.197,0.191,0.189,0.183,0.187,0.18,0.176,0.176,0.17,0.188,0.187,0.188,0.188,0.187,0.182,0.178,0.173,0.171,0.093
3:30:06,0.305,0.312,0.307,0.31,0.425,0.439,0.399,0.402,0.418,0.403,0.383,0.352,0.158,0.157,0.184,0.198,0.191,0.19,0.184,0.188,0.182,0.178,0.177,0.171,0.189,0.188,0.19,0.188,0.188,0.183,0.18,0.175,0.174,0.093
3:45:06,0.309,0.319,0.307,0.312,0.439,0.454,0.416,0.417,0.426,0.409,0.391,0.359,0.157,0.157,0.183,0.199,0.192,0.191,0.184,0.189,0.183,0.178,0.178,0.173,0.19,0.19,0.191,0.189,0.189,0.184,0.182,0.177,0.176,0.093
4:00:06,0.308,0.328,0.307,0.31,0.46,0.48,0.433,0.434,0.445,0.422,0.406,0.367,0.159,0.158,0.185,0.201,0.194,0.193,0.186,0.191,0.185,0.181,0.18,0.175,0.192,0.191,0.193,0.19,0.191,0.186,0.182,0.178,0.176,0.093
4:15:06,0.308,0.336,0.307,0.313,0.477,0.5,0.455,0.454,0.458,0.441,0.424,0.377,0.158,0.157,0.183,0.198,0.192,0.191,0.185,0.189,0.184,0.18,0.179,0.174,0.191,0.191,0.192,0.19,0.19,0.185,0.182,0.177,0.176,0.093
4:30:06,0.308,0.345,0.31,0.32,0.496,0.523,0.476,0.475,0.473,0.459,0.442,0.393,0.159,0.157,0.186,0.202,0.194,0.193,0.187,0.191,0.185,0.182,0.182,0.176,0.195,0.194,0.196,0.193,0.194,0.189,0.186,0.182,0.182,0.094
4:45:06,0.319,0.368,0.316,0.323,0.518,0.545,0.497,0.5,0.494,0.48,0.458,0.402,0.158,0.157,0.187,0.203,0.195,0.195,0.188,0.191,0.186,0.183,0.183,0.178,0.198,0.196,0.198,0.195,0.195,0.189,0.186,0.182,0.182,0.093
5:00:06,0.316,0.389,0.317,0.329,0.542,0.567,0.526,0.532,0.519,0.505,0.48,0.421,0.159,0.157,0.189,0.205,0.197,0.197,0.19,0.193,0.188,0.185,0.185,0.18,0.199,0.197,0.199,0.196,0.196,0.19,0.188,0.184,0.183,0.093
